"chrom","start.pos","end.pos","n.probes","GSM2404243_9406921038_R01C02","GSM2404249_9406921038_R02C02","GSM2404252_9406921038_R06C02","GSM2404253_9406921039_R01C01","GSM2404263_9406921148_R05C02","GSM2404285_9379086120_R01C01","GSM2404543_9553932029_R05C01","GSM2404545_9553932029_R02C02","GSM2940762_10006823071_R05C01","GSM2941040_3998568166_R06C01","GSM2941529_9721366149_R04C02","GSM2941580_9829119119_R03C01"
"1",1,521369,249150001,1593,-0.161,-0.09,-0.134,-0.008,-0.083,-0.035,-0.147,-0.068,0.023,-0.003,0.005,-0.016
"2",2,10001,242950001,1282,-0.188,-0.081,-0.183,-0.049,-0.114,-0.08,-0.132,-0.087,-0.028,-0.021,-0.035,-0.043
"3",3,60001,197700001,978,-0.079,-0.078,0.023,0.007,0.036,-0.079,-0.151,-0.061,-0.033,-0.044,-0.04,-0.063
"4",4,10001,190900001,742,-0.097,-0.097,-0.049,-0.059,-0.151,-0.011,-0.132,-0.005,-0.086,-0.099,-0.088,-0.09
"5",5,10001,180650001,849,0.069,-0.07,0.031,0.013,0.047,0.044,0.012,0.034,-0.025,-0.018,-0.035,-0.046
"6",6,60001,170850001,988,-0.044,0.075,0.006,-0.01,0.034,-0.088,-0.003,0.031,-0.04,-0.049,-0.043,-0.046
"7",7,10001,158950001,952,0.102,0.108,0.044,0.028,0.065,0.062,0.062,0.068,0.001,0,-0.003,-0.004
"8",8,10001,146250001,726,0.079,-0.071,0.036,-0.001,0.044,0.03,-0.117,0.034,-0.026,-0.046,-0.053,-0.038
"9",9,10001,141000001,383,0.101,0.056,0.038,0.026,0.043,0.074,-0.01,0.027,0.005,-0.028,-0.023,-0.005
"10",10,60001,135400001,840,-0.134,0.074,0.046,0.028,0.065,-0.049,-0.083,-0.032,0.007,0.003,-0.05,-0.014
"11",11,60001,134800001,914,-0.18,0.065,0.031,0.027,0.041,-0.046,-0.128,0.026,-0.009,-0.039,-0.011,-0.039
"12",12,145740,133700001,848,-0.024,0.067,0.042,0.01,0.052,-0.061,-0.134,-0.049,-0.012,-0.021,0.017,-0.037
"13",13,19020001,115050001,431,-0.176,-0.032,-0.009,-0.053,0.025,0.021,-0.088,-0.069,-0.058,-0.069,-0.047,-0.033
"14",14,19000001,106950001,528,-0.027,-0.092,-0.027,0.017,-0.094,-0.047,-0.164,0.034,0.003,-0.032,-0.002,-0.024
"15",15,20000001,102300001,571,0.109,-0.084,0.056,0.029,0.068,0.074,-0.01,0.042,0.02,-0.014,0.036,-0.01
"16",16,60001,90150001,624,0.043,-0.035,0.049,0.038,0.052,0.084,0.063,0.044,0.026,0.031,0.053,0.011
"17",17,1,81050001,814,-0.143,-0.135,-0.1,-0.085,-0.142,-0.076,-0.149,-0.104,-0.033,-0.064,-0.037,-0.055
"18",18,10001,77950001,243,0.045,0.095,-0.157,-0.087,-0.18,-0.141,-0.177,-0.05,-0.089,-0.135,-0.057,-0.099
"19",19,60001,59050001,711,0.088,-0.115,-0.036,-0.033,0.002,-0.05,-0.091,-0.006,-0.017,-0.055,0.014,-0.029
"20",20,60001,62850001,359,-0.008,-0.134,-0.021,-0.017,-0.017,0.037,0.01,-0.016,-0.025,-0.07,0.009,-0.048
"21",21,10697897,48050001,157,-0.125,-0.242,-0.148,-0.039,-0.094,-0.042,-0.079,-0.079,-0.009,-0.02,-0.003,-0.003
"22",22,16050001,51200001,300,-0.076,-0.278,-0.135,-0.013,-0.079,-0.023,-0.149,-0.066,-0.092,-0.026,0.071,0.015
