"chrom","start.pos","end.pos","n.probes","GSM2403712_9007225017_R03C02","GSM2403713_9007225026_R02C02","GSM2403716_9007225017_R01C01","GSM2403766_9296930031_R05C02","GSM2403767_9296930031_R06C02","GSM2403784_9296930094_R06C02","GSM2403785_9296930094_R03C02","GSM2403786_9296930094_R02C02","GSM2403789_9296930089_R06C02","GSM2403790_9296930094_R01C01","GSM2404001_9305651095_R06C02","GSM2404169_9407201033_R06C01","GSM2404170_9407201032_R06C02","GSM2404171_9407201033_R02C01","GSM2404174_9407201033_R04C01","GSM2404176_9407201033_R05C01","GSM2404177_9407201033_R01C01","GSM2404606_9741950007_R03C02","GSM2405044_9969477081_R06C02","GSM2405045_9969477083_R01C01","GSM2405046_9969477081_R02C02","GSM2405047_9969477081_R01C02","GSM2405049_9969477081_R03C02","GSM2405050_9969477081_R05C02","GSM2405051_9969477081_R04C01"
"1",1,521369,249150001,1593,0.04,0.025,0.031,0.04,0.046,0.061,0.03,0.011,0.048,0.053,0.078,-0.031,0.028,0.057,-0.03,0.015,0.03,0.065,0.049,0.031,0.038,0.051,0.037,0.032,0.032
"2",2,10001,242950001,1282,0.04,-0.003,0.02,0.022,0.006,0.061,0.031,0.015,0.039,0.037,0.042,0.023,0.013,0.035,0.041,0.021,0.015,0.033,-0.017,0.003,-0.011,-0.017,-0.029,-0.013,-0.01
"3",3,60001,197700001,978,0.079,-0.021,0.03,0.044,0.013,0.093,0.042,0.01,0.053,0.058,0.085,0.027,0.03,0.065,0.032,0.019,0.012,0.056,-0.04,-0.014,-0.019,-0.05,-0.049,-0.024,-0.023
"4",4,10001,190900001,742,-0.02,-0.057,-0.038,-0.045,-0.039,-0.049,-0.035,-0.039,-0.036,-0.041,-0.049,-0.005,-0.047,-0.055,-0.007,-0.033,-0.031,-0.067,-0.083,-0.043,-0.061,-0.034,-0.082,-0.07,-0.058
"5",5,10001,180650001,849,0.054,-0.006,0.007,0.041,0.023,0.059,0.039,0.021,0.052,0.059,0.067,0.011,0.016,0.009,0.037,0.008,0.013,0.017,-0.029,-0.004,-0.009,-0.024,-0.036,-0.017,-0.019
"6",6,60001,170850001,988,0.06,-0.015,0.026,0.026,0,0.097,0.04,0.023,0.057,0.046,0.047,0.023,0.026,0.065,0.058,0.046,0.019,0.071,-0.058,-0.018,-0.025,-0.056,-0.059,-0.039,-0.022
"7",7,10001,158950001,952,0.074,0.023,0.028,0.084,0.041,0.106,0.078,0.079,0.092,0.084,0.111,0.029,0.07,0.033,0.146,0.05,0.041,0.051,-0.045,-0.005,0.003,-0.051,-0.039,-0.011,-0.003
"8",8,10001,146250001,726,0.026,0.001,0,0.026,0.013,0.033,0.037,0.033,0.046,0.043,0.038,0.012,0.043,-0.008,0.065,0.012,0.018,0.01,-0.012,0.015,-0.002,0,-0.017,-0.004,-0.002
"9",9,10001,141000001,383,0.033,0.027,0.028,0.05,0.038,0.076,0.036,0.022,0.032,0.046,0.078,0.037,0.016,0.056,0.034,0.019,0.022,0.049,0.018,0.015,0.024,0.012,0.018,0.019,0.014
"10",10,60001,135400001,840,0.034,0.025,0.033,0.051,0.041,0.064,0.045,0.043,0.056,0.063,0.08,0.02,0,0.023,0.101,0.028,0.028,0.033,0.007,0.006,0.011,0.004,-0.001,0.009,0.004
