"chrom","start.pos","end.pos","n.probes","GSM2402915_6929689168_R06C01","GSM2402921_6164621144_R02C01","GSM2402974_6929718026_R06C01","GSM2402975_6929718026_R01C02","GSM2403070_6229017022_R06C02","GSM2403463_8622007027_R01C01","GSM2403719_9007225017_R01C02","GSM2404119_9376561062_R05C01","GSM2404124_9379086124_R04C01","GSM2404128_9379086124_R02C02","GSM2404148_9407201022_R06C01","GSM2404149_9407201022_R03C02","GSM2404153_9407201022_R04C01","GSM2404155_9407201022_R04C02","GSM2404156_9407201021_R02C01","GSM2404162_9407201022_R05C02","GSM2404168_9407201022_R02C01","GSM2404379_9422493151_R06C02","GSM2404776_9769100008_R02C01","GSM2404836_9533774082_R05C01","GSM2404842_9533774084_R03C01","GSM2404880_9534104026_R01C01","GSM2404882_9534104026_R05C01","GSM2405013_9969477044_R03C02","GSM2405016_9969477044_R04C02","GSM2405210_9878820127_R04C01","GSM2405251_9878827227_R04C01","GSM2405449_3999875052_R01C02","GSM2405450_3999875052_R02C02","GSM2941232_3999547142_R01C01","GSM2941448_9533774021_R02C02"
"1",1,521369,249150001,1593,0.011,0.016,-0.003,0.011,0.015,0.014,-0.076,0.023,-0.006,0.002,-0.002,-0.034,-0.076,0.014,-0.002,0.017,-0.041,-0.068,-0.007,-0.03,-0.032,0,-0.002,0.012,-0.015,0.03,-0.027,-0.008,0.016,0.017,-0.041
"2",2,10001,242950001,1282,-0.039,-0.024,-0.078,-0.041,-0.043,-0.032,-0.083,-0.008,0.068,-0.04,-0.032,-0.038,-0.091,-0.009,-0.037,-0.01,-0.047,-0.114,-0.058,-0.037,-0.048,-0.051,-0.073,-0.063,-0.09,0.012,-0.058,-0.048,-0.064,-0.043,-0.102
"3",3,60001,197700001,978,-0.009,0.019,-0.049,-0.025,-0.023,-0.032,-0.031,-0.001,-0.293,-0.044,-0.043,-0.025,-0.154,-0.002,-0.057,0,-0.064,-0.194,-0.089,-0.033,-0.061,-0.071,-0.107,-0.077,-0.123,0.044,-0.062,-0.064,-0.067,-0.041,-0.097
"4",4,10001,190900001,742,-0.07,-0.048,-0.104,-0.073,-0.06,-0.052,-0.139,-0.055,-0.119,-0.074,-0.052,-0.059,-0.118,-0.038,-0.064,-0.04,-0.063,-0.14,-0.104,-0.057,-0.069,-0.092,-0.154,-0.135,-0.131,0.01,-0.096,-0.137,-0.135,-0.096,-0.134
"5",5,10001,180650001,849,-0.012,0.012,-0.045,-0.027,-0.024,-0.017,-0.106,-0.001,-0.067,-0.031,-0.023,-0.025,-0.114,-0.008,-0.037,0.003,-0.052,-0.134,-0.059,-0.03,-0.052,-0.063,-0.098,-0.064,-0.09,0.035,-0.052,-0.078,-0.048,-0.035,0.065
"6",6,60001,170850001,988,-0.036,-0.013,-0.084,-0.042,-0.038,-0.035,-0.054,-0.008,-0.079,-0.053,-0.037,-0.028,-0.114,0.009,-0.042,-0.008,-0.035,-0.128,-0.093,-0.02,-0.042,-0.072,-0.109,-0.095,-0.124,0.038,-0.041,-0.044,-0.081,-0.057,-0.105
"7",7,10001,158950001,952,0.008,0.017,-0.034,-0.004,-0.009,-0.01,-0.051,0.018,0.088,-0.011,-0.008,0.008,-0.077,-0.003,-0.009,0.03,-0.017,-0.087,-0.068,0.007,-0.023,-0.05,-0.082,-0.057,-0.084,0.032,-0.012,-0.017,-0.039,-0.017,0.072
"8",8,10001,146250001,726,-0.035,-0.02,-0.075,-0.044,-0.036,-0.019,-0.297,-0.003,-0.073,-0.028,-0.022,-0.041,-0.085,-0.018,-0.026,-0.004,-0.043,-0.123,-0.047,-0.007,-0.043,-0.049,-0.076,-0.099,-0.086,0.01,-0.06,-0.048,-0.063,-0.038,0.057
"9",9,10001,141000001,383,-0.013,0.021,-0.001,0.006,-0.004,0.002,-0.081,0.023,0,-0.015,-0.009,-0.031,-0.041,-0.005,-0.01,-0.001,-0.038,-0.034,-0.029,-0.032,-0.028,-0.016,-0.009,0.004,-0.013,-0.011,-0.021,-0.083,0.001,0.008,0.08
"10",10,60001,135400001,840,0.001,0.011,-0.014,-0.004,-0.007,0.007,-0.085,0.015,-0.033,-0.016,-0.004,-0.002,-0.051,0.005,-0.007,0.013,-0.017,-0.068,-0.042,-0.015,-0.025,-0.033,-0.048,-0.029,-0.051,0.03,-0.02,-0.043,-0.013,-0.003,0.09
"11",11,60001,134800001,914,0.01,0.041,-0.016,-0.001,0,-0.006,-0.061,0.014,-0.046,-0.017,-0.023,-0.024,-0.11,-0.004,-0.031,0.012,-0.054,-0.121,-0.049,-0.037,-0.052,-0.035,-0.056,-0.03,-0.07,0.021,-0.042,-0.033,-0.015,-0.01,-0.07
"12",12,145740,133700001,848,-0.008,-0.004,-0.028,-0.012,-0.007,-0.016,-0.035,-0.003,-0.039,-0.025,-0.027,-0.03,-0.092,-0.006,-0.025,0.006,-0.04,-0.086,-0.069,-0.024,-0.034,-0.042,-0.059,-0.049,-0.069,0.029,-0.031,-0.009,-0.094,-0.018,0.077
"13",13,19020001,115050001,431,-0.043,-0.02,-0.115,-0.062,-0.064,-0.076,-0.02,-0.018,-0.109,-0.067,-0.046,-0.001,-0.114,0.005,-0.054,0.001,-0.028,-0.148,-0.135,0.006,-0.04,-0.109,-0.168,-0.14,-0.171,0.032,-0.282,-0.063,-0.1,-0.075,0.014
"14",14,19000001,106950001,528,-0.009,-0.009,-0.023,-0.011,-0.002,-0.164,-0.089,0.005,0.121,-0.006,0.01,-0.038,-0.062,0.004,-0.003,0.01,-0.044,-0.069,-0.013,-0.039,-0.028,-0.011,-0.015,-0.006,-0.018,0.016,-0.031,0.002,-0.005,-0.002,-0.062
"15",15,20000001,102300001,571,0.003,-0.013,-0.017,-0.004,0.006,0.015,-0.067,0.016,-0.008,0.003,0,-0.023,-0.045,-0.004,0.002,0.015,-0.024,-0.045,-0.008,-0.033,-0.027,-0.003,0,0.004,-0.007,0.031,-0.018,-0.267,0.006,0.008,0.029
"16",16,60001,90150001,624,0.01,-0.221,0.02,0.014,0.011,0.003,-0.061,0.011,-0.163,-0.003,-0.005,0.002,-0.02,-0.027,0.005,-0.086,-0.006,-0.026,-0.032,-0.014,-0.013,-0.008,0.003,0.013,-0.015,-0.022,0.015,0.019,0.025,0.023,0.089
"17",17,1,81050001,814,-0.067,-0.097,-0.049,-0.045,-0.038,-0.037,-0.114,-0.05,-0.031,-0.044,-0.055,-0.094,-0.049,-0.075,-0.082,-0.058,-0.059,-0.024,-0.036,-0.081,-0.051,-0.015,0.016,-0.02,-0.009,-0.079,-0.043,-0.016,-0.034,-0.029,-0.059
"18",18,10001,77950001,243,-0.13,-0.13,-0.122,-0.108,-0.088,-0.161,-0.265,-0.087,-0.264,-0.084,-0.065,-0.126,-0.051,-0.095,-0.063,-0.09,-0.087,-0.062,-0.038,-0.118,-0.077,-0.05,-0.054,-0.083,-0.037,-0.059,-0.099,-0.071,-0.123,-0.09,-0.004
"19",19,60001,59050001,711,-0.036,-0.1,-0.022,-0.024,-0.018,-0.037,-0.061,-0.053,0.017,-0.03,-0.046,-0.085,-0.03,-0.09,-0.009,-0.036,-0.05,0.016,-0.048,-0.054,-0.039,-0.006,0.01,-0.012,0.01,-0.103,-0.004,0.028,-0.014,0.004,-0.087
"20",20,60001,62850001,359,-0.053,-0.064,-0.058,-0.042,-0.042,-0.053,-0.108,-0.038,-0.023,-0.043,-0.064,-0.096,-0.085,-0.051,-0.045,-0.039,-0.083,-0.088,-0.038,-0.09,-0.079,-0.027,-0.016,-0.026,-0.037,-0.053,-0.062,-0.056,-0.031,-0.023,0.031
"21",21,10697897,48050001,157,-0.013,0,-0.015,-0.013,-0.015,0.004,-0.101,-0.005,-0.014,-0.021,-0.003,-0.017,0.004,-0.021,0.006,-0.004,-0.008,-0.018,-0.033,-0.031,-0.028,-0.027,-0.043,-0.035,-0.026,-0.011,-0.017,-0.005,-0.051,-0.023,0.059
"22",22,16050001,23550001,63,-0.209,-0.156,-0.032,-0.015,-0.049,0.079,-0.153,-0.007,-0.103,0.014,-0.047,-0.093,0.081,-0.059,0.065,-0.041,-0.204,0,0.013,-0.368,-0.184,0.05,0.071,-0.029,0.068,-0.402,0.097,-0.295,0.099,0.03,-0.455
"23",22,23750001,24550001,10,-0.473,-2.14,-1.639,-2.861,-3.228,-1.31,-0.507,-0.254,-0.208,-0.704,-0.973,-2.305,-0.756,-1.092,-1.583,-0.573,-2.6,-1.906,-0.606,-0.707,-1.634,0.107,-1.245,-0.488,-0.541,-1.835,-2.205,-0.732,-0.643,0.03,-0.667
"24",22,24600001,51200001,227,-0.118,-0.437,-0.04,0.011,-0.056,-0.059,-0.172,0.004,-0.101,0.012,-0.058,-0.063,-0.07,-0.06,-0.253,-0.194,-0.277,-0.075,0.039,-0.335,0.046,0.057,0.037,-0.059,0.087,-0.166,-0.332,-0.304,-0.153,0.052,-0.236
