"chrom","start.pos","end.pos","n.probes","GSM2404037_9373550164_R06C01","GSM2405004_9969477022_R03C02","GSM2405501_3999543047_R01C01","GSM2405539_3998909070_R04C01","GSM2405540_3998909071_R02C01","GSM2405547_3998909182_R06C01","GSM2405548_3998909182_R02C02","GSM2405605_3999095104_R05C01","GSM2941104_3998909182_R03C02","GSM2941109_3998909193_R01C01","GSM2941383_9406921149_R01C01","GSM2941629_9878820021_R01C02"
"1",1,521369,120300001,897,-0.421,-0.363,-0.139,-0.389,-0.271,-0.297,-0.364,-0.167,0.045,-0.207,-0.289,-0.433
"2",1,120400001,249150001,696,-0.091,-0.082,0.046,-0.003,0.106,0.022,-0.003,-0.03,0.035,-0.024,0.007,0.174
"3",2,10001,242950001,1282,-0.102,-0.099,-0.063,-0.029,-0.077,-0.024,-0.027,-0.056,-0.013,-0.069,-0.3,0.112
"4",3,60001,197700001,978,-0.128,-0.095,-0.097,-0.042,-0.121,-0.004,-0.033,-0.067,-0.093,-0.099,-0.021,-0.076
"5",4,10001,190900001,742,-0.132,-0.109,-0.11,-0.05,-0.134,-0.058,-0.052,-0.102,-0.066,-0.147,-0.054,-0.108
"6",5,10001,180650001,849,-0.095,-0.09,-0.07,-0.023,-0.088,-0.008,0.009,-0.028,-0.072,-0.073,-0.003,-0.076
"7",6,60001,170850001,988,-0.099,0.005,-0.081,-0.045,-0.012,-0.023,-0.03,-0.067,-0.091,-0.099,-0.01,-0.108
"8",7,10001,158950001,952,-0.035,0.06,0.077,0.126,0.038,0.029,0.047,0.001,-0.014,-0.032,0.019,0.151
"9",8,10001,146250001,726,-0.095,-0.05,0.054,-0.01,-0.065,-0.026,-0.007,-0.044,0.123,-0.063,0.006,0.119
"10",9,10001,141000001,383,-0.047,-0.075,-0.002,-0.008,-0.036,-0.223,-0.004,-0.006,0.034,0.023,0.039,0.131
"11",10,60001,135400001,840,-0.042,-0.061,-0.027,0.004,-0.04,0.025,0.006,-0.016,-0.04,-0.015,0.032,-0.062
"12",11,60001,134800001,914,-0.089,-0.059,-0.065,-0.016,-0.009,0.005,-0.024,-0.03,-0.146,-0.034,0.006,-0.062
"13",12,145740,133700001,848,-0.085,-0.066,-0.051,-0.017,-0.061,0.012,-0.011,-0.037,-0.055,-0.04,0.015,-0.07
"14",13,19020001,115050001,431,-0.079,-0.028,-0.085,-0.016,-0.064,-0.31,-0.018,-0.071,0.054,-0.131,-0.058,0.217
"15",14,19000001,106950001,528,-0.073,-0.064,-0.024,-0.012,-0.005,-0.003,-0.006,-0.025,-0.265,0.005,0.054,-0.05
"16",15,20000001,102300001,571,-0.044,-0.069,-0.013,-0.002,0.002,0.011,0.005,-0.014,-0.035,0.013,0.001,-0.05
"17",16,60001,90150001,624,0.017,-0.039,0.004,0.022,0.001,-0.018,0.021,0.024,-0.005,0.054,0.142,-0.048
"18",17,1,81050001,814,-0.067,-0.132,-0.035,-0.043,-0.016,-0.05,-0.045,-0.028,0.03,0.004,0.013,0.105
"19",18,10001,77950001,243,-0.115,-0.115,-0.079,-0.074,-0.091,-0.088,-0.079,-0.11,0.038,-0.092,-0.033,0.058
"20",19,60001,59050001,711,-0.138,-0.105,-0.013,-0.184,-0.03,-0.02,-0.159,-0.007,-0.049,-0.088,0.033,-0.154
"21",20,60001,62850001,359,-0.095,-0.118,-0.048,-0.05,-0.031,-0.035,-0.065,-0.056,0.046,-0.012,-0.012,-0.124
"22",21,10697897,48050001,157,-0.002,-0.02,0.147,0.005,-0.016,0.002,0.002,-0.016,0.032,-0.005,0.026,-0.061
"23",22,16050001,51200001,300,-0.003,-0.094,0.043,0.011,0.03,0.015,0.013,0.039,0.058,0.111,-0.196,-0.038
