"chrom","start.pos","end.pos","n.probes","GSM2403778_9296930016_R05C01","GSM2404240_9406921038_R03C01","GSM2404241_9406921038_R04C01","GSM2404242_9406921038_R06C01","GSM2404250_9406921038_R04C02","GSM2404251_9406921038_R05C02","GSM2404254_9406921039_R02C01","GSM2404433_9420867053_R06C01","GSM2404434_9420867053_R01C02","GSM2404693_9647455233_R06C01","GSM2405070_9969477101_R02C01","GSM2405632_3998568167_R05C01","GSM2940804_101178130118_R02C01","GSM2940867_200362700194_R01C01","GSM2941089_3998909089_R01C02","GSM2941229_3999543051_R04C01","GSM2941573_9741950149_R01C02","GSM2941693_9968646118_R01C02"
"1",1,521369,119550001,892,-0.026,-0.131,0.119,-0.021,-0.122,-0.072,-0.043,-0.07,0.032,-0.249,-0.186,0.013,0.029,0.029,0.026,0.039,0.081,0.08
"2",1,119650001,249150001,701,0.101,0.096,-0.054,0.002,0.262,0.087,-0.077,-0.113,-0.163,-0.058,0.149,0.108,-0.058,0.017,-0.067,0.131,0.069,0.001
"3",2,10001,242950001,1282,-0.124,-0.029,0.015,-0.046,-0.145,-0.11,-0.092,-0.127,-0.128,-0.078,-0.208,-0.101,-0.027,-0.08,-0.112,-0.1,0.001,-0.14
"4",3,60001,197700001,978,-0.053,-0.087,-0.054,-0.03,-0.203,-0.071,-0.124,-0.006,-0.105,-0.219,-0.215,-0.135,-0.03,-0.106,0.009,0.028,0.006,-0.368
"5",4,10001,190900001,742,-0.026,-0.259,-0.323,-0.168,-0.206,-0.142,-0.093,-0.146,-0.027,-0.132,-0.132,-0.131,-0.05,-0.183,-0.167,-0.048,-0.128,0.005
"6",5,10001,43600001,197,-0.019,0.082,-0.232,0.036,-0.075,-0.012,-0.039,-0.095,-0.174,0.006,-0.054,-0.046,0.018,0.171,0.107,0.066,-0.002,-0.248
"7",5,43650001,180650001,652,-0.031,-0.213,-0.279,-0.464,-0.199,-0.135,-0.112,-0.158,-0.189,-0.148,-0.181,-0.252,0.009,-0.015,-0.125,-0.286,-0.002,-0.078
"8",6,60001,63000001,497,0.089,-0.006,0.008,0.146,0.033,-0.024,-0.085,-0.119,0.052,0.193,0.013,0.102,-0.174,0.15,-0.014,-0.021,-0.07,-0.014
"9",6,64250001,157300001,362,-0.179,-0.323,-0.116,-0.494,-0.613,-0.166,-0.147,-0.21,-0.451,-0.153,-0.755,-0.174,-0.342,-0.19,-0.132,-0.385,-0.12,-0.344
"10",6,157450001,170850001,129,-0.05,-0.047,0.064,-0.297,-0.232,0.035,0.031,0.026,-0.194,0.046,-0.333,0.056,-0.117,-0.089,0.058,-0.162,-0.056,-0.175
