"chrom","start.pos","end.pos","n.probes","GSM2403723_9007225064_R02C02","GSM2403840_9297949139_R06C01","GSM2404278_9422491056_R04C01","GSM2404280_9422491056_R01C02","GSM2404510_9444375028_R05C01","GSM2404511_9444375028_R04C02","GSM2404712_9721366135_R03C02","GSM2404722_9741950111_R05C02","GSM2404723_9741950120_R02C01","GSM2404728_9741950120_R02C02","GSM2404730_9741950120_R04C02","GSM2405242_9878827221_R05C01","GSM2405244_9878827221_R02C02","GSM2405261_9878827235_R05C01","GSM2405262_9878827235_R06C01","GSM2405264_9878827235_R03C02","GSM2405644_200091640050_R05C02","GSM2405645_200091640051_R01C01","GSM2405646_200091640051_R03C01","GSM2405647_200091640051_R06C01","GSM2405648_200091640051_R01C02","GSM2405649_200091640051_R03C02","GSM2405650_200091640051_R04C02","GSM2940880_200362700204_R01C01"
"1",1,521369,249150001,1593,-0.192,-0.234,-0.166,-0.301,-0.177,-0.156,-0.152,-0.051,-0.22,-0.114,-0.209,-0.214,-0.167,-0.151,-0.248,-0.229,-0.075,-0.162,-0.276,-0.079,-0.16,-0.208,-0.171,0.25
"2",2,10001,242950001,1282,0.105,0.195,0.035,0.134,0.026,-0.009,0.024,-0.165,0.049,-0.105,0.133,-0.08,0.168,0.103,0.152,0.243,-0.106,-0.143,0.128,-0.087,-0.185,0.048,-0.033,0.063
"3",3,60001,197700001,978,-0.219,-0.28,-0.153,-0.365,-0.18,-0.22,-0.207,-0.161,-0.267,-0.098,-0.229,-0.085,-0.202,-0.111,-0.299,-0.198,-0.125,-0.136,-0.355,-0.073,-0.221,-0.267,-0.321,-0.337
"4",4,10001,11350001,138,-0.055,0.02,-0.104,-0.071,0.074,-0.108,-0.048,0.138,-0.019,0.004,-0.084,-0.049,-0.151,-0.121,-0.174,-0.028,-0.023,0.057,-0.096,-0.035,0.204,-0.032,0.012,-0.223
"5",4,11400001,190900001,604,-0.205,-0.329,-0.161,-0.376,-0.252,-0.235,-0.257,-0.011,-0.257,-0.206,-0.289,-0.096,-0.258,-0.06,-0.254,-0.314,-0.153,-0.008,-0.377,-0.169,0.114,-0.32,-0.405,-0.447
"6",5,10001,180650001,849,0.341,0.215,0.314,0.178,0.177,0.255,0.209,0.091,0.252,0.314,0.151,0.398,0.246,0.285,0.194,0.277,0.348,0.448,0.232,0.426,0.41,0.232,0.229,0.08
"7",6,60001,170850001,988,0.099,0.159,0.139,0.124,0.159,0.105,0.039,-0.024,0.126,0.099,0.135,-0.054,0.19,0.228,0.158,0.275,-0.088,0.266,0.197,-0.062,0.279,0.054,0.078,0.067
"8",7,10001,158950001,952,0.339,0.277,0.209,0.163,0.251,0.236,0.329,0.173,0.255,-0.043,0.181,0.479,0.224,0.349,0.3,0.358,0.36,0.422,0.278,0.442,0.324,0.29,0.123,0.091
"9",8,10001,8050001,62,0.137,0.199,0.013,0.026,0.301,0.109,0.045,0.135,0.146,0.097,0.03,0.112,-0.091,0.003,-0.046,0.438,0.146,0.101,0.065,0.174,-0.256,0.172,0.046,0.173
"10",8,8150001,146250001,664,-0.206,-0.273,-0.161,-0.328,-0.179,-0.003,-0.202,-0.095,-0.248,-0.139,-0.053,-0.075,-0.183,-0.096,-0.262,0.039,-0.1,-0.17,-0.338,-0.119,-0.702,-0.189,-0.294,0.063
"11",9,10001,141000001,383,-0.21,-0.202,0.026,-0.298,-0.147,-0.146,0.183,0.07,-0.196,0.145,-0.192,-0.118,-0.19,0.006,0.119,-0.14,0.279,-0.177,0.178,0.361,0.113,0.207,-0.021,0.082
"12",10,60001,4200001,52,0.157,0.64,0.037,0.475,0.292,-0.055,0.089,0.225,0.187,0.195,0.058,-0.132,-0.046,-0.032,0.057,0.269,0.206,0.145,0.268,0.294,0.222,0.21,0.175,-0.204
