"chrom","start.pos","end.pos","n.probes","GSM2402854_5684819014_R03C02","GSM2402859_5684819014_R01C02","GSM2402860_5911815001_R04C01","GSM2402862_5911815001_R02C01","GSM2402867_5684819013_R05C01","GSM2402876_6164621155_R05C02","GSM2402877_6164621081_R06C02","GSM2402878_6164621131_R02C02","GSM2402880_6164621081_R04C02","GSM2402882_6164621131_R02C01","GSM2402883_6164621131_R05C02","GSM2403113_6969568103_R03C02","GSM2403114_6969568103_R06C01","GSM2403116_6969568103_R02C02","GSM2403118_6969568103_R05C01","GSM2403190_6929806024_R02C02","GSM2403425_8622007029_R06C02","GSM2403740_9007225163_R05C02","GSM2403748_9007225163_R01C02","GSM2404132_9406921073_R06C01","GSM2404137_9406922158_R06C01","GSM2404366_9407210090_R01C02","GSM2404480_9444374134_R02C01","GSM2404488_9444375004_R06C01","GSM2404489_9444375004_R01C02","GSM2404491_9444375004_R05C02","GSM2404500_9444375017_R03C01","GSM2404518_9444375037_R04C02","GSM2404614_9741950021_R02C01","GSM2404648_9741950025_R05C01","GSM2404652_9741950030_R01C01","GSM2404662_9741950109_R03C02","GSM2404671_9741950100_R02C02","GSM2404876_9534104010_R02C01","GSM2405026_9969477058_R05C01","GSM2405194_9878820117_R04C02","GSM2405580_3999002049_R05C02","GSM2405581_3999002049_R06C02","GSM2405582_3999002051_R01C01","GSM2405583_3999002051_R04C01","GSM2405584_3999002051_R05C01","GSM2940812_200277210030_R05C01","GSM2941053_3998909027_R04C01","GSM2941178_3999078120_R02C02","GSM2941310_3999875073_R06C02","GSM2941411_9426021175_R03C02","GSM2941430_9444375114_R05C02","GSM2941469_9534104007_R01C02","GSM2941473_9534104007_R06C01","GSM2941484_9534104010_R05C01","GSM2941506_9611519051_R01C01","GSM2941562_9741950085_R04C01","GSM2941572_9741950095_R05C02","GSM2941820_9980102013_R03C02"
"1",1,521369,121086696,900,0.018,0.089,0.046,0.065,0.054,0.052,-0.023,0.049,0.04,0.026,0.278,0.006,0.069,0.043,0.074,0.006,0.072,0.019,-0.042,0.008,-0.008,-0.011,-0.011,-0.022,0.032,-0.027,0.029,-0.003,-0.011,0.084,-0.002,-0.021,-0.035,0.109,-0.008,0.083,0.005,-0.102,-0.149,0.009,-0.005,0.026,-0.056,0.042,-0.145,0.046,0.051,0,0.028,0.057,0.002,0.061,0.033,0.072
"2",1,121300001,249150001,693,0.254,0.071,-0.013,-0.019,0.163,0.069,-0.078,0.266,0.028,0.215,-0.065,0.224,0.289,0.013,0.165,0.192,0.031,-0.069,0.189,0.217,-0.007,-0.038,-0.045,-0.092,0.027,-0.044,0.026,-0.004,0.192,0.054,0.219,0.151,-0.075,0.122,0.003,0.052,-0.012,0.121,-0.003,0.096,0.003,-0.037,0.097,-0.021,-0.331,0.001,0.034,-0.042,0.003,0.244,-0.014,0.257,0.229,0.052
"3",2,10001,242950001,1282,-0.054,-0.066,-0.122,-0.128,-0.111,0.017,-0.019,-0.11,0.024,-0.023,-0.157,-0.033,-0.207,-0.076,-0.026,-0.055,-0.044,-0.135,-0.051,-0.04,-0.04,-0.052,0.013,-0.105,-0.009,-0.117,-0.067,-0.077,-0.045,0.045,-0.03,-0.049,-0.071,-0.064,-0.08,-0.121,-0.043,-0.104,-0.133,-0.064,-0.063,-0.134,-0.064,-0.073,-0.337,-0.121,-0.018,-0.513,-0.416,-0.061,-0.094,-0.059,-0.017,-0.061
"4",3,60001,89200001,452,-0.044,-0.145,-0.005,0.02,-0.055,0.022,-0.344,0.014,-0.017,-0.007,-0.147,-0.446,-0.274,-0.013,-0.211,-0.055,-0.141,-0.303,-0.211,-0.008,-0.021,-0.205,-0.057,-0.134,-0.156,-0.076,-0.042,-0.067,-0.06,-0.083,0.009,-0.06,-0.083,-0.108,-0.07,-0.01,-0.003,0.007,0.128,0.001,-0.047,-0.077,-0.142,-0.066,-0.157,-0.041,-0.007,-0.085,-0.328,0.051,-0.009,-0.337,0.059,-0.127
"5",3,93504855,164950001,346,-0.525,-0.283,-0.385,-0.014,-0.058,-0.008,-0.174,-0.438,-0.018,-0.437,-0.155,-0.495,-0.595,-0.139,-0.336,-0.091,-0.152,-0.203,-0.539,-0.357,-0.031,-0.087,-0.101,-0.649,-0.244,-0.049,-0.357,-0.074,-0.078,-0.292,-0.009,-0.363,-0.426,-0.121,-0.078,-0.183,-0.272,-0.11,-0.064,-0.019,-0.305,-0.354,-0.199,-0.256,-0.303,-0.039,-0.231,-0.087,-0.365,-0.296,-0.368,-0.381,-0.38,-0.171
"6",3,167050001,197700001,180,-0.025,0.033,0.042,-0.014,-0.044,0.044,-0.01,0.002,-0.012,-0.444,0.083,-0.045,-0.607,-0.156,-0.077,-0.076,-0.128,-0.091,-0.086,-0.01,-0.028,-0.081,-0.09,-0.269,-0.046,0.156,-0.049,-0.053,-0.085,-0.27,0.004,-0.059,-0.088,-0.122,-0.064,-0.188,0.073,-0.027,0.308,0.011,0.355,-0.121,-0.162,0.001,-0.141,0.061,-0.069,-0.08,-0.145,-0.115,-0.04,-0.42,0.047,0.005
"7",4,10001,58000001,292,-0.245,-0.072,0.041,0.05,0.023,0.089,-0.056,0.023,0.178,0.2,-0.076,-0.008,-0.001,0.013,0.029,-0.072,-0.108,0.035,-0.014,0.072,-0.001,-0.001,-0.016,-0.006,-0.078,-0.006,-0.029,-0.11,-0.022,0.053,0.075,0.153,-0.036,-0.028,-0.114,0.134,0.01,0.108,0.174,0.005,0.015,-0.022,0.105,0.194,-0.114,-0.011,0.025,0.01,0.016,-0.091,0.121,0.035,0.032,-0.043
"8",4,59789334,190900001,450,-0.626,-0.237,-0.108,-0.07,-0.556,-0.233,-0.419,-0.57,-0.465,-0.234,-0.241,-0.141,-0.448,-0.143,-0.36,-0.632,-0.308,-0.211,-0.087,-0.525,-0.099,-0.272,-0.171,-0.629,-0.258,-0.289,-0.308,-0.22,-0.515,-0.208,-0.434,-0.448,-0.581,-0.112,-0.185,-0.066,-0.121,-0.323,0.037,-0.006,-0.274,-0.516,-0.566,-0.351,-0.107,-0.351,-0.285,-0.082,-0.084,-0.299,0.016,-0.318,-0.233,-0.185
"9",5,10001,89850001,365,-0.03,0.009,0.033,0.078,-0.008,0.042,-0.244,-0.003,-0.01,-0.012,-0.163,-0.048,-0.048,-0.01,-0.032,-0.078,-0.039,0.018,0.127,-0.081,-0.012,-0.05,-0.065,-0.101,-0.017,-0.046,-0.051,0.052,-0.056,0.073,0.006,-0.043,-0.19,-0.041,0.009,-0.016,-0.037,0.03,0.059,-0.001,-0.013,-0.101,-0.203,-0.101,-0.046,-0.169,-0.022,-0.05,-0.014,-0.013,-0.016,0.02,0.069,-0.008
"10",5,90100001,180650001,484,-0.05,0.018,0.014,-0.174,-0.563,-0.19,-0.364,0.004,0.001,-0.2,-0.153,-0.026,-0.033,-0.051,-0.288,-0.042,-0.025,-0.146,-0.059,-0.132,-0.036,-0.374,-0.056,-0.476,-0.023,-0.069,-0.386,-0.259,-0.439,-0.31,-0.061,-0.385,-0.101,-0.041,-0.019,-0.372,-0.05,-0.031,0.022,0,-0.244,-0.29,-0.215,-0.122,-0.152,-0.164,-0.009,-0.067,-0.082,-0.352,-0.023,0.035,-0.311,-0.044
"11",6,60001,170850001,988,-0.053,-0.043,-0.088,-0.026,-0.037,-0.012,-0.122,-0.01,-0.01,-0.024,0.093,-0.049,-0.051,-0.004,-0.051,-0.06,-0.048,0.05,-0.013,-0.005,-0.039,-0.063,0.02,-0.127,-0.046,-0.07,-0.052,-0.076,-0.065,0.054,-0.03,-0.054,-0.129,-0.159,-0.051,-0.048,-0.049,0.036,0.002,0.033,-0.022,0.032,-0.067,-0.066,-0.105,-0.044,-0.024,-0.042,-0.008,-0.011,-0.056,0.001,0.002,0.053
"12",7,10001,158950001,952,-0.027,0.082,0.181,0.042,0.009,0.129,-0.097,-0.04,0.01,0.201,-0.01,-0.022,-0.037,0.052,0.062,0.157,0.219,0.053,0.151,0.165,-0.011,-0.023,0.095,0.004,0.011,0.202,-0.021,0.136,0.167,0.175,0.005,0.134,0.116,0.122,0.178,0.04,-0.004,0.1,0.091,0.039,0.05,0.123,0.022,-0.065,-0.058,0.111,0.21,-0.007,0.007,0.037,0.056,0.093,0.044,0.006
"13",8,10001,146250001,726,-0.059,0.025,0.051,-0.018,-0.102,-0.015,-0.133,-0.053,-0.205,-0.05,0.074,-0.045,0.047,-0.152,-0.101,-0.053,-0.057,-0.148,0.048,-0.018,-0.036,-0.056,-0.044,-0.105,-0.046,-0.091,-0.056,-0.037,-0.042,0.049,-0.014,-0.054,-0.049,-0.105,-0.01,0.058,-0.097,0.012,-0.087,-0.019,0.019,0.006,-0.028,-0.055,-0.254,-0.001,-0.105,-0.017,-0.006,-0.024,-0.226,-0.004,-0.002,0.008
"14",9,10001,141000001,383,-0.014,0.077,-0.146,0.01,0.264,-0.009,0.098,0.025,-0.021,0.018,0.11,0.026,-0.028,0.069,0.221,0.167,0.119,0.003,-0.2,0.019,0.007,-0.03,0.034,0.135,0.019,0.25,0.026,0.061,-0.046,0.076,0.029,-0.021,0.064,-0.004,-0.076,0.04,-0.018,0.123,-0.019,0.201,0.056,0.069,0.027,0.028,0.137,0.031,-0.04,0.006,0.088,0.097,-0.04,0.157,0.021,0.065
"15",10,60001,54550001,304,-0.02,0.022,-0.239,0.121,-0.025,0.003,-0.306,0.21,0.025,0.022,-0.14,-0.015,-0.011,0.13,0.021,-0.052,-0.022,0.004,-0.129,-0.018,0.012,-0.006,-0.045,-0.047,0.005,-0.036,0.126,0.009,0.044,0.082,0.019,0.006,-0.017,-0.137,-0.031,-0.001,0.008,-0.017,0.146,0.003,0.02,0.076,-0.002,-0.204,-0.399,-0.088,0.002,0,0.028,0.026,-0.084,0.02,-0.001,0.041
"16",10,54750001,135400001,536,-0.03,-0.313,-0.292,-0.219,-0.065,-0.254,-0.307,0.011,-0.122,-0.373,-0.173,-0.033,-0.273,-0.221,-0.248,-0.415,-0.024,-0.09,-0.177,-0.281,-0.014,-0.457,-0.113,-0.088,-0.11,-0.187,-0.078,0.127,-0.292,-0.269,-0.042,-0.318,-0.346,-0.288,-0.136,-0.326,-0.274,-0.177,-0.099,-0.054,-0.026,-0.237,-0.195,-0.108,-0.326,-0.135,0.055,-0.022,0.024,-0.148,-0.037,0.05,-0.273,-0.152
