"chrom","start.pos","end.pos","n.probes","GSM2402940_6969568004_R02C02","GSM2402942_6969568004_R05C02","GSM2403006_6929718009_R01C01","GSM2403034_6929793061_R01C02","GSM2403037_6929793061_R03C02","GSM2403053_6229017094_R05C01","GSM2403241_7970368141_R02C01","GSM2403251_7970368141_R03C02","GSM2403255_7970376026_R02C01","GSM2403257_7970376067_R03C02","GSM2403258_7970376067_R04C01","GSM2403261_7970368167_R02C01","GSM2403271_7970368167_R03C02","GSM2403278_7970376026_R06C01","GSM2403288_7970376026_R06C02","GSM2403293_7970368168_R05C02","GSM2403314_7970376005_R06C01","GSM2403318_7970376055_R05C01","GSM2403321_7970376067_R06C01","GSM2403326_7990895095_R04C01","GSM2403328_7990895095_R06C01","GSM2403337_7990895095_R06C02","GSM2403341_7990895127_R05C02","GSM2403342_7990895046_R01C02","GSM2403354_7990895093_R01C01","GSM2403362_7990908004_R02C01","GSM2403381_7990895046_R06C02","GSM2403383_7990895127_R03C01","GSM2403389_7990895093_R04C01","GSM2403434_8622007025_R05C02","GSM2403440_8622007026_R03C02","GSM2403523_8622007066_R06C01","GSM2403692_9007217108_R06C01","GSM2403698_9007217016_R06C02","GSM2403700_9007217016_R03C01","GSM2403838_9305216168_R01C01","GSM2403891_9297949147_R01C01","GSM2403918_9305216199_R04C01","GSM2404064_9374341006_R02C01","GSM2404065_9374341006_R04C01","GSM2404066_9374341006_R05C01","GSM2404096_9374342010_R05C02","GSM2404269_9379086089_R05C02","GSM2404520_9444374157_R04C02","GSM2404742_9741950152_R02C02","GSM2404743_9741950152_R06C02","GSM2404744_9761749012_R05C01","GSM2404747_9761749088_R06C01","GSM2404853_9533774072_R01C02","GSM2405062_9969477090_R02C02","GSM2405082_9969477099_R02C02","GSM2405371_3999834063_R04C01","GSM2940748_10006823024_R04C01","GSM2940841_200325530044_R04C02","GSM2940879_200362700196_R06C01","GSM2940925_200406080086_R05C01","GSM2940969_3998523056_R03C01","GSM2941003_3998546129_R05C01","GSM2941095_3998909181_R01C01","GSM2941314_3999875076_R04C01","GSM2941330_9340996003_R03C02","GSM2941429_9444375114_R04C02","GSM2941466_9533774097_R03C02","GSM2941603_9855358035_R06C02","GSM2941815_9969477124_R01C01"
"1",1,521369,249150001,1593,0.012,0.022,0.035,-0.018,-0.047,0.006,0.014,-0.001,-0.107,-0.06,-0.058,0.001,0.018,0.004,-0.01,-0.093,-0.018,-0.02,-0.073,-0.011,0.028,-0.063,-0.098,-0.018,0.01,-0.113,-0.088,-0.011,0.006,0.015,0.003,0.003,-0.009,0.01,-0.002,-0.014,0.011,-0.003,-0.043,0.008,0.004,-0.006,0.008,-0.017,0.01,0.033,-0.021,-0.021,-0.007,0.071,0.01,0.002,0.001,-0.063,0.103,-0.03,-0.077,-0.012,-0.009,-0.088,0.051,0.022,0.055,-0.064,-0.039
"2",2,10001,242950001,1282,-0.022,-0.011,-0.013,-0.063,0.127,-0.004,-0.033,-0.04,-0.123,-0.078,-0.084,-0.087,-0.024,-0.051,-0.03,-0.025,-0.045,-0.113,0.061,0.112,0.002,-0.092,0.103,0.181,-0.003,0.094,0.142,-0.019,0.015,-0.035,-0.041,0.006,-0.061,-0.064,-0.053,0.105,-0.069,-0.064,0.091,-0.028,-0.038,-0.042,-0.057,-0.067,-0.051,0.058,0.133,-0.117,-0.021,-0.012,-0.063,-0.054,0.184,-0.08,0.193,-0.072,-0.06,0.02,0.04,-0.087,-0.051,-0.033,-0.011,0.11,0.094
"3",3,60001,197700001,978,0.015,0.026,0.021,-0.041,-0.085,-0.019,-0.034,-0.056,-0.146,-0.092,-0.098,-0.109,0.013,-0.055,-0.027,-0.005,-0.067,-0.145,-0.113,0.092,-0.037,-0.113,-0.197,0.201,0.023,0.079,0.174,0.014,0.111,-0.013,-0.025,0.099,-0.045,-0.07,-0.04,-0.112,-0.061,-0.064,-0.095,-0.018,-0.026,-0.045,-0.052,-0.076,-0.027,-0.042,-0.084,-0.079,-0.012,-0.129,-0.051,-0.049,0.02,-0.096,-0.014,-0.12,-0.062,-0.031,-0.062,-0.076,-0.052,-0.021,-0.004,0.054,-0.083
"4",4,10001,190900001,742,-0.053,-0.032,-0.042,-0.089,-0.133,-0.081,-0.081,-0.077,-0.156,-0.111,-0.118,-0.167,-0.054,-0.108,-0.051,-0.033,-0.071,-0.206,-0.159,-0.137,-0.027,-0.121,-0.217,-0.026,-0.002,0.047,-0.138,-0.024,-0.062,-0.073,-0.066,0.031,-0.132,-0.135,-0.097,-0.217,-0.145,-0.123,-0.131,-0.059,-0.069,-0.08,-0.129,-0.108,-0.094,-0.13,-0.154,-0.174,-0.024,-0.065,-0.127,-0.113,-0.073,-0.127,-0.118,-0.115,-0.087,-0.09,-0.097,-0.113,-0.093,-0.089,-0.031,-0.173,-0.116
"5",5,10001,180650001,849,0.001,0.018,0.014,-0.044,-0.088,-0.024,-0.02,-0.038,-0.139,-0.075,-0.084,-0.083,-0.005,-0.044,-0.018,-0.008,-0.045,-0.097,-0.12,-0.067,0.032,-0.101,-0.182,0.004,0.022,-0.157,-0.104,-0.001,-0.014,-0.024,-0.027,0.065,-0.038,-0.055,-0.042,-0.116,-0.062,-0.064,-0.089,-0.018,-0.028,-0.035,-0.055,-0.058,-0.039,-0.058,-0.088,-0.095,-0.012,-0.151,-0.057,-0.045,-0.031,-0.084,-0.034,-0.096,-0.065,-0.057,-0.052,-0.081,-0.041,-0.02,-0.001,-0.122,-0.075
"6",6,60001,170850001,988,-0.02,-0.013,-0.02,-0.063,-0.107,-0.048,-0.046,-0.051,-0.129,-0.085,-0.085,-0.125,-0.032,-0.067,-0.037,-0.012,-0.055,-0.16,-0.143,-0.085,0.008,-0.106,-0.203,-0.006,0.011,-0.161,-0.097,-0.01,-0.032,-0.04,-0.053,0.048,-0.109,-0.088,-0.069,-0.157,-0.094,-0.092,0.031,-0.034,-0.045,-0.048,-0.082,-0.072,-0.064,-0.096,-0.122,-0.15,-0.027,-0.173,-0.079,-0.066,-0.056,-0.084,-0.059,-0.099,-0.061,-0.07,-0.066,-0.071,-0.039,-0.051,-0.007,0.095,-0.095
"7",7,10001,158950001,952,0.022,0.027,0.027,0.182,0.112,-0.007,-0.013,-0.014,-0.074,-0.043,-0.049,-0.069,-0.013,-0.024,-0.007,0.012,-0.022,-0.11,-0.089,-0.037,0.042,-0.053,-0.034,0.006,0.024,-0.103,-0.079,0.012,-0.002,0,-0.006,0.058,-0.099,-0.045,-0.031,-0.103,-0.045,-0.045,0.073,-0.002,-0.012,-0.003,-0.042,-0.021,-0.029,-0.055,-0.09,-0.133,-0.019,0.007,-0.041,-0.023,-0.027,-0.04,-0.019,-0.061,-0.011,-0.032,-0.022,-0.028,0.017,-0.002,0.018,0.12,0.226
"8",8,10001,146250001,726,-0.035,-0.022,-0.018,-0.067,-0.115,-0.054,-0.035,-0.036,-0.126,-0.092,-0.092,-0.089,-0.023,-0.051,-0.04,-0.042,-0.044,-0.115,-0.12,-0.153,-0.019,-0.087,-0.266,-0.026,-0.002,-0.137,-0.129,-0.028,-0.036,-0.048,-0.041,0.003,-0.081,-0.084,-0.057,-0.133,-0.079,-0.075,-0.11,-0.03,-0.039,-0.036,-0.075,-0.067,-0.058,-0.088,-0.105,-0.151,-0.024,-0.163,-0.075,-0.054,-0.056,-0.077,-0.076,-0.074,-0.055,-0.056,-0.053,-0.106,-0.044,-0.043,-0.013,-0.154,-0.082
"9",9,10001,141000001,383,-0.279,-0.08,-0.335,-0.028,-0.042,0.006,-0.3,0.005,-0.073,-0.029,-0.028,-0.175,0.023,-0.33,-0.262,-0.384,-0.003,-0.228,0.146,0.058,-0.322,-0.48,-0.357,0.163,0.013,-0.079,-0.079,-0.37,0.014,-0.301,-0.294,-0.404,0.01,-0.424,0.015,0.007,-0.198,0.014,-0.049,0.004,0.002,-0.003,-0.29,-0.388,0.016,-0.298,0.006,0.023,0.001,-0.002,0.008,0.008,-0.001,-0.034,-0.411,-0.003,-0.059,-0.069,-0.003,-0.062,-0.37,-0.16,-0.266,-0.062,0.199
"10",10,60001,135400001,840,0.011,-0.294,-0.369,-0.031,0.093,-0.01,0.01,-0.011,-0.079,-0.044,-0.047,-0.026,-0.169,-0.003,-0.004,-0.008,-0.013,-0.051,-0.06,-0.03,0.046,-0.04,-0.096,0,0.022,-0.093,-0.075,0.008,0.001,0.004,-0.007,0.03,-0.03,-0.015,-0.015,-0.079,-0.239,-0.029,-0.137,-0.006,-0.009,-0.011,-0.026,-0.02,-0.012,-0.029,-0.051,-0.248,-0.018,-0.11,-0.025,-0.014,-0.018,-0.038,-0.014,-0.429,-0.035,-0.024,-0.021,-0.064,-0.005,-0.204,-0.012,-0.09,-0.062
