"chrom","start.pos","end.pos","n.probes","GSM2402990_6929689149_R01C02","GSM2403199_6929806038_R05C02","GSM2403704_9007225003_R04C01","GSM2403920_9305651050_R02C02","GSM2403923_9305651050_R01C01","GSM2403924_9305651050_R03C01","GSM2403927_9305651050_R06C01","GSM2403928_9305651046_R03C02","GSM2403930_9305651046_R04C01","GSM2403931_9305651046_R06C01","GSM2403932_9305651046_R02C02","GSM2403933_9305651050_R01C02","GSM2403934_9305651046_R06C02","GSM2404011_9340996008_R04C01","GSM2404522_9444375114_R03C01","GSM2404629_9741950023_R06C02","GSM2405018_9969477061_R01C02","GSM2405019_9969477063_R02C01","GSM2405020_9969477063_R06C01","GSM2405083_9969477111_R01C01","GSM2405366_3999834062_R05C01","GSM2405367_3999834062_R06C01","GSM2940847_200325530103_R06C02"
"1",1,521369,249150001,1593,0.003,0.015,-0.01,0.006,0.037,0.027,0.03,0.092,0.068,0.047,0.06,0.044,0.04,-0.02,-0.059,-0.031,0.007,0.044,0.059,0.053,0.059,0.087,0.056
"2",2,10001,242950001,1282,-0.04,0.011,-0.021,0.011,0.051,0.041,0.03,-0.05,0.052,-0.1,0.033,0.048,0.023,-0.018,-0.093,0.012,-0.003,0.026,0.067,-0.011,0.011,-0.016,-0.007
"3",3,60001,197700001,978,-0.009,-0.151,-0.177,0.019,0.073,0.082,-0.225,-0.23,-0.278,-0.082,0.055,0.057,-0.095,-0.027,-0.319,-0.105,-0.052,-0.364,-0.568,-0.16,0.02,-0.154,-0.027
"4",4,10001,190900001,742,0.136,-0.046,-0.003,-0.037,0.01,-0.018,-0.029,-0.108,0.022,0.034,-0.015,-0.001,-0.025,0.11,0.028,-0.009,-0.041,-0.009,0.078,-0.053,-0.04,-0.027,-0.068
"5",5,10001,180650001,849,-0.011,0.039,0.015,0.018,0.072,0.063,0.135,0.07,0.073,0.117,0.053,0.057,0.045,-0.016,0.067,0.085,-0.01,0.03,0.083,0.012,0.023,0.055,-0.003
"6",6,60001,170850001,988,0.187,0.016,-0.008,0.032,0.075,0.083,0.065,0.049,0.064,0.108,0.039,0.064,0.037,-0.006,0.067,0.101,-0.001,0.031,0.077,-0.019,0.011,0.026,-0.027
"7",7,10001,158950001,952,0.027,0.063,0.029,0.071,0.128,0.123,0.105,0.092,0.126,0.145,0.091,0.109,0.072,0.044,-0.048,0.143,0.048,0.068,0.135,0.006,0.048,0.081,0.021
"8",8,10001,146250001,726,0.191,0.202,0.237,0.236,0.305,0.252,0.195,0.222,0.072,0.214,0.041,0.058,0.2,0.185,0.261,0.099,0.295,0.033,0.398,0.258,0.023,0.05,0.235
"9",9,10001,141000001,383,0.191,0.062,-0.009,0.223,0.055,0.241,0.034,0.05,0.075,0.074,0.056,0.058,-0.056,0.179,-0.053,-0.023,0.009,0.045,0.097,0.047,0.046,0.082,0.058
"10",10,60001,135400001,840,-0.446,-0.264,-0.184,-0.384,-0.377,-0.37,-0.215,-0.276,-0.235,-0.333,-0.269,-0.234,-0.265,-0.321,-0.28,-0.261,-0.269,-0.311,-0.5,-0.397,-0.348,-0.223,-0.347
"11",11,60001,134800001,914,0.209,0.062,-0.009,0.02,0.07,0.063,0.044,0.089,0.086,0.226,0.061,0.061,0.053,-0.008,0.064,0.072,-0.003,0.034,0.099,0.038,0.035,0.071,0.028
"12",12,145740,133700001,848,0.214,0.05,0.006,0.251,0.079,0.282,0.228,0.083,0.08,0.239,0.062,0.054,0.058,0.179,0.088,0.077,0.014,0.045,0.117,0.1,0.038,0.068,0.025
"13",13,19020001,115050001,431,-0.02,0.004,0.011,0.085,0.146,0.173,0.03,0.048,0.094,0.018,0.062,0.113,0.188,0.043,0.073,0.179,0.038,0.046,0.139,-0.042,0.006,-0.014,-0.051
"14",14,19000001,106950001,528,-0.009,0.05,-0.012,0.008,0.039,0.019,-0.221,0.036,-0.285,-0.118,0.054,0.038,-0.097,-0.024,0.081,0.045,0.004,0.041,0.06,0.034,0.05,-0.092,-0.359
"15",15,20000001,102300001,571,0,0.061,0.002,0.02,0.059,0.02,0.036,0.085,0.082,-0.111,0.059,0.059,0.027,-0.011,0.075,0.045,-0.027,0.054,0.094,0.049,0.059,0.03,0.057
"16",16,60001,90150001,624,0.001,0.077,0.069,0.05,0.12,0.05,0.051,0.103,0.133,0.088,0.069,-0.063,0.167,0.032,0.089,0.104,0.049,0.065,0.175,0.052,0.058,0.093,0.09
"17",17,1,81050001,814,-0.112,-0.009,0.021,-0.063,-0.022,-0.103,0.083,-0.023,0.017,-0.026,-0.034,-0.021,-0.035,-0.074,0.032,-0.018,0.018,0.004,0.063,0.011,-0.006,0.012,0.03
"18",18,10001,77950001,243,-0.15,-0.083,-0.045,-0.107,-0.056,-0.111,-0.086,-0.096,-0.022,-0.038,-0.06,-0.05,-0.076,-0.111,-0.315,-0.053,-0.065,-0.028,0.061,-0.047,-0.05,-0.1,-0.048
"19",19,60001,59050001,711,0.147,0.039,0.045,-0.005,0.029,-0.035,0.016,0.068,0.067,0.007,0.028,0.126,-0.031,-0.016,0.067,0.004,0.016,0.04,0.089,0.04,0.031,0.047,0.055
"20",20,60001,62850001,359,0.147,0.028,0.014,-0.023,0,-0.012,0.003,0.052,0.023,0.129,0.005,0.004,0,-0.03,0.036,0.019,-0.017,0.011,0.067,0.03,0.02,-0.001,0.012
"21",21,10697897,48050001,157,-0.026,0.027,0.078,0.229,0.095,0.04,0.121,0.067,0.109,0.086,0.058,0.086,0.16,0.012,0.09,0.031,0.045,0.063,0.174,0.027,0.031,0.002,0.044
"22",22,16050001,51200001,300,-0.418,0.058,0.022,-0.016,-0.425,-0.056,-0.238,0.012,-0.213,0.013,-0.254,-0.251,0.012,0.152,-0.025,-0.137,0.002,0.062,0.078,0.07,0.072,-0.043,0.1
