"chrom","start.pos","end.pos","n.probes","GSM2403627_8622007189_R05C01","GSM2403629_8622007189_R01C02","GSM2403632_8622007189_R06C02","GSM2403633_8622007203_R03C01","GSM2403634_8622007203_R04C01","GSM2403635_8622007203_R06C01","GSM2403636_8622007203_R01C02","GSM2403637_8622007203_R02C02","GSM2403768_9296930017_R02C01","GSM2403769_9296930017_R05C01","GSM2403770_9296930017_R06C01","GSM2403771_9296930017_R01C02","GSM2403772_9296930017_R02C02","GSM2403773_9296930014_R02C01","GSM2403774_9296930017_R03C02","GSM2403775_9296930017_R04C02","GSM2404073_9373551108_R06C01","GSM2404773_9829119124_R04C01","GSM2404782_9533774013_R02C02","GSM2404784_9533774013_R04C02","GSM2405271_10006823024_R05C01","GSM2940824_200325530023_R01C01","GSM2941337_9370847051_R04C02"
"1",1,521369,249150001,1593,-0.06,-0.04,-0.132,-0.015,-0.096,-0.084,-0.033,-0.018,-0.016,-0.014,-0.009,-0.007,0.011,0.012,0.011,0.011,-0.084,-0.101,-0.073,-0.08,0.002,-0.024,0.016
"2",2,10001,242950001,1282,-0.075,-0.062,-0.127,-0.053,-0.104,-0.085,-0.048,-0.052,-0.021,-0.026,-0.032,-0.028,-0.013,-0.013,-0.015,-0.021,-0.091,-0.089,-0.09,-0.082,-0.043,-0.073,-0.015
"3",3,60001,197700001,978,-0.108,-0.081,-0.168,-0.066,-0.15,-0.113,-0.067,-0.061,-0.003,0.001,-0.027,-0.016,0.004,0.011,0.009,-0.009,-0.102,-0.101,-0.138,-0.118,-0.015,-0.11,0
"4",4,10001,190900001,742,-0.091,-0.081,-0.133,-0.089,-0.112,-0.089,-0.074,-0.081,-0.054,-0.046,-0.066,-0.07,-0.049,-0.047,-0.045,-0.059,-0.115,-0.128,-0.12,-0.106,-0.081,-0.128,-0.056
"5",5,10001,180650001,849,-0.088,-0.07,-0.156,-0.056,-0.131,-0.107,-0.053,-0.05,-0.01,-0.015,-0.022,0.056,0.006,0.005,0.009,0,-0.095,0.152,-0.112,-0.093,0.133,-0.083,-0.001
"6",6,60001,170850001,988,-0.09,-0.074,-0.132,-0.065,-0.124,-0.106,-0.063,-0.059,-0.017,-0.016,-0.031,-0.02,-0.008,-0.005,-0.002,-0.01,-0.09,-0.067,-0.101,-0.084,-0.041,-0.09,-0.01
"7",7,10001,158950001,952,-0.046,-0.032,-0.098,-0.028,-0.079,-0.062,-0.02,-0.018,0.023,0.013,0.009,0.022,0.027,0.026,0.023,0.018,-0.045,-0.055,-0.062,-0.046,-0.013,-0.042,0.023
"8",8,10001,146250001,726,-0.07,-0.058,-0.134,-0.061,-0.103,-0.088,-0.047,-0.046,-0.023,-0.025,-0.037,-0.029,-0.015,-0.015,-0.015,-0.017,-0.079,-0.094,-0.09,-0.064,0.092,-0.059,-0.015
"9",9,10001,141000001,383,-0.031,-0.017,-0.084,-0.002,-0.064,-0.04,-0.006,0.004,-0.009,-0.006,-0.005,-0.006,0.006,0.02,0.005,0.004,-0.044,-0.087,-0.055,-0.056,-0.007,-0.006,0.014
"10",10,60001,135400001,840,-0.039,-0.034,-0.094,-0.024,-0.071,-0.055,-0.018,-0.014,0.01,0.002,0.004,0.007,0.017,0.014,0.02,0.015,-0.049,-0.065,-0.054,-0.044,-0.006,-0.035,0.013
"11",11,60001,134800001,914,-0.081,-0.055,-0.15,-0.04,-0.123,-0.092,-0.043,-0.032,0.001,-0.009,-0.017,-0.006,0.015,0.012,0.017,0.006,-0.074,-0.104,-0.107,-0.086,0.011,-0.068,0.014
"12",12,145740,133700001,848,-0.066,-0.051,-0.121,-0.033,-0.096,-0.079,-0.043,-0.034,-0.01,-0.011,-0.012,-0.012,0.003,0.008,0.004,-0.005,-0.081,0.159,-0.079,-0.079,-0.026,-0.064,0
"13",13,19020001,115050001,431,-0.074,-0.055,-0.088,-0.067,-0.094,-0.079,-0.043,-0.058,0.015,0.027,-0.012,0.006,0.008,0.01,0.008,-0.005,-0.05,-0.023,-0.074,-0.058,-0.047,-0.089,-0.004
"14",14,19000001,106950001,528,-0.059,-0.044,-0.139,-0.024,-0.102,-0.083,-0.038,-0.026,-0.029,-0.028,-0.017,-0.024,-0.003,-0.004,-0.004,-0.005,-0.088,-0.105,-0.081,-0.084,-0.015,-0.029,0.001
"15",15,20000001,102300001,571,-0.039,-0.024,-0.096,-0.007,-0.065,-0.053,-0.02,-0.007,-0.016,-0.027,-0.003,-0.006,0.005,0.007,0.007,0.006,-0.071,-0.085,-0.06,-0.064,-0.008,-0.018,0.018
"16",16,60001,90150001,624,0,0.004,-0.018,0.01,-0.006,-0.003,0.013,0.017,0.012,-0.009,0.011,0.009,0.007,0.015,0.002,0.003,-0.002,0.164,-0.002,-0.008,0.022,0.013,0.017
"17",17,1,81050001,814,-0.043,-0.046,-0.065,-0.036,-0.037,-0.039,-0.043,-0.033,-0.099,-0.099,-0.071,-0.092,-0.084,-0.074,-0.092,-0.081,-0.091,-0.157,-0.048,0.017,-0.059,-0.028,-0.065
"18",18,10001,77950001,243,-0.055,-0.057,-0.054,-0.067,-0.024,-0.019,-0.057,-0.055,-0.122,-0.107,-0.092,-0.135,-0.108,-0.101,-0.111,-0.101,-0.103,-0.18,-0.079,-0.098,-0.108,-0.074,-0.1
"19",19,60001,59050001,711,-0.005,-0.009,-0.024,-0.008,-0.001,0.003,-0.019,-0.004,-0.078,-0.1,-0.035,-0.059,-0.067,-0.059,-0.081,-0.067,-0.054,-0.153,-0.026,-0.06,-0.068,0.005,-0.031
"20",20,60001,62850001,359,-0.056,-0.046,-0.078,-0.039,-0.06,-0.054,-0.047,-0.038,-0.059,-0.054,-0.047,-0.052,-0.044,-0.043,-0.047,-0.044,-0.08,-0.143,-0.061,-0.077,-0.037,-0.043,-0.034
"21",21,10697897,48050001,157,0.005,0.004,-0.014,0,0.008,0.013,0.002,0.009,-0.014,-0.038,-0.005,-0.021,-0.008,-0.012,-0.004,-0.007,-0.015,-0.076,-0.009,-0.016,-0.015,-0.01,-0.009
