"chrom","start.pos","end.pos","n.probes","GSM2404034_9340996058_R03C01","GSM2404239_9406921149_R04C01","GSM2404244_9406921149_R06C01","GSM2404245_9406921149_R01C02","GSM2404246_9406921149_R02C02","GSM2404247_9406921149_R03C02","GSM2404248_9406921149_R05C02","GSM2404436_9420867053_R02C02","GSM2404541_9553932029_R03C01","GSM2404542_9553932029_R04C01","GSM2404544_9553932029_R01C02","GSM2404612_9741950008_R03C02","GSM2404689_9647455131_R04C02","GSM2404780_9533774023_R04C01","GSM2404820_9533774024_R04C01","GSM2940781_10006823141_R06C01","GSM2940919_200400320088_R05C01","GSM2940980_3998523057_R05C02","GSM2941824_9980102013_R06C02"
"1",1,521369,249150001,1593,0.041,0,-0.002,-0.041,-0.01,0.004,0.043,-0.105,-0.001,-0.013,0,0.007,0.059,-0.009,0.006,-0.001,0.022,0.035,0.009
"2",2,10001,242950001,1282,0.015,0.016,0.017,-0.03,-0.007,-0.008,0.06,0,0.032,-0.012,0.006,0.023,0.055,-0.001,0.009,-0.046,0.026,0.001,-0.041
"3",3,60001,197700001,978,0.039,-0.222,0.026,-0.058,-0.017,-0.004,-0.306,-0.101,0.042,-0.109,0.013,-0.019,0.069,-0.025,-0.003,-0.061,-0.327,-0.004,-0.032
"4",4,10001,190900001,742,-0.062,-0.025,-0.027,-0.014,-0.04,-0.055,-0.018,-0.04,-0.021,-0.07,-0.048,-0.051,-0.002,-0.029,-0.022,-0.075,0.004,-0.059,-0.048
"5",5,10001,180650001,849,0.04,0.006,0.011,-0.035,-0.015,-0.008,0.068,0.01,0.034,-0.077,0.01,0.015,0.065,-0.011,0.009,-0.041,0.014,0.012,-0.033
"6",6,60001,45650001,436,0.179,0.063,0.077,0.176,0.092,0.24,0.098,0.162,0.166,0.174,0.24,0.064,0.072,0.024,0.019,0.21,0.028,0.121,0.134
"7",6,45950001,170850001,552,0.02,0.034,0.039,0.193,0.063,0.026,0.111,-0.04,0.076,-0.394,0.045,0.033,0.079,0.012,0.028,-0.051,0.021,-0.049,-0.059
"8",7,10001,158950001,952,0.076,0.061,0.138,0.182,0.021,0.03,0.117,0.033,0.088,0.037,0.048,0.07,0.099,0.075,0.061,-0.021,0.058,0.047,-0.009
"9",8,10001,146250001,726,-0.001,0.007,0.019,-0.01,0.062,0,0.051,0.11,0.078,0.144,0.012,0.018,0.075,0.018,0.028,0.124,0.051,0.07,0.064
"10",9,10001,141000001,383,0.028,0.041,0.019,-0.03,0.038,-0.004,0.056,0.029,0.008,0.054,0.034,0.019,0.026,-0.005,0.001,0,0.032,0.035,-0.005
"11",10,60001,135400001,840,0.041,0.051,0.05,0.021,0.01,0.016,0.07,0.033,0.054,-0.003,0.027,0.038,0.06,0.03,0.048,0.007,0.052,0.032,0.014
"12",11,60001,134800001,914,0.051,0.018,0.016,-0.06,-0.015,-0.005,0.083,0,0.026,-0.003,0.011,0.018,0.056,-0.02,0.006,-0.033,-0.013,-0.014,-0.098
"13",12,145740,133700001,848,0.029,0.022,0.025,-0.026,0,0.004,0.079,0.026,0.035,-0.058,0.013,0.027,0.05,0,0.02,-0.019,0.018,-0.007,-0.024
"14",13,19020001,115050001,431,0.062,0.096,0.085,-0.005,0.03,0.038,0.192,-0.002,0.16,-0.056,0.065,0.113,0.126,0.04,0.062,-0.079,0.047,0.015,-0.086
"15",14,19000001,106950001,528,0.022,-0.018,-0.016,-0.033,-0.008,0.001,0.022,0.025,-0.023,-0.035,-0.003,-0.003,0.047,-0.017,-0.002,-0.002,0.022,0.027,0.017
"16",15,20000001,102300001,571,0.03,0.013,0.02,-0.007,0.006,0.01,0.034,0.062,0,0.03,0.007,0.02,0.053,0.009,0.012,0.011,0.043,0.045,0.029
"17",16,60001,90150001,624,0.03,0.082,0.061,0.037,0.005,0.013,0.065,0.037,0.062,0.023,0.015,0.046,0.027,0.039,0.055,0.015,0.069,0.04,0.005
"18",17,1,81050001,814,-0.014,-0.009,-0.047,-0.021,-0.05,-0.055,-0.068,-0.023,-0.075,0.003,-0.083,-0.061,-0.151,0.044,-0.035,-0.014,0.026,-0.03,0.014
"19",18,10001,77950001,243,-0.143,-0.055,-0.056,-0.003,-0.052,-0.079,-0.081,-0.06,-0.091,0.027,-0.096,-0.113,-0.273,-0.434,-0.052,-0.046,0.033,-0.079,-0.018
"20",19,60001,59050001,711,-0.055,0.006,-0.006,-0.004,-0.026,-0.018,-0.049,0.015,-0.032,0.057,-0.05,-0.032,-0.035,-0.008,-0.016,0.002,0.045,0.001,0.003
"21",20,60001,62850001,359,-0.012,-0.019,-0.038,-0.075,-0.034,-0.035,0.026,-0.02,-0.023,-0.032,-0.042,0.034,0.022,-0.046,-0.031,-0.044,0.008,-0.005,-0.056
"22",21,10697897,48050001,157,-0.002,0.07,0.042,0.039,0.012,0.014,0.052,0.032,0.052,0.078,0.002,0.028,0.011,0.035,0.046,0.01,0.069,0.009,0.011
"23",22,16050001,51200001,300,-0.008,0.008,-0.012,-0.009,-0.007,0,-0.056,0.041,0.245,0.051,-0.032,-0.011,-0.009,0.011,0.009,0.041,0.071,0.046,0.051
