"chrom","start.pos","end.pos","n.probes","GSM2404537_9553932008_R05C02","GSM2404538_9553932008_R06C02","GSM2404610_9741950007_R05C02","GSM2404732_9741950101_R04C01","GSM2405126_9855358058_R01C01","GSM2405127_9855358058_R03C01","GSM2405128_9855358058_R04C01","GSM2405182_9878820104_R04C02","GSM2405183_9878820105_R01C01","GSM2940795_10006823160_R01C01","GSM2941545_9741950008_R01C02"
"1",1,521369,121086696,900,-0.263,-0.253,-0.382,-0.032,-0.47,-0.159,-0.269,-0.15,-0.035,-0.146,-0.206
"2",1,121300001,249150001,693,0.096,-0.229,0.263,-0.085,0.159,0.149,0.159,-0.153,-0.042,-0.026,0.253
"3",2,10001,242950001,1282,0.068,-0.229,0.023,-0.088,0.17,0.012,0.034,-0.05,-0.057,-0.042,0.149
"4",3,60001,197700001,978,-0.317,-0.24,-0.457,-0.136,-0.512,-0.275,-0.192,-0.184,-0.289,-0.098,-0.262
"5",4,10001,190900001,742,-0.311,-0.227,-0.034,-0.137,-0.069,-0.248,-0.157,-0.033,-0.077,-0.086,-0.299
"6",5,10001,180650001,849,0.006,0.02,0.004,0.042,-0.074,-0.221,-0.018,-0.069,-0.047,-0.037,0.064
"7",6,60001,170850001,988,0.076,-0.013,0.007,-0.114,-0.083,-0.026,-0.049,-0.101,-0.054,-0.047,0.063
"8",7,10001,158950001,952,0.129,0.096,0.044,0.079,0.197,0.283,0.12,0.124,-0.007,0.113,0.08
"9",8,10001,146250001,726,0.091,-0.203,0.016,-0.082,-0.049,-0.202,0.01,-0.073,-0.053,-0.025,-0.066
"10",9,10001,141000001,383,-0.262,-0.594,0.054,-0.077,-0.024,-0.143,-0.005,-0.219,-0.196,0.061,-0.07
"11",10,60001,135400001,840,-0.248,-0.153,-0.388,-0.064,-0.029,-0.164,-0.149,-0.186,-0.006,-0.144,-0.221
"12",11,60001,134800001,914,0.081,-0.208,0.018,-0.093,-0.074,-0.218,-0.052,-0.107,-0.043,-0.031,0.047
"13",12,145740,133700001,848,0.095,0.039,0.021,-0.085,-0.048,0.162,-0.022,-0.087,-0.03,-0.032,-0.06
"14",13,19020001,115050001,431,-0.311,-0.15,-0.446,-0.344,-0.548,-0.607,-0.128,-0.195,-0.04,-0.095,-0.118
"15",14,19000001,106950001,528,-0.223,-0.271,-0.404,-0.28,-0.492,-0.178,-0.295,-0.194,-0.24,-0.013,-0.215
"16",15,20000001,102300001,571,0.121,-0.223,0.048,-0.046,-0.024,0.043,-0.085,-0.077,-0.026,0.005,-0.032
"17",16,60001,90150001,624,0.121,-0.063,0.069,0.003,0.004,-0.109,0.033,-0.019,0.033,0.02,0.084
"18",17,1,81050001,814,-0.02,-0.209,0.02,-0.034,-0.033,0.04,-0.008,-0.097,-0.045,-0.05,0.023
"19",18,10001,77950001,243,-0.291,0.009,-0.318,-0.065,-0.007,-0.158,-0.223,-0.145,-0.069,-0.087,-0.576
"20",19,60001,59050001,711,-0.087,-0.2,0.042,0,0.013,0.07,0.026,-0.025,-0.007,0.073,0.112
"21",20,60001,62850001,359,0.038,-0.012,0.016,-0.045,-0.061,-0.15,-0.041,-0.078,-0.06,-0.051,0.007
"22",21,10697897,48050001,157,-0.193,-0.116,0.056,-0.008,0.022,0.068,-0.017,-0.002,0.023,-0.016,0.063
"23",22,16050001,51200001,300,-0.204,-0.219,0.082,0.055,0.023,-0.072,0.034,-0.129,-0.066,0.006,-0.043
