"chrom","start.pos","end.pos","n.probes","GSM2403950_9305651055_R01C01","GSM2403951_9305651055_R02C01","GSM2403965_9305651055_R06C01","GSM2404009_9340996003_R01C02","GSM2404016_9340996003_R02C01","GSM2404018_9340996003_R04C01","GSM2404030_9340996050_R06C02","GSM2404118_9376561062_R02C01","GSM2404199_9376561024_R02C01","GSM2404651_9741950027_R02C01","GSM2404852_9533774097_R02C02","GSM2404925_9969477006_R02C02","GSM2405094_9969477124_R04C01","GSM2405218_9878820156_R04C01","GSM2405304_3999875056_R06C02","GSM2405314_10003886253_R03C01","GSM2941213_3999100100_R05C02","GSM2941423_9444375033_R06C02"
"1",1,521369,249150001,1593,0.026,0.029,0.034,0.023,0.001,0.024,-0.027,0.048,-0.014,0.045,0.021,0.036,0.024,-0.001,0.03,0.034,0.019,0
"2",2,10001,242950001,1282,0.034,0.026,0.029,0.006,0.033,0.019,-0.033,0.041,-0.018,0.024,0.035,-0.03,-0.004,-0.03,0,0.007,-0.015,0.014
"3",3,60001,197700001,978,0.054,0.042,0.063,0.008,0.024,0.028,-0.037,0.064,-0.054,0.062,0.03,-0.052,-0.012,-0.016,-0.001,0.004,-0.054,0.027
"4",4,10001,190900001,742,-0.012,-0.036,-0.032,-0.039,-0.033,-0.035,-0.074,-0.056,-0.043,-0.053,-0.016,-0.096,-0.053,-0.092,-0.069,-0.05,-0.043,-0.01
"5",5,10001,180650001,849,0.051,0.038,0.056,0.011,0.029,0.027,0.209,0.058,-0.028,0.022,0.03,-0.039,0.008,-0.007,0.134,0.012,-0.015,0.016
"6",6,60001,170850001,988,0.039,0.042,0.049,0.006,0.044,0.029,-0.024,0.067,-0.028,0.031,0.053,-0.058,0.001,-0.021,0.007,-0.002,-0.029,0.029
"7",7,10001,158950001,952,0.098,0.077,0.102,0.055,0.112,0.085,0.019,0.125,0.015,0.076,0.078,-0.03,0.048,0,0.053,0.05,0.025,0.052
"8",8,10001,146250001,726,0.041,0.024,0.034,0.017,0.039,0.03,0.206,0.045,-0.003,0.24,0.03,-0.024,0.009,0.238,0.007,0.014,0.008,0.007
"9",9,10001,141000001,383,0.045,0.041,0.046,0.023,0.049,0.031,-0.008,0.066,0.014,0.012,-0.069,0.022,0.013,0.012,0.014,0.029,0.017,0.024
"10",10,60001,135400001,840,0.062,0.052,0.062,0.041,0.071,0.048,0.005,0.078,0.028,0.061,0.054,-0.002,0.043,0.009,0.043,0.044,0.038,0.047
"11",11,60001,134800001,914,0.048,0.036,0.058,0.014,0.043,0.033,-0.023,0.063,-0.03,0.069,0.032,-0.011,0.003,-0.012,0.013,0.017,-0.029,0.018
"12",12,145740,133700001,848,0.044,0.041,0.051,0.022,0.029,0.03,-0.017,0.055,-0.011,0.051,0.037,-0.016,0.02,-0.011,0.027,0.022,0.006,0.038
"13",13,19020001,115050001,431,0.097,-0.002,0.121,0.036,-0.18,0.084,0.011,0.131,-0.023,0.079,-0.27,-0.109,0.004,-0.005,-0.035,0.023,-0.046,0.065
"14",14,19000001,106950001,528,0.026,0.022,0.021,0.02,-0.002,0.014,-0.038,0.019,-0.119,0.023,0.025,0.027,0.017,-0.008,0.018,0.026,0.017,-0.005
"15",15,20000001,102300001,571,0.028,0.031,0.037,0.031,0.01,0.027,-0.016,0.034,0.011,0.038,0.029,0.031,0.041,0.01,0.033,0.036,0.042,0.016
"16",16,60001,90150001,624,0.047,0.048,0.059,0.045,0.11,0.053,0.036,0.099,0.064,0.067,0.048,0.034,0.047,0.269,0.055,0.049,0.062,0.07
"17",17,1,81050001,814,-0.089,-0.061,-0.084,-0.043,-0.042,-0.065,-0.057,-0.063,0.008,-0.067,-0.046,0.022,-0.045,-0.034,-0.035,-0.035,0.009,-0.005
"18",18,10001,77950001,243,-0.068,-0.086,-0.112,-0.075,-0.091,-0.102,-0.088,-0.182,-0.022,-0.124,-0.05,-0.062,-0.079,-0.108,-0.093,-0.067,-0.024,-0.046
"19",19,60001,59050001,711,-0.022,-0.005,-0.011,0,0.012,-0.015,-0.006,-0.033,0.025,-0.014,-0.002,0.019,0.008,-0.01,0.007,0.009,0.034,0.045
"20",20,60001,62850001,359,-0.03,-0.016,-0.013,-0.024,-0.011,-0.015,-0.056,-0.005,-0.045,0.004,0,-0.009,-0.034,-0.043,-0.033,-0.006,-0.048,-0.03
"21",21,10697897,48050001,157,0.037,0.034,0.023,0.024,0.06,0.025,0.008,0.025,0.049,0.014,0.035,0.051,0.001,-0.002,0.021,0.024,0.038,0.257
"22",22,16050001,51200001,300,-0.019,0.001,-0.02,0.024,-0.021,0.001,-0.013,-0.023,0.035,0.011,0.005,0.085,0.016,0.027,0.029,0.04,0.064,0.012
