"chrom","start.pos","end.pos","n.probes","GSM2402866_5684819013_R02C01","GSM2402916_6929689168_R01C02","GSM2402917_6164621144_R04C02","GSM2402955_6164621144_R06C01","GSM2402957_6969568004_R02C01","GSM2402959_6929718027_R01C01","GSM2402962_6929718027_R06C01","GSM2402977_6929718027_R04C02","GSM2403026_6929718049_R06C01","GSM2403027_6929718049_R03C01","GSM2403063_6229017023_R05C01","GSM2403068_6229017022_R02C02","GSM2403072_6247004023_R03C02","GSM2403073_6247004023_R04C02","GSM2403076_6247004024_R03C01","GSM2403496_8622007061_R03C01","GSM2403619_8622007130_R04C01","GSM2404046_9373550131_R02C02","GSM2404100_9376538156_R03C02","GSM2404123_9379086124_R05C01","GSM2404125_9379086129_R06C01","GSM2404126_9379086129_R01C02","GSM2404152_9407201022_R03C01","GSM2404157_9407201021_R06C01","GSM2404158_9407201021_R04C02","GSM2404159_9407201022_R01C01","GSM2404161_9407201022_R02C02","GSM2404164_9407201021_R03C01","GSM2404167_9407201021_R05C01","GSM2404519_9444374147_R03C01","GSM2404833_9533774082_R01C01","GSM2404834_9533774082_R03C01","GSM2404837_9533774082_R06C01","GSM2404839_9533774082_R04C02","GSM2404840_9533774082_R06C02","GSM2404843_9533774084_R04C01","GSM2404844_9533774084_R06C01","GSM2404854_9534104010_R06C02","GSM2404881_9534104026_R02C01","GSM2404927_9969477003_R02C01","GSM2405010_9969477043_R06C02","GSM2405011_9969477044_R01C01","GSM2405015_9969477044_R02C01","GSM2405043_9969477079_R06C02","GSM2405438_3999875073_R01C01","GSM2405521_3998909027_R03C02","GSM2940901_200394970104_R03C01","GSM2941168_3999078079_R03C02","GSM2941217_3999100101_R06C01","GSM2941254_3999834068_R01C01","GSM2941324_9305651060_R04C02"
"1",1,521369,249150001,1593,0.01,0.032,-0.003,0.007,0.022,0.016,0.052,0.011,0.014,0.024,0.014,0.085,0.011,0.009,0.024,0.006,-0.16,0.025,0.01,0.006,-0.009,-0.005,0.01,0.019,0.004,0.026,0.023,-0.01,0,-0.023,-0.01,-0.007,-0.051,-0.027,-0.001,0.007,-0.018,0.075,0.018,-0.004,0.005,0.006,0.01,0.008,0.008,0.017,-0.031,0.02,0.15,-0.162,0
"2",2,10001,242950001,1282,-0.054,-0.003,0.044,-0.046,-0.025,-0.029,-0.047,-0.039,-0.036,-0.028,-0.04,0.037,-0.047,-0.047,-0.042,-0.039,-0.118,-0.01,-0.043,-0.045,-0.07,-0.061,-0.049,0.015,-0.025,-0.007,-0.007,-0.045,-0.006,-0.042,-0.043,-0.028,-0.069,-0.031,-0.036,0.002,-0.06,-0.045,-0.031,-0.06,-0.049,-0.063,-0.049,-0.054,-0.031,-0.025,-0.057,-0.001,0.015,-0.032,-0.038
"3",3,60001,197700001,978,-0.028,0.013,0.002,-0.019,0.004,-0.063,-0.031,-0.034,-0.03,-0.021,-0.014,-0.196,-0.035,-0.039,-0.032,-0.039,-0.064,0.003,-0.06,-0.042,-0.074,-0.073,-0.062,0.061,-0.027,0.015,0.016,-0.063,-0.018,-0.058,-0.062,-0.019,-0.089,-0.025,-0.04,0.008,-0.085,-0.039,-0.043,-0.082,-0.073,-0.064,-0.051,-0.073,-0.03,-0.03,-0.071,-0.005,-0.2,-0.045,-0.045
"4",4,10001,190900001,742,-0.076,-0.029,-0.06,-0.07,-0.05,-0.057,-0.077,-0.064,-0.059,-0.048,-0.06,-0.222,-0.081,-0.078,-0.077,-0.087,-0.126,-0.043,-0.09,-0.081,-0.103,-0.092,-0.112,0.015,-0.061,-0.041,-0.028,-0.077,-0.028,-0.06,-0.069,-0.048,-0.092,-0.049,-0.059,0.001,-0.079,-0.047,-0.057,-0.134,-0.11,-0.124,-0.111,-0.118,-0.083,-0.059,-0.074,-0.014,-0.373,-0.046,-0.091
"5",5,10001,180650001,849,-0.027,0.011,0,-0.019,-0.002,-0.018,-0.031,-0.028,-0.028,-0.013,-0.015,0.052,-0.035,-0.034,-0.031,-0.033,-0.103,0.005,-0.046,-0.039,-0.063,-0.061,-0.05,0.043,-0.017,0.006,0.013,-0.045,0.002,-0.044,-0.045,-0.024,-0.072,-0.029,-0.027,0.011,-0.062,-0.033,-0.033,-0.068,-0.059,-0.056,-0.045,-0.065,-0.023,-0.016,-0.054,0.012,-0.293,-0.044,-0.038
"6",6,60001,170850001,988,-0.051,-0.007,-0.028,-0.045,-0.021,-0.028,-0.052,-0.042,-0.046,-0.033,-0.038,-0.205,-0.054,-0.054,-0.047,-0.058,-0.068,-0.004,-0.063,-0.049,-0.095,-0.07,-0.069,0.038,-0.029,-0.006,0.001,-0.052,-0.005,-0.046,-0.047,-0.052,-0.074,-0.007,-0.032,0.024,-0.062,-0.013,-0.043,-0.095,-0.097,-0.091,-0.083,-0.07,-0.039,-0.022,-0.042,0.002,-0.235,-0.092,-0.037
"7",7,10001,158950001,952,-0.022,0.023,-0.005,-0.009,0.014,0.011,-0.012,-0.007,-0.011,0.001,-0.001,0.052,-0.021,-0.022,-0.015,-0.021,-0.051,0.031,-0.035,-0.013,-0.079,-0.04,-0.026,0.046,0.009,0.018,0.028,-0.013,0.013,-0.009,-0.014,0.007,-0.043,-0.006,-0.017,0.027,-0.051,-0.001,-0.027,-0.055,-0.054,-0.055,-0.051,-0.031,0.008,0.018,-0.013,0.01,0.071,0,0.001
"8",8,10001,146250001,726,-0.056,-0.004,-0.048,-0.039,-0.024,-0.025,-0.05,-0.033,-0.034,-0.023,-0.035,0.038,-0.047,-0.039,-0.041,-0.033,-0.132,-0.003,-0.037,-0.045,-0.091,-0.055,-0.05,0.012,-0.02,-0.008,-0.003,-0.047,0.001,-0.04,-0.04,-0.043,-0.07,-0.05,-0.048,0.001,-0.065,-0.045,-0.027,-0.057,-0.068,-0.064,-0.051,-0.047,-0.03,-0.01,-0.051,0.013,-0.192,-0.02,-0.018
"9",9,10001,141000001,383,-0.001,-0.265,0.045,0.012,0.019,0,0.004,-0.002,0.003,0.002,0.007,0.066,0.003,-0.004,0.012,0.008,-0.147,0.006,-0.008,0.005,0.003,-0.006,0.018,-0.012,-0.003,0.012,0.007,-0.003,-0.013,-0.023,-0.019,-0.031,-0.037,-0.028,0.003,-0.029,-0.009,-0.048,-0.008,-0.002,0.004,0.008,0.011,0.013,0.009,-0.001,-0.025,0.003,-0.145,-0.041,0.001
"10",10,60001,135400001,840,-0.017,-0.18,-0.007,-0.005,0.011,0.002,-0.016,-0.013,-0.009,-0.002,0.002,-0.167,-0.01,-0.013,-0.006,-0.005,-0.08,0.017,-0.018,-0.014,-0.047,-0.036,-0.01,0.025,0.002,0.008,0.008,-0.008,0.012,-0.015,-0.012,-0.005,-0.029,-0.021,-0.01,-0.001,-0.03,-0.019,-0.016,-0.033,-0.039,-0.027,-0.025,-0.02,0.007,0.01,-0.023,0.01,0.001,-0.013,-0.018
