"chrom","start.pos","end.pos","n.probes","GSM2402996_6929689149_R04C02","GSM2403127_6285641010_R03C01","GSM2403128_6285641010_R02C01","GSM2403226_6752625135_R01C01","GSM2403227_6752625133_R06C02","GSM2403229_6969568124_R02C01","GSM2403232_7310440009_R03C01","GSM2403854_9305651005_R03C02","GSM2403861_9305651013_R01C02","GSM2403867_9305651003_R04C01","GSM2403971_6026818091_R03C01","GSM2403973_6026818091_R05C01","GSM2403977_6026818094_R03C01","GSM2403979_6026818094_R04C01","GSM2403980_6026818094_R04C02","GSM2403982_6026818101_R06C01","GSM2404054_9373550018_R06C01","GSM2404179_9407201032_R04C02","GSM2404388_9426020061_R06C02","GSM2404393_9426020064_R05C01","GSM2404396_9426020065_R06C01","GSM2404402_9426020065_R03C01","GSM2404462_9420867124_R01C02","GSM2404540_9553932012_R04C02","GSM2404759_9829119072_R04C01","GSM2404760_9769100071_R04C02","GSM2404817_9533774046_R03C02","GSM2404818_9533774046_R05C02","GSM2404855_9533774101_R03C02","GSM2404856_9533774102_R04C02","GSM2404859_9533774106_R05C02","GSM2404860_9533774102_R02C02","GSM2404861_9533774101_R01C01","GSM2404863_9533774101_R03C01","GSM2404865_9533774102_R05C01","GSM2404866_9533774102_R06C01","GSM2404892_9968646139_R02C02","GSM2404897_9968646155_R06C02","GSM2404898_9968646156_R02C02","GSM2404900_9968646155_R05C01","GSM2404901_9968646156_R03C02","GSM2404902_9968646156_R03C01","GSM2404928_9968646098_R06C01","GSM2404929_9968646096_R04C02","GSM2404930_9968646096_R05C02","GSM2404931_9968646098_R03C02","GSM2404932_9968646096_R06C02","GSM2405021_9969477055_R02C02","GSM2405023_9969477057_R01C02","GSM2405024_9969477057_R02C02","GSM2405201_9878820138_R03C01","GSM2940854_200325530166_R04C02","GSM2941062_3998909051_R04C02","GSM2941205_3999095104_R05C02","GSM2941223_3999543050_R02C01","GSM2941237_3999547142_R06C02","GSM2941408_9422493151_R05C02","GSM2941523_9721366138_R06C02","GSM2941723_9969477014_R03C01"
"1",1,521369,120200001,896,-0.211,-0.016,-0.187,-0.174,-0.112,0.05,0.033,-0.033,0.035,-0.111,-0.014,-0.179,-0.039,0.038,-0.061,-0.13,-0.033,-0.05,-0.018,0.021,0.012,-0.07,0.044,-0.052,-0.343,-0.07,-0.107,-0.099,-0.145,-0.346,0.027,-0.172,-0.4,-0.183,0.013,-0.155,-0.03,-0.053,-0.038,-0.076,-0.087,0.008,0.028,-0.119,0.022,-0.054,-0.025,-0.056,0.035,-0.074,0.049,-0.155,0.001,0.022,0.029,0.06,-0.065,0.049,0.015
"2",1,120300001,249150001,697,0.156,-0.032,0.14,0.228,-0.082,0.051,0.032,-0.021,-0.021,-0.101,0.08,-0.192,-0.051,0.035,-0.079,-0.186,-0.051,0.039,-0.128,-0.055,-0.09,-0.159,-0.006,-0.07,-0.047,0.177,-0.079,-0.035,-0.115,-0.174,0.081,-0.136,-0.32,-0.07,0.058,0.146,-0.085,-0.11,-0.213,-0.141,-0.195,-0.074,-0.057,0.029,0.008,-0.104,-0.064,0.013,0.064,-0.062,0.05,-0.175,-0.02,0.013,0.008,0.141,0.403,0.048,0.118
"3",2,10001,242950001,1282,0.113,-0.036,-0.221,-0.213,-0.092,-0.134,-0.206,-0.031,-0.049,-0.109,-0.098,0.007,-0.08,-0.005,-0.121,0.027,-0.049,-0.346,-0.181,-0.333,-0.138,-0.203,-0.04,-0.319,-0.047,-0.183,-0.052,-0.04,-0.093,-0.489,-0.183,-0.12,-0.308,-0.39,-0.21,-0.095,-0.015,-0.13,-0.253,-0.163,-0.227,-0.351,-0.094,-0.254,-0.017,-0.14,-0.082,-0.244,-0.186,-0.195,0.005,-0.014,-0.213,-0.263,-0.03,-0.117,-0.051,0.024,-0.038
"4",3,60001,197700001,978,0.133,-0.069,0.139,-0.249,-0.095,-0.015,-0.013,-0.305,-0.107,-0.134,-0.286,0.012,0.08,-0.256,-0.129,-0.232,-0.082,-0.322,-0.237,-0.128,-0.456,-0.247,-0.302,-0.381,-0.383,0.048,-0.356,-0.315,-0.125,-0.174,-0.169,0.065,-0.313,-0.361,-0.208,-0.279,-0.314,-0.008,-0.378,-0.205,-0.284,-0.162,-0.383,0.027,-0.261,-0.173,-0.116,-0.249,-0.187,-0.233,-0.227,-0.223,-0.257,-0.026,-0.232,-0.308,-0.066,0.019,-0.269
"5",4,10001,190900001,742,0.097,0.108,0.134,-0.007,0.059,0.015,0.091,0.111,-0.109,0.048,0.088,-0.038,0.045,-0.036,0.094,0.012,0.048,-0.219,-0.175,-0.17,-0.252,0.079,0.059,-0.06,-0.366,0.008,0.09,-0.045,0.072,-0.05,0.043,0.058,-0.287,-0.084,0.189,-0.132,0.01,-0.035,-0.367,-0.224,-0.076,-0.03,-0.033,-0.096,-0.061,-0.205,0.044,0.131,0.173,0.019,-0.259,0.077,-0.083,-0.075,0.042,-0.163,-0.078,-0.182,-0.084
"6",5,10001,180650001,849,-0.249,-0.055,0.002,0.023,0.074,-0.014,-0.009,0.132,0.071,0.065,0.032,0.013,0.081,-0.253,0.084,0.025,-0.067,0.127,-0.21,0.058,-0.014,-0.008,0.109,-0.075,-0.061,0.029,0.103,-0.021,0.092,-0.201,0.079,0.069,0.054,-0.046,0.054,-0.108,0.049,0.009,-0.124,-0.182,-0.02,0.027,0.038,0,-0.029,-0.16,0.068,-0.008,0.06,0.037,0.02,-0.019,0.105,0.139,-0.024,-0.118,-0.055,0.025,-0.052
"7",6,60001,58300001,495,-0.27,-0.29,-0.217,-0.174,-0.362,-0.176,-0.196,-0.29,-0.271,-0.371,-0.263,-0.229,-0.322,-0.239,-0.118,-0.208,-0.272,-0.161,-0.385,-0.333,-0.382,-0.19,-0.032,-0.349,-0.368,-0.187,-0.299,-0.316,-0.394,-0.484,-0.177,-0.431,0.373,-0.356,-0.205,-0.261,-0.257,-0.397,-0.56,-0.19,-0.23,-0.36,-0.307,-0.256,-0.226,-0.135,-0.338,-0.245,-0.181,-0.198,-0.229,-0.177,-0.215,-0.263,-0.22,-0.328,-0.048,0.032,-0.23
"8",6,62178590,170850001,493,-0.285,-0.294,-0.272,-0.207,-0.358,-0.207,-0.238,-0.282,-0.328,-0.363,-0.339,-0.285,-0.462,-0.294,-0.155,-0.26,-0.297,-0.117,-0.576,-0.45,-0.556,-0.312,-0.868,-0.32,-0.34,-0.16,-0.286,-0.308,-0.375,-0.442,-0.149,-0.403,-0.826,-0.324,-0.187,-0.247,-0.371,-0.513,-0.773,-0.255,-0.361,-0.5,-0.472,-0.862,-0.291,-0.211,-0.399,-0.235,-0.174,-0.229,-0.263,-0.189,-0.258,-0.314,-0.278,-0.372,-0.431,0.01,-0.296
"9",7,10001,158950001,952,0.154,-0.025,0.029,0.103,0.099,0.065,0.144,-0.011,-0.074,0.098,0.029,0.03,0.087,0.159,0.131,0.014,0.123,-0.077,-0.075,-0.106,-0.174,-0.003,0.098,0.152,0.203,0.064,0.01,0.037,0.123,-0.094,0.105,0.125,0.082,0.042,0.086,0.267,0.175,0.02,-0.142,0.184,-0.031,0.017,0.021,0.138,0.126,0.078,0.071,0.215,0.102,0.081,0.166,0.136,0.139,0.152,-0.002,0.043,-0.018,0.133,0.093
"10",8,10001,146250001,726,-0.263,-0.294,0.007,0.039,-0.107,0.117,-0.005,0.127,-0.271,0.021,0.134,-0.242,-0.339,-0.008,-0.108,0.027,-0.279,0.302,-0.414,0.062,-0.159,-0.219,-0.052,-0.316,-0.042,0.027,-0.039,-0.03,-0.101,-0.148,0.061,-0.425,-0.279,-0.055,0.206,0.025,-0.139,-0.142,-0.556,0.055,-0.009,-0.13,-0.108,-0.017,-0.025,-0.142,-0.09,0.161,0.049,-0.048,0.007,0.118,0.127,-0.021,0.103,0.028,-0.044,-0.103,0.099
