"chrom","start.pos","end.pos","n.probes","GSM2403776_9296930017_R05C02","GSM2404145_9406922161_R06C01","GSM2404564_9553932088_R06C02","GSM2404707_9741950140_R02C01","GSM2405440_3999875073_R05C01","GSM2405441_3999875073_R03C02","GSM2405442_3999875073_R04C02","GSM2405492_3999308200_R03C02","GSM2405513_3998909006_R06C02","GSM2405579_3999002044_R01C01","GSM2405615_3999100092_R06C01","GSM2405639_3998568099_R04C01"
"1",1,521369,249150001,1593,0.031,0.036,0.038,0.064,0.036,0.023,0.031,0.032,0.028,0.012,0.057,0.06
"2",2,10001,242950001,1282,0.017,0.002,-0.006,0.044,-0.003,0.021,0.009,0.05,0.052,-0.004,0.01,0.025
"3",3,60001,197700001,978,0.046,0.027,-0.005,0.07,0.024,0.041,0.037,0.094,0.065,-0.054,0.021,0.055
"4",4,10001,190900001,742,-0.05,-0.044,-0.063,-0.039,-0.073,-0.038,-0.058,-0.02,0.019,0.003,-0.073,-0.07
"5",5,10001,180650001,849,0.026,0.022,0.004,0.056,0.001,0.034,0.019,0.078,0.059,-0.014,0.016,0.03
"6",6,60001,170850001,988,0.039,0.013,-0.025,0.063,0.005,0.035,0.027,0.087,0.071,-0.015,0.012,0.041
"7",7,10001,158950001,952,0.069,0.059,0.017,0.103,0.04,0.086,0.069,0.186,0.135,0.015,0.052,0.078
"8",8,10001,146250001,726,0.01,0.009,0.003,0.051,-0.001,0.024,0.007,0.064,0.066,0.033,0.012,0.024
"9",9,10001,141000001,383,0.036,0.038,0.042,0.07,0.022,0.023,0.028,0.064,0.042,0.012,0.056,0.033
"10",10,60001,135400001,840,0.046,0.059,0.034,0.064,0.029,0.052,0.039,0.107,0.098,0.044,0.045,0.047
"11",11,60001,134800001,914,0.038,0.027,0.01,0.069,0.013,0.03,0.03,0.086,0.057,-0.041,0.041,0.044
"12",12,145740,133700001,848,0.038,0.032,0.01,0.055,0.023,0.036,0.032,0.074,0.072,-0.001,0.032,0.048
"13",13,19020001,115050001,431,0.08,0.028,-0.036,0.105,0.016,0.094,0.072,0.216,0.179,-0.031,0.018,0.058
"14",14,19000001,106950001,528,0.015,0.028,0.036,0.039,0.021,0.014,0.018,0.01,0.019,0.028,0.033,0.017
"15",15,20000001,102300001,571,0.037,0.043,0.039,0.05,0.03,0.026,0.03,0.035,0.04,0.048,0.041,0.037
"16",16,60001,90150001,624,0.04,0.063,0.048,0.053,0.042,0.042,0.045,0.155,0.168,0.048,0.063,0.062
"17",17,1,81050001,814,-0.062,-0.054,-0.012,-0.063,-0.027,-0.087,-0.062,-0.086,-0.009,0.042,-0.028,-0.037
"18",18,10001,77950001,243,-0.117,-0.093,-0.049,-0.125,-0.1,-0.1,-0.12,-0.151,-0.044,0.067,-0.115,-0.139
"19",19,60001,59050001,711,-0.018,-0.013,0.018,-0.012,0.006,-0.029,-0.001,0.008,0.069,0.041,0.014,-0.011
"20",20,60001,62850001,359,-0.012,-0.041,0.002,0.019,-0.016,-0.025,-0.015,0.003,0.021,-0.026,0.013,0.003
"21",21,10697897,48050001,157,-0.001,0.036,0.014,0.011,-0.01,0,-0.003,0.061,0.112,0.076,0.008,-0.023
"22",22,16050001,51200001,300,-0.001,0.025,0.058,0.018,0.037,-0.015,0.001,-0.026,0.047,0.078,0.057,0.024
