"chrom","start.pos","end.pos","n.probes","GSM2404191_9376538153_R06C01","GSM2404192_9376538153_R01C02","GSM2404203_9376561024_R02C02","GSM2404624_9741950023_R03C02","GSM2404933_9704031078_R01C01","GSM2404934_9704031008_R03C02","GSM2404935_9704031078_R02C02","GSM2404936_9704031075_R06C02","GSM2404937_9704031075_R06C01","GSM2404939_9704031078_R03C01","GSM2404942_9704031075_R05C02","GSM2404943_9704031008_R03C01","GSM2404944_9704031019_R01C01","GSM2404946_9704031078_R06C01","GSM2404947_9704031078_R05C02","GSM2404948_9704031075_R05C01","GSM2404951_9704031008_R02C02","GSM2404953_9704031019_R02C01","GSM2404955_9704031078_R04C02","GSM2404956_9704031008_R01C01","GSM2404957_9704031008_R05C02","GSM2404958_9704031008_R04C01","GSM2404959_9704031078_R05C01","GSM2404960_9704031019_R03C02","GSM2404964_9704031014_R02C02","GSM2404965_9704031014_R03C01","GSM2404967_9704031019_R03C01","GSM2404968_9769100123_R06C02","GSM2404969_9704031078_R02C01","GSM2404970_9704031078_R04C01","GSM2404971_9769100123_R03C01","GSM2404972_9704031075_R02C02","GSM2404973_9704031019_R02C02","GSM2404974_9704031008_R02C01","GSM2404977_9704031008_R04C02","GSM2404978_9704031075_R04C01","GSM2404980_9704031019_R04C01","GSM2404981_9769100123_R05C01","GSM2404984_9769100123_R05C02","GSM2404986_9704031014_R01C02","GSM2404987_9704031008_R01C02","GSM2404988_9704031075_R04C02","GSM2404989_9704031014_R05C01","GSM2404991_9769100123_R04C01","GSM2404993_9769100123_R06C01","GSM2404994_9704031019_R04C02","GSM2940790_10006823155_R01C01","GSM2940871_200362700194_R06C01","GSM2941453_9533774024_R05C01"
"1",1,521369,249150001,1593,0.181,0.196,0.173,0.169,0.422,0.111,0.072,-0.128,0.306,0.096,-0.034,0.248,0.259,0.341,-0.155,0.238,0.179,0.272,0.16,0.227,0.164,0.343,0.175,0.227,-0.077,0.146,0.216,0.241,0.185,0.298,0.156,-0.147,0.305,0.285,0.267,0.212,-0.285,0.288,0.134,0.298,-0.011,-0.008,0.131,0.116,0.336,0.271,0.241,0.135,0.048
"2",2,10001,8450001,69,0.357,0.286,0.236,0.294,1.072,0.391,0.268,0.416,1.314,0.443,0.417,0.287,0.441,0.585,0.379,0.505,0.481,0.042,0.514,0.418,0.072,0.696,0.26,0.429,0.089,0.62,0.453,0.12,0.881,0.41,0.341,0.314,0.415,0.169,0.615,0.379,0.751,0.095,0.308,0.556,0.205,0.302,0.218,0.131,0.385,0.059,0.22,-0.027,0.078
"3",2,8600001,111850001,556,0.148,0.172,0.19,0.182,0.69,0.112,0.085,0.305,0.436,0.074,0.111,0.108,0.281,-0.012,0.274,0.282,0.183,-0.06,0.155,0.233,-0.109,0.378,-0.05,0.189,-0.077,0.161,0.112,0.019,0.247,0.143,0.103,0.201,0.287,-0.075,0.272,0.208,0.299,-0.064,0.184,0.316,-0.03,-0.161,0.111,-0.083,0.256,-0.099,0.176,-0.109,-0.004
"4",2,111900001,242950001,657,-0.202,0.195,0.177,0.178,-0.087,0.16,0.123,0.352,0.398,0.135,0.18,-0.049,0.316,0.092,0.314,0.328,0.251,-0.109,0.227,0.263,-0.086,0.345,0.009,0.155,-0.035,0.236,0.169,0.092,0.243,0.167,0.17,0.247,0.114,-0.031,0.346,0.2,0.325,-0.038,0.131,0.349,0.018,-0.053,0.105,-0.021,0.135,-0.093,0.155,-0.132,-0.001
"5",3,60001,197700001,978,-0.241,-0.18,-0.137,-0.238,0.094,-0.126,0.18,-0.096,0.009,-0.165,-0.141,-0.043,-0.088,0.244,-0.14,0.249,-0.087,-0.052,-0.166,-0.02,-0.062,-0.049,-0.316,-0.157,0.035,-0.151,-0.084,0.154,-0.062,-0.008,-0.07,-0.009,-0.109,0,-0.211,-0.142,-0.299,-0.006,-0.172,-0.129,-0.01,-0.033,0.122,0.213,-0.048,-0.049,-0.07,-0.123,0.013
"6",4,10001,190900001,742,-0.172,0.161,0.097,0.153,-0.182,-0.223,-0.309,-0.153,0.465,0.138,-0.041,-0.074,0.271,0.065,-0.14,0.242,-0.145,-0.188,0.199,0.115,0.159,0.433,0.01,-0.217,-0.107,0.207,-0.018,0.036,0.129,-0.098,-0.202,-0.047,0.237,0.27,0.21,0.136,-0.24,0.181,0.06,0.277,-0.012,0.039,0.087,0.171,-0.147,-0.108,0.122,-0.214,-0.062
"7",5,10001,33550001,150,-0.095,-0.034,-0.103,-0.149,-0.125,0.124,0.207,-0.043,0.871,0.366,0.189,0.006,0.015,0.528,-0.068,-0.048,0.094,0.231,0.06,0.081,-0.005,0.293,0.431,-0.054,0.55,0.122,-0.163,0.179,-0.03,0.145,0.057,-0.003,-0.046,0.08,-0.206,-0.052,0.014,0.04,-0.083,-0.026,0.123,0.393,0.288,0.351,0.004,-0.043,-0.038,0.127,0.046
"8",5,33900001,180650001,699,-0.24,-0.187,-0.163,-0.262,-0.155,-0.069,0.151,-0.126,-0.144,0.128,-0.052,-0.066,-0.146,0.076,-0.149,-0.206,-0.166,-0.081,-0.24,-0.083,-0.105,-0.044,0.223,-0.254,0.512,-0.243,-0.147,0.158,-0.287,-0.074,-0.132,-0.076,-0.153,-0.079,-0.332,-0.187,-0.333,-0.048,-0.181,-0.206,-0.024,0.032,0,0.137,-0.098,-0.128,-0.069,0.089,0.011
"9",6,60001,170850001,988,-0.211,-0.175,-0.149,-0.231,-0.1,-0.119,-0.016,-0.148,-0.081,-0.238,-0.195,-0.245,-0.098,0.065,-0.166,-0.149,-0.103,-0.145,-0.2,-0.047,-0.076,-0.055,0.011,-0.2,-0.015,-0.16,-0.043,0.134,-0.219,-0.277,-0.1,-0.116,-0.145,-0.012,-0.275,-0.154,-0.32,-0.038,-0.167,-0.167,0.006,0.14,-0.204,-0.098,-0.084,-0.272,-0.092,-0.127,0
"10",7,10001,158950001,952,0.162,-0.108,-0.096,0.216,-0.135,0.443,0.189,0.393,-0.001,0.459,0.41,0.348,-0.047,0.449,0.377,0.399,-0.028,0.332,-0.15,0.039,0.21,-0.003,0.296,0.244,0.015,0.289,-0.122,0.124,0.178,0.091,0.262,0.318,-0.068,0.041,0.232,-0.09,0.423,0.033,0.056,-0.095,0.051,0.09,0.145,-0.018,-0.017,0.238,0.246,0.122,0.045
