"chrom","start.pos","end.pos","n.probes","GSM2402991_6929689149_R02C02","GSM2403187_6929806024_R01C01","GSM2403196_6929806038_R04C01","GSM2403198_6929806038_R04C02","GSM2403205_6929806046_R06C01","GSM2403207_6929806046_R04C02","GSM2403624_8622007189_R01C01","GSM2403625_8622007189_R03C01","GSM2403628_8622007189_R06C01","GSM2403638_8622007203_R03C02","GSM2403639_8622007203_R04C02","GSM2403640_8622007203_R05C02","GSM2404102_9370847051_R05C01","GSM2404103_9370847051_R06C01","GSM2404109_9370847051_R05C02","GSM2404197_9376561024_R06C02","GSM2404793_9533774066_R03C02","GSM2404794_9533774066_R01C02","GSM2404799_9533774066_R01C01","GSM2940973_3998523056_R06C02"
"1",1,521369,249150001,1593,0.008,0.011,0.01,0.008,0.012,0.025,-0.061,-0.148,-0.072,-0.039,-0.192,-0.076,-0.013,-0.077,-0.065,-0.145,0.024,0.014,0,-0.018
"2",2,10001,242950001,1282,-0.032,-0.033,-0.046,-0.044,-0.047,-0.023,-0.064,-0.153,-0.073,-0.058,-0.159,-0.07,-0.032,-0.072,-0.058,-0.118,-0.021,-0.025,-0.011,-0.039
"3",3,60001,197700001,978,-0.009,-0.031,-0.048,-0.041,-0.043,-0.028,-0.089,-0.224,-0.11,-0.08,-0.177,-0.083,-0.043,-0.109,-0.092,-0.134,-0.036,-0.018,-0.018,-0.06
"4",4,10001,190900001,742,-0.068,-0.083,-0.098,-0.096,-0.106,-0.069,-0.069,-0.171,-0.088,-0.082,-0.185,-0.084,-0.067,-0.091,-0.085,-0.131,-0.072,-0.081,-0.024,-0.076
"5",5,10001,180650001,849,-0.009,-0.027,-0.04,-0.036,-0.041,-0.023,-0.069,-0.167,-0.095,-0.052,-0.184,-0.08,-0.03,-0.021,-0.067,-0.131,-0.027,-0.021,0.004,-0.039
"6",6,60001,170850001,988,-0.029,-0.038,-0.052,-0.046,-0.055,-0.03,-0.067,-0.168,-0.088,-0.071,-0.171,-0.073,-0.038,-0.077,-0.057,-0.106,-0.036,-0.029,-0.018,-0.043
"7",7,10001,158950001,952,0.014,0,-0.014,-0.01,-0.019,0.006,-0.016,-0.094,-0.043,-0.02,-0.097,-0.029,0.008,-0.031,-0.008,-0.05,-0.004,-0.001,0.021,0.005
"8",8,10001,146250001,726,-0.035,-0.033,-0.047,-0.045,-0.05,-0.354,-0.049,-0.132,-0.072,-0.051,-0.161,-0.071,-0.021,-0.065,-0.044,-0.111,-0.366,-0.03,-0.004,-0.204
"9",9,10001,141000001,383,-0.014,0.007,0.001,0.004,0.006,0.003,-0.038,-0.088,-0.04,-0.022,-0.143,-0.049,-0.002,-0.059,-0.043,-0.108,0.007,-0.002,-0.014,-0.011
"10",10,60001,135400001,840,-0.007,-0.01,-0.017,-0.015,-0.014,-0.001,-0.052,-0.104,-0.045,-0.024,-0.14,-0.035,-0.01,-0.039,-0.024,-0.075,-0.002,-0.002,-0.005,-0.006
"11",11,60001,134800001,914,0.01,-0.004,-0.013,-0.011,-0.011,0,-0.079,-0.165,-0.088,-0.054,-0.169,-0.067,-0.027,-0.087,-0.059,-0.114,-0.01,-0.003,-0.003,-0.035
"12",12,145740,133700001,848,-0.001,-0.014,-0.02,-0.018,-0.021,-0.005,-0.061,-0.159,-0.069,-0.042,-0.166,-0.065,-0.023,-0.022,-0.064,-0.119,-0.01,-0.008,-0.005,-0.033
"13",13,19020001,115050001,431,-0.027,-0.044,-0.071,-0.066,-0.078,-0.045,-0.043,-0.136,-0.056,-0.052,-0.088,-0.031,-0.023,-0.046,-0.033,-0.028,-0.053,-0.04,-0.007,-0.024
"14",14,19000001,106950001,528,-0.011,-0.009,-0.008,-0.011,-0.01,0.01,-0.063,-0.161,-0.065,-0.039,-0.229,-0.077,-0.012,-0.077,-0.068,-0.157,0.017,0,-0.001,-0.025
"15",15,20000001,102300001,571,-0.004,-0.006,-0.001,-0.004,0,0.012,-0.038,-0.123,-0.052,-0.022,-0.169,-0.055,-0.005,-0.063,-0.048,-0.123,0.025,0.013,-0.01,-0.011
"16",16,60001,90150001,624,0.017,0.018,0.017,0.019,0.023,0.027,-0.005,-0.009,-0.004,0.015,-0.036,0.004,0.006,0.037,0.01,-0.011,0.023,0.021,0.006,0.026
"17",17,1,81050001,814,-0.064,-0.041,-0.029,-0.036,-0.032,-0.03,-0.056,-0.107,-0.045,-0.044,-0.107,-0.07,-0.055,-0.091,-0.073,-0.132,-0.004,-0.036,-0.064,-0.042
"18",18,10001,77950001,243,-0.128,-0.098,-0.092,-0.108,-0.114,-0.076,-0.033,-0.153,-0.031,-0.074,-0.139,-0.073,-0.08,-0.109,-0.098,-0.152,-0.058,-0.087,-0.048,-0.087
"19",19,60001,59050001,711,-0.022,-0.017,-0.001,-0.009,-0.006,-0.008,-0.018,-0.064,-0.001,0.002,-0.091,-0.035,-0.018,-0.007,-0.044,-0.097,0.012,-0.012,-0.036,-0.016
"20",20,60001,62850001,359,-0.034,-0.02,-0.018,-0.019,-0.016,-0.013,-0.049,-0.132,-0.052,-0.05,-0.116,-0.067,-0.038,-0.045,-0.072,-0.128,-0.01,-0.009,-0.028,-0.044
"21",21,10697897,48050001,157,-0.025,-0.017,-0.019,-0.023,-0.024,-0.01,0.003,-0.023,0.005,-0.002,-0.039,-0.004,-0.006,-0.029,0.005,-0.023,-0.005,-0.024,-0.006,0.009
"22",22,16050001,51200001,300,-0.01,0.026,0.038,0.021,0.036,0.038,-0.009,-0.068,0.01,0.024,-0.111,-0.035,0.014,-0.042,-0.024,-0.102,0.055,0.025,-0.012,0.013
