"chrom","start.pos","end.pos","n.probes","GSM2403626_8622007189_R04C01","GSM2403815_9297949098_R05C01","GSM2404323_9422492035_R03C02","GSM2404324_9422492075_R03C01","GSM2404325_9422492026_R04C02","GSM2404327_9422492075_R04C01","GSM2404331_9422492035_R04C01","GSM2404332_9422492074_R05C02","GSM2404334_9422492075_R06C02","GSM2404336_9422492035_R06C02","GSM2404337_9422492035_R02C01","GSM2404338_9422492035_R02C02","GSM2404339_9422492075_R06C01","GSM2404340_9422492075_R01C02","GSM2404341_9422492026_R02C02","GSM2404405_9426021175_R05C02","GSM2404477_9444374133_R05C02","GSM2405387_3999834093_R04C02","GSM2405530_3998909063_R03C01","GSM2405532_3998909063_R05C01","GSM2405541_3998909071_R02C02","GSM2940853_200325530166_R04C01","GSM2941047_3998909026_R03C02","GSM2941155_3999002044_R06C01","GSM2941390_9407201029_R02C02","GSM2941497_9553932054_R01C02"
"1",1,521369,249150001,1593,-0.04,-0.038,0.043,0.07,0.001,0.05,0.028,0.1,0.011,-0.024,0.054,0.058,0.061,0.009,0.063,0.009,0.04,0.024,0.012,0.02,-0.027,0.002,0.021,0.016,0.003,0.038
"2",2,10001,242950001,1282,-0.022,-0.038,0.019,-0.002,-0.041,-0.019,-0.002,0.014,0.019,-0.024,0.009,0.037,0.01,0.008,0.012,0.041,-0.003,-0.031,-0.002,0.003,-0.04,-0.005,-0.009,-0.002,-0.038,0.003
"3",3,60001,197700001,978,-0.043,-0.06,0.007,-0.064,-0.065,0.009,-0.046,-0.061,-0.098,-0.045,0.004,0.007,-0.033,0.006,-0.009,0.022,-0.002,-0.061,-0.024,-0.015,-0.064,-0.03,-0.019,-0.005,-0.046,0.015
"4",4,10001,190900001,742,-0.043,-0.096,-0.018,-0.001,-0.023,0.027,-0.022,0.015,-0.1,-0.029,-0.037,0.038,-0.002,-0.026,-0.008,-0.009,-0.068,-0.074,-0.043,-0.035,-0.065,-0.037,-0.042,-0.065,-0.081,-0.056
"5",5,10001,180650001,849,0.101,0.087,0.033,-0.008,0.095,-0.013,-0.005,0.052,0.127,0.084,0.034,0.039,0.02,0.053,0.027,0.036,0.008,-0.03,-0.001,0.009,0.053,-0.014,-0.01,-0.006,0.05,0.011
"6",6,60001,170850001,988,-0.018,-0.036,0.029,-0.032,0.066,-0.038,-0.019,-0.022,0.004,0.072,0.005,0.032,-0.011,0.023,-0.004,0.032,-0.015,-0.048,0.006,0.005,-0.041,-0.006,-0.009,-0.004,-0.046,-0.004
"7",7,10001,158950001,952,0.152,0.23,0.057,-0.019,0.144,0.021,0.016,0,0.092,0.213,0.028,0.063,0.011,0.097,0.013,0.08,0.032,-0.021,0.059,0.06,0.177,0.033,0.03,0.059,0.132,0.05
"8",8,10001,146250001,726,-0.014,0.109,0.034,0.02,-0.033,0.108,0.021,0.036,0.037,0.008,0.036,0.051,0.032,0.036,0.029,0.038,0.008,-0.013,0.028,0.03,0.087,0.01,0.004,0.025,0.061,0.009
"9",9,10001,141000001,383,-0.033,-0.034,0.02,0.005,0.018,0.017,0.029,0.031,-0.033,0.044,0.036,0.059,0.03,0.015,0.037,-0.093,0.037,0.005,0.005,0.008,-0.025,-0.007,0.017,0.027,-0.014,0.039
"10",10,60001,135400001,840,0.001,-0.014,0.06,0.067,-0.015,0.042,0.053,0.072,-0.031,0.037,0.046,0.108,0.07,0.069,0.061,0.053,0.031,0.005,0.026,-0.011,-0.013,0.025,0.014,0.038,-0.002,0.033
