"chrom","start.pos","end.pos","n.probes","GSM2402978_6929718027_R05C02","GSM2404551_9553932053_R01C02","GSM2404589_9611519030_R06C01","GSM2405117_9855358027_R03C01","GSM2405208_9878820123_R06C02","GSM2405410_9407210157_R04C01","GSM2405424_9741950159_R01C01","GSM2405597_9993943074_R03C01","GSM2405653_200078650174_R03C01"
"1",1,521369,35400001,407,-0.044,-0.085,-0.317,-0.039,-0.195,-0.028,-0.04,-0.289,-0.015
"2",1,35450001,121086696,493,-0.033,-0.203,0.055,-0.054,-0.397,-0.004,-0.117,-0.304,0.039
"3",1,121300001,249150001,693,0.17,0.062,0.065,0.161,0.159,-0.001,0.158,0.123,0.101
"4",2,10001,42300001,265,-0.024,-0.07,0.037,0.141,-0.082,-0.014,0.012,0.188,0.097
"5",2,42350001,242950001,1017,-0.074,-0.125,0.012,-0.086,-0.144,-0.124,-0.114,-0.231,0
"6",3,60001,197700001,978,-0.028,-0.165,0.045,-0.099,-0.188,-0.082,-0.142,-0.243,0.019
"7",4,10001,17550001,161,0.007,-0.086,-0.03,-0.02,0.057,0.097,-0.016,-0.028,-0.029
"8",4,17600001,190900001,581,-0.142,-0.177,-0.057,-0.193,-0.243,-0.187,-0.226,-0.338,-0.024
"9",5,10001,180650001,849,-0.051,-0.146,0.037,-0.075,-0.136,-0.067,0.069,-0.232,0.02
"10",6,60001,47650001,449,0.279,-0.094,0.036,0.322,0.23,0.054,0.104,-0.205,0.036
"11",6,47750001,170850001,539,-0.045,-0.13,0.005,-0.04,-0.374,-0.167,-0.126,-0.222,0.023
"12",7,10001,158950001,952,0.022,-0.061,0.057,-0.041,0.006,-0.028,0.021,-0.121,0.05
"13",8,10001,101700001,500,-0.11,-0.13,-0.045,-0.121,-0.341,-0.073,-0.122,-0.201,0.013
"14",8,101750001,146250001,226,-0.1,-0.16,-0.099,-0.101,-0.328,-0.047,-0.125,-0.833,-0.001
"15",9,10001,141000001,383,-0.022,-0.077,0.034,-0.028,-0.108,0.044,-0.052,-0.229,0.001
"16",10,60001,135400001,840,-0.051,-0.128,0.031,0.023,-0.281,-0.015,0.076,-0.757,0.02
"17",11,60001,88050001,628,-0.009,-0.241,0.039,-0.065,-0.092,-0.006,-0.066,-0.207,0.001
"18",11,88100001,134800001,286,-0.251,-0.421,-0.378,-0.114,-0.139,-0.114,-0.048,-0.235,0.035
"19",12,145740,29500001,195,-0.047,-0.49,-0.2,-0.083,-0.122,-0.11,-0.043,-0.204,0.028
"20",12,29550001,133700001,653,-0.041,-0.069,0.209,-0.067,-0.108,-0.011,-0.078,-0.213,0.02
"21",13,19020001,115050001,431,-0.104,-0.155,0.028,0.075,-0.099,-0.13,0.142,-0.046,0.034
"22",14,19000001,106950001,528,0.011,-0.102,0.041,-0.076,-0.117,0.005,-0.217,-0.251,0.011
"23",15,20000001,102300001,571,0.004,-0.114,0.044,0.039,-0.293,0.016,-0.098,-0.217,0.014
"24",16,60001,90150001,624,-0.196,-0.301,-0.352,-0.093,-0.515,-0.18,-0.181,-0.655,-0.015
"25",17,1,21900001,237,-0.103,-0.02,-0.062,-0.098,0.107,0.006,-0.517,-0.395,-0.106
"26",17,21950001,81050001,577,-0.034,-0.046,-0.043,-0.053,0.079,0.005,0.076,-0.052,-0.083
"27",18,10001,77950001,243,-0.128,0.025,-0.056,-0.128,-0.092,-0.087,-0.164,-0.211,-0.066
"28",19,60001,59050001,711,0.076,-0.017,0.018,-0.064,0.009,0.06,-0.1,-0.149,-0.092
"29",20,60001,62850001,359,0.008,-0.052,0.003,-0.101,-0.108,0.037,-0.201,-0.199,-0.036
"30",21,10697897,48050001,157,-0.045,-0.022,0.008,-0.032,-0.001,-0.028,-0.038,-0.126,-0.01
"31",22,16050001,51200001,300,0,-0.018,-0.008,0.068,0.005,0.097,-0.074,0.009,-0.031
