"chrom","start.pos","end.pos","n.probes","GSM2403727_9221197132_R01C02","GSM2403851_9305651037_R01C02","GSM2403997_9305651095_R04C01","GSM2404038_9373550164_R02C02","GSM2404039_9373550164_R03C02","GSM2404437_9420867053_R03C02","GSM2404441_9420867097_R02C01","GSM2404442_9420867097_R03C01","GSM2404443_9420867087_R01C01","GSM2404444_9420867087_R02C01","GSM2405022_9969477057_R02C01","GSM2405430_3999834115_R06C01","GSM2405431_3999834115_R01C02","GSM2405432_3999834115_R02C02","GSM2405471_3999112130_R04C01","GSM2405475_3999112131_R06C02","GSM2405493_3999308203_R02C01","GSM2405494_3999308203_R03C01","GSM2405495_3999308203_R04C01","GSM2405496_3999308203_R05C01","GSM2405526_3998909051_R02C02","GSM2405527_3998909051_R03C02","GSM2405546_3998909182_R04C01","GSM2405558_3998920094_R03C01","GSM2405562_3998920147_R01C01","GSM2405563_3998920147_R03C01","GSM2405564_3998920147_R05C01","GSM2405565_3998920147_R06C01","GSM2405577_3999002043_R05C02","GSM2941806_9969477122_R03C01"
"1",1,521369,249150001,1593,0.065,0.009,-0.005,0.027,0.022,0.005,0.003,0.018,0.019,0.004,0.041,0.024,-0.038,-0.036,0.003,0.067,0.004,0.026,0.047,0.034,0.012,0.003,0.059,0.022,0.051,0.015,0.023,0.015,0.024,0.042
"2",2,10001,242950001,1282,0.08,-0.002,0,0.012,-0.089,0.001,0.033,-0.002,0.005,0.013,0.005,-0.097,0.005,-0.018,0.002,0.014,-0.025,0.001,0.007,0.001,0.072,0.037,0.013,-0.028,0.066,0.014,0.041,-0.002,-0.003,0.018
"3",3,60001,197700001,978,0.09,-0.03,-0.008,0.005,-0.017,-0.01,0.038,-0.003,0.006,0.032,-0.006,-0.092,0.011,-0.037,-0.032,0.033,-0.035,0.005,0.007,0.002,0.056,-0.004,0.032,-0.079,0.071,0.02,0.068,-0.014,-0.024,0.032
"4",4,10001,190900001,742,0.013,-0.037,-0.043,-0.05,-0.041,-0.062,-0.034,-0.058,-0.043,-0.043,-0.054,0.128,-0.054,-0.062,-0.026,0.03,0.086,-0.051,-0.051,-0.049,0.022,0.049,-0.07,-0.052,0.013,-0.05,-0.028,-0.043,-0.056,-0.033
"5",5,10001,180650001,849,0.075,-0.007,-0.005,0.016,0.005,-0.001,0.032,0.005,0.006,0.02,0.01,-0.069,0.013,-0.014,0.002,0.128,0.134,0.002,0.016,0.008,0.069,0.022,0.026,-0.027,0.064,0.022,0.05,0.005,-0.005,0.029
"6",6,60001,170850001,988,0.094,-0.005,-0.004,0.012,0.018,-0.002,0.046,-0.005,0.013,0.035,0.003,-0.231,0.002,-0.032,-0.007,0.022,-0.024,0.012,0.005,-0.002,0.08,0.011,0.026,-0.039,0.093,0.028,0.076,0,-0.012,0.025
"7",7,10001,158950001,952,0.199,0.029,0.05,0.07,0.05,0.044,0.111,0.026,0.047,0.081,0.03,-0.085,0.048,0.016,0.059,0.082,0.164,0.045,0.045,0.041,0.189,0.257,0.073,0.004,0.157,0.083,0.114,0.055,0.035,0.056
"8",8,10001,146250001,726,0.074,0.005,0.011,0.028,0.021,0.01,0.036,-0.002,0.009,0.021,0.015,-0.055,0.016,-0.001,0.02,0.021,-0.017,0.002,0.02,0.011,0.11,0.243,0.015,-0.008,0.103,0.02,0.04,0.021,0.016,0.018
"9",9,10001,141000001,383,0.123,0.011,0.017,0.03,0.019,-0.015,0.027,0.028,0.012,0.025,0.028,-0.009,0.034,0.023,-0.045,-0.055,-0.001,0.023,0.033,0.029,0.041,0.023,-0.125,0.003,0.026,0.018,0.025,0.01,0.034,-0.122
"10",10,60001,135400001,840,0.097,0.031,0.031,0.04,-0.061,0.022,0.056,0.016,0.026,0.045,0.035,-0.004,0.039,0.023,0.052,-0.051,0.008,0.029,0.045,0.036,0.138,0.125,0.057,0.042,0.147,0.052,0.056,0.041,0.032,0.052
