"chrom","start.pos","end.pos","n.probes","GSM2403646_8942351007_R03C02","GSM2404014_9340996008_R02C02","GSM2404459_9420867122_R05C02","GSM2404460_9420867122_R06C02","GSM2404530_9553932010_R03C01","GSM2405175_9878820078_R03C01","GSM2405411_9741950038_R06C01","GSM2405417_9741950074_R05C02","GSM2405419_9741950159_R05C01","GSM2405420_9741950159_R06C01","GSM2405421_9741950159_R01C02","GSM2405422_9741950159_R03C02","GSM2405425_9741950158_R06C01","GSM2405464_3999100033_R02C02","GSM2405593_3999078080_R04C01","GSM2405594_3999078080_R02C02","GSM2405595_3999078120_R02C01","GSM2405596_9993943074_R01C01","GSM2405598_9993943074_R05C01","GSM2405600_9993943074_R02C02","GSM2405601_9993943074_R04C02","GSM2405643_101178130118_R06C01"
"1",1,521369,249150001,1593,-0.101,-0.012,-0.095,-0.087,-0.074,-0.076,-0.051,0.073,-0.016,-0.012,-0.032,-0.044,-0.067,-0.009,-0.05,-0.041,-0.094,-0.423,-0.111,-0.083,-0.443,0.044
"2",2,10001,242950001,1282,-0.086,-0.042,-0.125,-0.07,-0.078,-0.136,-0.159,-0.132,-0.071,-0.093,-0.063,-0.078,-0.133,-0.076,-0.098,-0.141,-0.128,-0.415,-0.082,-0.094,-0.41,0.012
"3",3,60001,197700001,978,-0.354,-0.241,-0.136,-0.118,-0.087,-0.034,-0.105,0.026,-0.084,-0.025,-0.069,-0.203,-0.112,-0.068,-0.151,-0.179,-0.379,-0.211,-0.063,-0.098,-0.378,-0.363
"4",4,10001,190900001,742,-0.103,0.05,0.042,-0.074,-0.018,-0.065,-0.1,-0.032,-0.113,-0.059,-0.112,-0.121,-0.103,-0.119,-0.13,-0.069,-0.012,-0.474,-0.067,-0.117,-0.185,-0.027
"5",5,10001,180650001,849,0.084,-0.055,-0.169,-0.142,-0.219,-0.181,-0.134,-0.127,-0.065,-0.033,-0.063,-0.07,-0.037,-0.066,-0.105,-0.168,-0.126,-0.292,-0.085,-0.127,-0.185,0.012
"6",6,60001,170850001,988,-0.35,-0.24,-0.245,-0.091,-0.221,-0.165,-0.028,-0.157,-0.096,-0.066,-0.054,-0.08,-0.061,-0.093,-0.179,-0.12,-0.129,-0.437,-0.052,-0.095,-0.381,-0.403
"7",7,10001,158950001,952,0.13,0.129,0.114,0.041,-0.047,0.128,0.086,-0.095,0.069,0.117,-0.02,0.075,0.05,0.157,0.102,-0.043,0.066,-0.13,0.165,-0.078,-0.097,0.082
"8",8,10001,146250001,726,-0.315,-0.048,-0.134,-0.225,-0.091,-0.03,-0.216,-0.141,-0.067,-0.038,-0.055,-0.074,-0.057,-0.079,-0.091,-0.094,-0.122,-0.746,-0.085,-0.109,-0.388,-0.008
"9",9,10001,141000001,383,-0.072,-0.011,-0.076,-0.043,-0.065,-0.014,-0.191,-0.274,-0.012,0.013,-0.018,-0.037,-0.036,-0.006,0.091,-0.019,0.041,-0.375,-0.144,-0.093,-0.139,0.048
"10",10,60001,135400001,840,-0.171,-0.017,-0.138,-0.025,-0.067,-0.234,-0.199,-0.088,-0.036,-0.025,-0.027,-0.044,-0.022,0.027,-0.264,-0.057,-0.098,-0.433,-0.086,-0.09,-0.462,0.039
"11",11,60001,134800001,914,-0.072,0.115,-0.273,-0.054,-0.098,0.025,-0.066,-0.306,-0.04,-0.021,-0.044,-0.048,-0.062,-0.006,-0.148,-0.017,-0.103,-0.21,-0.066,-0.121,-0.144,0.083
"12",12,145740,133700001,848,0.101,0.102,-0.045,-0.056,0.114,0.016,-0.051,0.046,0.054,0.106,-0.031,0.147,-0.012,0.169,0.073,0.038,0.046,-0.162,-0.052,0.202,-0.424,0.061
