"chrom","start.pos","end.pos","n.probes","GSM2403502_8622007067_R05C02","GSM2403905_9305216208_R01C01","GSM2403906_9305216208_R02C01","GSM2403907_9305216208_R03C01","GSM2403908_9305216208_R04C01","GSM2403909_9305216208_R05C01","GSM2403910_9305216208_R06C01","GSM2403911_9305216208_R01C02","GSM2403912_9305216208_R02C02","GSM2403913_9305216208_R03C02","GSM2403914_9305216208_R04C02","GSM2403915_9305216208_R05C02","GSM2403935_9305651053_R04C01","GSM2403936_9305651053_R05C01","GSM2403938_9305651053_R06C01","GSM2403939_9305651053_R03C01","GSM2403945_9305651051_R04C02","GSM2403946_9305651051_R05C02","GSM2403947_9305651051_R06C02","GSM2403948_9305651053_R01C01","GSM2403949_9305651053_R02C01","GSM2403966_9305651055_R04C02","GSM2404010_9340996003_R01C01","GSM2405122_9855358056_R01C02","GSM2405123_9855358056_R02C02","GSM2941202_3999095104_R03C01","GSM2941313_3999875076_R02C02"
"1",1,521369,249150001,1593,0.01,0.023,0.048,0.029,0.018,0.008,-0.016,0.028,0.007,0.014,-0.006,0.007,0.007,0.01,0.031,0.039,0.011,0.016,0.03,0.004,0.015,0.003,0.007,0.02,0.023,0.043,0.052
"2",2,10001,242950001,1282,0.012,0.014,0.048,0.037,0.015,0.014,0.011,0.024,0.048,0.025,0.013,0.047,0.004,0.01,0.017,0.019,0.036,0.029,0.061,0.013,0.014,0.02,0.032,-0.026,-0.016,-0.001,-0.006
"3",3,60001,197700001,978,-0.026,-0.037,-0.045,0.062,-0.101,0.014,-0.016,0.044,-0.02,-0.033,-0.086,0.076,-0.023,-0.176,0.02,0.014,-0.045,-0.061,-0.193,-0.046,0.021,-0.125,0.038,-0.062,-0.11,-0.123,-0.112
"4",4,10001,190900001,742,-0.028,-0.036,-0.002,-0.01,-0.015,-0.033,-0.018,-0.032,-0.003,-0.031,-0.019,0.018,-0.053,-0.042,-0.047,-0.048,-0.031,-0.024,-0.005,-0.044,-0.049,-0.034,-0.021,-0.066,-0.051,-0.064,-0.077
"5",5,10001,180650001,849,0.023,0.023,0.063,0.055,0.019,0.019,-0.002,0.041,0.077,0.036,0.015,0.073,0.001,0.013,0.027,0.019,0.045,0.035,0.066,0.066,0.02,0.034,0.035,-0.028,-0.014,0.006,0.012
"6",6,60001,170850001,988,0.021,0.015,0.022,0.047,0.013,0.019,0.007,0.032,0.065,0.033,0.017,0.03,0.004,0.015,0.025,0.022,0.057,0.037,-0.134,0.022,0.026,0.008,0.038,-0.038,-0.021,-0.01,-0.02
"7",7,10001,158950001,952,0.077,0.068,0.111,0.094,0.075,0.073,0.052,0.086,0.131,0.095,0.08,0.124,0.063,0.075,0.077,0.07,0.12,0.101,0.136,0.12,0.084,0.099,0.097,0.005,0.011,0.047,0.038
"8",8,10001,146250001,726,0.02,0.016,0.039,0.04,0.033,0.025,0.012,0.025,0.05,0.029,0.022,0.064,0.017,0.031,0.029,-0.05,0.041,-0.034,0.06,-0.04,0.022,0.016,0.04,-0.006,0.005,0.014,0.003
"9",9,10001,141000001,383,0.037,0.04,0.089,0.05,0.029,0.034,-0.011,0.043,0.045,0.039,0.094,0.051,0.013,0.012,0.044,0.043,0.048,0.038,0.062,-0.049,0.028,0.031,0.028,0.012,0.017,0.046,0.062
"10",10,60001,135400001,840,0.062,0.041,0.033,0.043,0.058,0.038,0.046,0.049,0.075,0.059,0.059,0.043,0.034,0.045,0.036,0.037,0.057,0.059,0.067,0.029,0.04,0.064,0.043,0.021,0.024,0.045,0.051
"11",11,60001,134800001,914,-0.015,0.03,0.072,0.055,0.01,0.024,-0.008,0.05,0.064,0.041,0.013,0.073,-0.003,0.006,0.023,0.024,0.05,0.031,0.072,0.059,0.029,0.017,0.026,-0.026,-0.021,-0.022,0.031
"12",12,145740,133700001,848,0.016,0.022,0.051,0.04,0.022,0.017,0.006,0.043,0.045,0.033,0.008,0.037,0.006,0.014,0.023,0.02,0.038,0.028,0.059,0.017,0.021,0.031,0.023,-0.001,-0.001,0.021,0.028
"13",13,19020001,115050001,431,0.077,0.053,0.106,0.111,0.04,0.072,0.054,0.09,0.159,0.106,0.074,0.133,0.057,0.062,0.057,0.043,0.16,0.108,0.17,0.137,0.086,0.087,0.123,-0.062,-0.044,-0.006,-0.03
"14",14,19000001,106950001,528,0.005,0.021,0.039,0.023,0.03,0.008,-0.027,0.02,0.004,0.006,-0.011,0.013,0.009,0.011,0.029,0.026,0.006,0.021,0.033,0.052,0.01,0.01,0.005,0.022,0.027,0.029,0.038
"15",15,20000001,102300001,571,0.028,0.032,0.042,0.019,0.047,0.014,0.019,0.023,0.013,0.018,0.011,-0.035,0.016,0.026,0.027,0.033,0.016,0.028,0.037,0.004,0.02,0.035,0.01,0.042,0.043,0.05,0.056
"16",16,60001,90150001,624,0.073,0.052,0.057,0.034,0.06,0.051,0.082,0.05,0.073,0.07,0.087,0.041,0.047,0.057,0.038,0.041,0.073,0.057,0.088,0.074,0.053,0.084,0.042,0.041,0.032,0.072,0.077
"17",17,1,81050001,814,-0.04,-0.044,-0.072,-0.089,-0.032,-0.066,0.011,-0.077,-0.108,-0.069,-0.03,-0.14,-0.059,-0.055,-0.075,-0.052,-0.089,-0.069,-0.056,-0.063,-0.079,-0.043,-0.089,0.001,-0.002,-0.004,-0.007
"18",18,10001,77950001,243,-0.073,-0.074,-0.111,-0.093,-0.045,-0.086,-0.019,-0.112,-0.091,-0.098,-0.05,-0.08,-0.087,-0.075,-0.1,-0.095,-0.118,-0.158,-0.079,-0.161,-0.115,-0.08,-0.087,-0.045,-0.029,-0.076,-0.087
"19",19,60001,59050001,711,-0.005,0.006,-0.016,-0.04,0.009,-0.018,0.02,-0.023,-0.054,-0.021,0,-0.077,-0.006,-0.003,-0.016,0,-0.018,-0.015,0.002,0.007,-0.018,0.01,-0.041,0.027,0.017,0.025,0.037
"20",20,60001,62850001,359,-0.037,-0.014,0.007,-0.014,-0.037,-0.035,-0.041,-0.027,-0.028,-0.031,-0.032,-0.024,-0.04,-0.025,-0.023,-0.002,-0.013,-0.019,0.025,0.001,-0.029,-0.017,-0.03,-0.039,-0.028,-0.008,0.003
"21",21,10697897,48050001,157,0.049,0.03,0.044,0.02,0.045,0.032,0.055,0.026,0.042,0.036,0.067,0.026,0.016,0.03,0.009,0.014,0.035,0.039,0.06,0.059,0.011,0.055,0.022,0.02,0.023,0.026,0.028
"22",22,16050001,51200001,300,0.004,0.021,-0.008,-0.027,-0.056,-0.009,0.022,-0.012,-0.076,-0.028,0.003,-0.068,0.019,0.014,0.016,0.034,-0.037,-0.089,-0.013,0.024,-0.006,-0.017,-0.032,0.061,0.073,0.072,0.081
