"chrom","start.pos","end.pos","n.probes","GSM2402870_5684819026_R01C02","GSM2403896_9297949146_R06C02","GSM2404026_9340996014_R02C01","GSM2404486_9444375019_R04C01","GSM2404487_9444375019_R05C01","GSM2404493_9444375014_R03C01","GSM2404613_9741950008_R06C02","GSM2404666_9741950099_R01C02","GSM2404670_9741950100_R06C01","GSM2404815_9533774046_R05C01","GSM2405006_9969477031_R04C01","GSM2405007_9969477029_R03C02","GSM2405311_10003886258_R06C01","GSM2405505_3999547085_R02C01","GSM2405544_3998909073_R04C01","GSM2405642_101231000030_R03C02","GSM2940729_10003886253_R04C02","GSM2940818_200277210056_R04C02","GSM2940876_200362700196_R04C01","GSM2940986_3998546128_R01C02","GSM2941076_3998909072_R03C02","GSM2941128_3998998159_R03C01","GSM2941193_3999078159_R06C01","GSM2941233_3999547142_R01C02","GSM2941257_3999834068_R04C01","GSM2941368_9379086132_R02C01","GSM2941424_9444375037_R01C01","GSM2941457_9533774033_R04C02","GSM2941478_9534104008_R03C02","GSM2941496_9553932030_R06C01","GSM2941538_9741779119_R02C02","GSM2941703_9968646164_R02C02","GSM2941707_9968646165_R02C02"
"1",1,521369,121086696,900,0.231,-0.002,0.127,0.127,-0.153,0.019,0.101,0.066,0.16,-0.03,-0.002,0.056,0.139,0.045,0.031,0.017,0.346,0.095,-0.022,-0.021,0.194,0.117,-0.024,-0.084,0.067,0.016,0.034,-0.045,0.02,-0.003,0.026,0.032,0.054
"2",1,121300001,249150001,693,0.214,-0.027,0.187,0.183,0.169,0.008,0.262,0.175,0.155,-0.057,-0.017,0.124,0.154,-0.034,0.218,0.201,0.263,0.304,0.001,-0.043,0.171,0.101,0.025,0.216,0.08,0.13,0.028,0.232,-0.016,0.205,-0.013,0.023,0.023
"3",2,10001,242950001,1282,0.234,-0.058,0.173,0.183,-0.107,-0.018,0.199,0.071,0.13,-0.065,-0.031,0.117,0.111,-0.096,0.006,-0.022,0.037,-0.012,-0.029,-0.072,-0.166,0.081,-0.121,0.163,0.011,-0.076,-0.038,0.012,-0.053,-0.036,-0.042,0.004,-0.011
"4",3,60001,197700001,978,-0.276,-0.078,-0.236,-0.377,-0.096,-0.028,-0.16,-0.296,-0.22,-0.113,-0.051,-0.37,-0.159,-0.155,-0.006,-0.028,-0.138,-0.163,-0.025,-0.077,-0.228,-0.182,-0.157,-0.202,-0.075,-0.163,-0.104,-0.008,-0.067,-0.023,-0.069,-0.03,-0.23
"5",4,10001,55100001,271,-0.225,-0.035,-0.194,-0.328,-0.051,0.019,0.076,-0.191,-0.14,-0.007,0.042,-0.296,0.015,-0.028,0.012,0.008,0.061,-0.116,0.006,-0.028,-0.274,-0.22,-0.05,-0.125,-0.038,-0.027,0.022,0.033,-0.005,-0.005,-0.006,-0.035,0.09
"6",4,55150001,190900001,471,-0.341,-0.165,-0.29,-0.366,-0.142,-0.117,-0.001,-0.327,-0.266,-0.168,-0.151,-0.458,-0.164,-0.277,-0.089,-0.134,-0.045,-0.248,-0.097,-0.171,-0.503,-0.391,-0.242,-0.306,-0.171,-0.199,-0.125,-0.472,-0.179,-0.097,-0.192,-0.252,-0.069
"7",5,10001,180650001,849,-0.241,-0.084,-0.238,-0.374,-0.095,-0.015,-0.11,-0.272,-0.177,-0.073,-0.071,-0.175,-0.024,-0.115,0,-0.026,-0.163,-0.014,-0.015,-0.075,-0.143,-0.145,-0.137,-0.188,0.035,-0.078,-0.036,-0.095,-0.053,-0.023,-0.048,-0.043,-0.011
"8",6,60001,170850001,988,-0.319,-0.082,-0.219,-0.327,-0.078,-0.043,-0.182,-0.265,-0.175,-0.059,-0.052,-0.148,-0.25,-0.149,-0.004,-0.039,-0.169,-0.234,-0.019,-0.092,-0.13,-0.044,-0.152,-0.206,-0.103,-0.275,-0.102,-0.153,-0.107,-0.035,-0.073,-0.031,-0.11
"9",7,10001,158950001,952,0.259,0.157,0.135,0.175,0.217,-0.028,0.195,0.096,0.179,-0.025,-0.072,-0.007,0.081,-0.103,0.031,0.002,0.105,0.115,0.019,0.148,0.071,0.11,0.177,0.272,0.096,0.103,0,-0.07,0.154,0.064,-0.019,-0.011,0.047
"10",8,10001,146250001,726,-0.298,-0.168,-0.236,-0.365,-0.093,-0.02,-0.256,-0.179,-0.205,-0.077,-0.074,0.003,-0.147,-0.113,-0.016,-0.028,-0.186,-0.027,-0.022,-0.076,-0.165,-0.125,-0.119,-0.186,-0.106,-0.117,-0.039,-0.041,-0.051,-0.036,-0.053,-0.011,-0.107
"11",9,10001,141000001,383,0.179,0.073,-0.001,-0.137,-0.128,0.018,0.227,0.08,0.001,-0.045,0.004,-0.005,0.151,0.002,-0.023,0.016,-0.082,-0.004,-0.008,-0.006,-0.273,0.002,0.018,0.241,-0.038,0.013,-0.027,0.006,-0.007,-0.003,-0.126,0.015,0.057
"12",10,60001,135400001,840,-0.367,-0.042,-0.08,-0.344,-0.081,-0.115,-0.137,-0.22,-0.154,-0.017,-0.153,-0.073,-0.097,-0.243,-0.076,-0.258,-0.128,-0.348,0.006,-0.035,-0.308,-0.495,-0.079,-0.131,-0.088,-0.119,-0.058,0.134,-0.342,-0.002,-0.018,-0.031,-0.137
"13",11,60001,134800001,914,-0.067,-0.109,0.068,0.136,-0.113,-0.006,-0.147,-0.042,-0.194,-0.081,-0.065,-0.318,0.049,-0.044,-0.37,-0.002,-0.103,-0.169,-0.016,-0.048,-0.192,0.068,-0.123,-0.164,-0.136,-0.126,-0.008,-0.048,-0.028,-0.008,-0.022,-0.002,-0.232
