"chrom","start.pos","end.pos","n.probes","GSM2404360_9407210069_R05C02","GSM2404361_9407210069_R06C02","GSM2404362_9407210090_R02C01","GSM2404363_9407210090_R04C01","GSM2404364_9407210090_R05C01","GSM2404370_9422493146_R02C02","GSM2404374_9422493146_R06C02","GSM2405571_3998998189_R04C01","GSM2405573_3998998189_R01C02"
"1",1,521369,55500001,596,-0.197,-0.281,-0.203,-0.127,-0.111,-0.142,-0.506,-0.151,-0.022
"2",1,55550001,249150001,997,-0.188,-0.27,-0.215,-0.178,-0.125,-0.156,-0.14,-0.317,-0.129
"3",2,10001,242950001,1282,-0.188,-0.021,-0.191,0.048,0.049,0.05,-0.299,-0.094,-0.046
"4",3,60001,197700001,978,-0.165,-0.006,0.193,-0.115,0.073,0.05,0.148,0.016,-0.054
"5",4,10001,190900001,742,0.065,-0.008,-0.208,0.032,-0.114,-0.172,-0.231,-0.329,-0.097
"6",5,10001,180650001,849,0.074,0.169,0.037,-0.121,0.071,0.06,0.108,-0.102,-0.016
"7",6,60001,170850001,988,0.057,0.076,-0.132,-0.024,-0.106,-0.161,-0.227,-0.107,-0.027
"8",7,10001,158950001,952,0.093,0.179,0.072,0.104,0.095,0.224,-0.183,0.085,0.018
"9",8,10001,146250001,726,0.079,-0.018,0.194,0.047,0.065,0.053,0.382,0.077,-0.021
"10",9,10001,141000001,383,0.066,0.137,0.023,0.051,0.057,0.072,0.213,0.11,0.045
"11",10,60001,135400001,840,-0.155,-0.006,0.005,-0.089,-0.085,-0.129,-0.318,-0.055,-0.011
"12",11,60001,134800001,914,-0.183,-0.03,0.037,0.05,0.062,-0.15,0.015,-0.112,-0.003
"13",12,145740,133700001,848,0.072,0.168,0.195,0.062,0.076,0.062,0.081,-0.06,0.017
"14",13,19020001,115050001,431,0.101,-0.028,-0.16,-0.316,-0.08,-0.153,0.214,-0.154,-0.061
"15",14,19000001,106950001,528,0.051,-0.254,0.032,-0.091,-0.105,0.056,-0.129,-0.027,0.027
"16",15,20000001,102300001,571,-0.177,-0.246,-0.188,-0.292,-0.363,-0.139,-0.321,-0.223,-0.271
"17",16,60001,90150001,624,-0.142,-0.275,-0.169,-0.317,-0.313,-0.115,-0.036,-0.2,-0.229
"18",17,1,81050001,814,-0.218,-0.073,-0.006,-0.008,-0.133,0.012,-0.524,0,0.011
"19",18,10001,77950001,243,0.135,-0.282,-0.224,-0.014,0.015,-0.184,0.047,-0.03,-0.056
"20",19,60001,59050001,711,0.126,-0.043,0.009,0.031,0.04,0.029,-0.176,0.14,0.058
"21",20,60001,62850001,359,0.015,0.05,-0.011,0.008,0.011,0.013,0.065,0.047,-0.016
"22",21,10697897,48050001,157,0.078,-0.001,-0.159,-0.086,0.08,-0.11,0.149,0.001,0.035
"23",22,16050001,51200001,300,-0.196,-0.27,-0.189,-0.409,-0.341,-0.135,-0.532,-0.102,-0.167
