"chrom","start.pos","end.pos","n.probes","GSM2404455_9420867121_R04C02","GSM2404649_9741950027_R05C01","GSM2405093_9969477123_R02C02","GSM2405107_9855358003_R05C01","GSM2405113_9855358026_R05C01","GSM2405156_9878820021_R06C02","GSM2405184_9878820105_R02C01","GSM2405185_9878820105_R03C01"
"1",1,521369,54850001,586,0.083,-0.136,-0.013,-0.022,0.022,0.016,-0.021,0.014
"2",1,54900001,117300001,293,0.056,-0.45,-0.138,-0.094,-0.249,-0.146,-0.011,-0.053
"3",1,117450001,249150001,714,0.095,-0.016,-0.104,-0.062,-0.02,0.002,0.298,-0.087
"4",2,10001,242950001,1282,0.059,-0.051,-0.131,-0.1,-0.036,0.007,-0.001,-0.09
"5",3,60001,93504855,453,0.074,0.281,0.161,-0.085,-0.077,0.193,-0.009,-0.161
"6",3,93700001,197700001,525,0.084,0.364,0.172,0.307,-0.069,0.236,0.045,-0.141
"7",4,10001,103250001,427,-0.101,-0.071,-0.112,-0.096,-0.032,-0.45,0.029,0.185
"8",4,103300001,190900001,315,-0.309,-0.043,-0.176,-0.111,-0.084,0.006,0.067,0.208
"9",5,10001,180650001,849,0.055,0.279,-0.005,0.163,0.201,-0.016,0.018,0.123
"10",6,60001,170850001,988,0.103,0.314,-0.158,0.174,-0.042,0.011,0.025,-0.118
"11",7,10001,158950001,952,0.071,0.312,0.215,-0.104,-0.015,0.011,0.033,-0.095
"12",8,10001,47150001,282,-0.348,-0.083,-0.004,-0.515,-0.395,0.066,-0.404,0.001
"13",8,47350001,146250001,444,-0.391,0.002,-0.156,-0.111,0.037,0.01,0.016,-0.1
"14",9,10001,141000001,383,0.165,0.218,0.213,-0.091,0.298,0.206,0.03,0.139
"15",10,60001,135400001,840,0.064,-0.051,-0.075,-0.083,-0.002,-0.019,0.027,-0.056
"16",11,60001,134800001,914,0.071,-0.067,0.19,0.149,0.172,0.186,-0.004,0.071
"17",12,145740,25100001,175,-0.326,0.011,-0.134,-0.111,-0.047,-0.026,0.023,-0.119
"18",12,25300001,133700001,673,0.216,-0.023,-0.107,-0.065,-0.028,0.006,0.024,-0.054
"19",13,19020001,115050001,431,-0.335,-0.043,-0.239,-0.161,-0.095,-0.494,0.038,-0.188
"20",14,19000001,61750001,188,-0.41,0.03,-0.14,-0.081,-0.007,-0.497,-0.012,-0.058
"21",14,61800001,106950001,340,-0.319,-0.634,-0.04,-0.038,0.014,-0.445,-0.003,-0.018
"22",15,20000001,102300001,571,0.082,0.253,0.298,0.393,0.021,0.278,0.007,-0.011
"23",16,60001,90150001,624,-0.108,-0.047,-0.074,-0.059,-0.03,0.002,0.061,-0.146
"24",17,1,81050001,814,0.039,-0.149,-0.051,-0.043,-0.042,0.002,0.014,0.012
"25",18,10001,77950001,243,-0.044,-0.176,0.232,-0.068,-0.06,0.037,0.019,0.116
"26",19,60001,59050001,711,0.022,0.142,0.171,0.146,0.161,0.2,0.052,0.184
"27",20,60001,62850001,359,0.039,-0.155,-0.189,-0.13,-0.089,-0.066,-0.006,0.074
"28",21,10697897,48050001,157,0.061,-0.047,-0.075,0.322,-0.008,0.244,0.057,0.014
"29",22,16050001,51200001,300,0.07,-0.108,-0.033,0.013,0.192,0.031,0.028,0.059
