"chrom","start.pos","end.pos","n.probes","GSM2404029_9340996032_R01C01","GSM2404556_9553932098_R03C02","GSM2404616_9741950021_R06C01","GSM2404711_9721366135_R03C01","GSM2405220_9980102125_R04C01","GSM2405308_3999875057_R01C02","GSM2405312_10003886252_R03C02","GSM2405435_3999834121_R04C01","GSM2405629_3998579150_R01C02","GSM2405630_3998523077_R05C01","GSM2940830_200325530023_R06C01","GSM2941057_3998909050_R04C02","GSM2941090_3998909089_R02C01","GSM2941249_3999834067_R01C01","GSM2941256_3999834068_R02C01"
"1",1,521369,121300001,901,-0.072,-0.044,-0.05,-0.036,0.003,0.008,0.025,0.005,-0.059,0.019,-0.1,-0.013,0.003,0.021,-0.319
"2",1,144451745,249150001,692,0.006,-0.073,-0.092,-0.07,-0.041,-0.01,-0.022,-0.041,-0.239,-0.024,-0.103,-0.016,-0.033,-0.006,0.253
"3",2,10001,242950001,1282,-0.015,-0.07,-0.086,-0.088,-0.096,-0.037,-0.061,-0.075,-0.298,-0.043,-0.095,-0.053,-0.079,-0.045,0.039
"4",3,60001,197700001,978,-0.058,-0.104,-0.129,-0.04,-0.103,-0.049,-0.065,-0.106,-0.39,-0.062,-0.122,-0.046,-0.083,-0.041,0.032
"5",4,10001,10100001,135,-0.035,0.057,0.043,0.001,0.039,0.042,0.059,0.003,0.11,0.027,0.074,0.018,0.035,0.054,0.023
"6",4,10450001,190900001,607,-0.081,-0.127,-0.163,-0.171,-0.218,-0.108,-0.164,-0.156,-0.536,-0.108,-0.153,-0.121,-0.178,-0.135,-0.013
"7",5,10001,180650001,849,0.008,-0.086,-0.109,-0.018,-0.1,-0.034,-0.05,-0.081,-0.339,-0.048,-0.102,-0.042,-0.065,-0.037,0.039
"8",6,60001,170850001,988,-0.02,-0.083,-0.114,-0.033,-0.119,-0.039,-0.07,-0.101,-0.399,-0.059,-0.091,-0.048,-0.092,-0.058,-0.381
"9",7,10001,158950001,952,0.03,-0.046,-0.06,0.015,-0.068,0.005,-0.025,-0.094,-0.477,-0.045,-0.03,-0.011,0.267,-0.011,0.058
"10",8,10001,146250001,726,-0.026,-0.067,-0.087,0.051,0.072,-0.037,-0.057,-0.084,-0.311,-0.047,-0.082,-0.051,-0.076,-0.04,0.043
"11",9,10001,141000001,383,-0.064,-0.036,-0.046,-0.048,0.088,-0.003,0.009,-0.022,-0.072,-0.003,-0.07,-0.008,-0.023,0.019,0.034
"12",10,60001,135400001,840,-0.02,-0.038,-0.058,-0.063,-0.054,-0.001,-0.006,-0.06,-0.246,-0.028,-0.039,-0.016,-0.035,-0.009,0.049
"13",11,60001,134800001,914,-0.022,-0.082,-0.102,-0.083,-0.037,-0.022,-0.023,-0.07,-0.199,-0.029,-0.084,-0.028,-0.038,-0.005,0.033
"14",12,145740,133700001,848,0.003,-0.061,-0.08,-0.007,-0.064,-0.023,-0.033,-0.075,-0.286,-0.042,-0.085,-0.03,-0.055,-0.024,0.039
"15",13,19020001,115050001,431,0.052,-0.063,-0.074,-0.099,-0.166,-0.035,-0.085,-0.136,-0.502,-0.093,-0.053,-0.038,-0.116,-0.059,0.051
"16",14,19000001,106950001,528,-0.043,-0.054,-0.066,0.077,-0.032,-0.007,-0.008,-0.022,-0.186,-0.002,-0.106,-0.029,-0.036,-0.007,0.052
"17",15,20000001,102300001,571,-0.008,-0.037,-0.052,0.085,-0.022,0.007,0.008,-0.01,-0.151,0.007,-0.08,-0.014,-0.034,0.002,0.054
"18",16,60001,90150001,624,0.002,0.006,-0.006,0.038,0.014,0.022,0.04,-0.042,-0.054,-0.011,0.009,0.016,0.005,0.03,0.035
"19",17,1,81050001,814,-0.143,-0.03,-0.047,-0.079,-0.019,-0.041,-0.028,-0.017,0.015,-0.021,-0.091,-0.059,-0.042,-0.032,-0.016
"20",18,10001,77950001,243,-0.134,-0.054,-0.07,-0.11,-0.123,-0.089,-0.097,-0.039,-0.147,-0.056,-0.11,-0.104,0.172,-0.106,-0.028
"21",19,60001,59050001,711,-0.095,0,0.002,0.016,0.121,-0.015,0.011,-0.039,-0.022,-0.02,-0.054,-0.026,-0.066,-0.009,-0.021
"22",20,60001,62850001,359,-0.066,-0.051,-0.055,0.047,-0.008,-0.033,-0.015,-0.028,-0.047,-0.021,-0.107,-0.05,-0.009,-0.022,0.002
"23",21,10697897,48050001,157,-0.022,0.007,-0.024,0.023,0.042,-0.001,-0.002,-0.033,-0.13,-0.008,-0.002,-0.02,-0.036,-0.008,0.019
"24",22,16050001,51200001,300,-0.349,0.03,0.004,0.065,-0.018,0.026,-0.017,0.058,0.147,0.056,-0.051,-0.005,0.012,0.05,0.022
