"chrom","start.pos","end.pos","n.probes","GSM2402910_6929689168_R01C01","GSM2402911_6929689152_R06C02","GSM2402912_6929689168_R05C01","GSM2402913_6929689168_R02C01","GSM2402914_6929689168_R03C01","GSM2402933_6929689161_R03C02","GSM2402934_6929689161_R04C02","GSM2402935_6929689161_R05C02","GSM2402936_6929689161_R06C02","GSM2402937_6929689161_R02C02","GSM2402947_6929689136_R04C01","GSM2403003_6929689149_R06C02","GSM2403009_6929718009_R04C01","GSM2403132_6752625054_R06C01","GSM2403135_6752625054_R03C02","GSM2403136_6752625054_R04C02","GSM2403143_6752625079_R05C01","GSM2403147_6752625079_R03C02","GSM2403148_6752625079_R04C02","GSM2403244_7970376005_R06C02","GSM2403256_7970376026_R03C01","GSM2403283_7970376029_R01C02","GSM2403300_7970376005_R03C01","GSM2403312_7970376005_R04C02","GSM2403319_7970376055_R06C01","GSM2403322_7970376067_R06C02","GSM2403335_7990895095_R04C02","GSM2403336_7990895095_R05C02","GSM2403349_7990908004_R01C01","GSM2403351_7990895159_R03C02","GSM2403357_7990895046_R04C01","GSM2403365_7990895142_R05C02","GSM2403374_7990908004_R03C02","GSM2403432_8622007025_R03C02","GSM2404095_9374342010_R04C02","GSM2404376_9422493151_R01C02","GSM2404699_9741950149_R02C02","GSM2404917_9968646167_R05C01","GSM2405319_10003886258_R02C01","GSM2941129_3998998159_R03C02","GSM2941130_3998998159_R04C01","GSM2941170_3999078079_R06C02","GSM2941279_3999834105_R06C02","GSM2941392_9407201030_R04C01","GSM2941416_9444374134_R06C01","GSM2941431_9444375150_R01C01","GSM2941502_9553932054_R05C01","GSM2941520_9721366135_R02C01"
"1",1,521369,249150001,1593,0.099,0.034,-0.032,0.044,0.026,0.029,0.09,0.03,0.027,0.03,0.029,0.035,0.009,0.035,0.038,0.038,0.033,0.036,0.027,-0.121,0,0.032,0.012,-0.031,0.004,0.037,-0.039,-0.167,0.022,0.008,0.025,0.037,-0.031,0.017,0.01,-0.072,0.019,-0.017,0.028,0.064,-0.107,0.015,0.009,0.087,0.009,-0.009,0.037,0.034
"2",2,10001,242950001,1282,0.053,-0.008,-0.034,0.02,-0.04,0.02,0.015,0.004,0.001,-0.003,0.001,0.003,-0.013,-0.019,-0.007,-0.003,-0.001,0.001,-0.004,-0.126,-0.006,0.005,-0.03,-0.06,-0.055,-0.065,-0.089,-0.224,-0.009,-0.027,0.006,0.036,-0.015,-0.013,-0.015,-0.093,-0.008,-0.042,0.051,-0.013,-0.143,-0.063,-0.018,0.108,-0.051,-0.024,-0.112,0.002
"3",3,60001,197700001,978,0.074,0.022,0.077,-0.018,-0.017,0.019,-0.074,0.014,0.022,0.005,0.02,0.033,-0.123,-0.023,-0.002,-0.003,0.002,0.003,-0.003,-0.185,-0.026,-0.009,-0.053,-0.086,-0.086,-0.216,-0.103,-0.326,-0.013,-0.047,-0.007,0.056,-0.042,-0.019,-0.04,-0.109,-0.026,-0.05,-0.026,0.003,-0.214,-0.091,-0.032,-0.097,0.158,-0.046,-0.109,0.004
"4",4,10001,190900001,742,-0.135,-0.061,-0.058,-0.129,-0.104,-0.024,-0.198,-0.023,-0.033,-0.043,-0.033,-0.023,-0.053,-0.07,-0.047,-0.037,-0.029,-0.03,-0.034,-0.167,-0.039,-0.034,-0.083,-0.114,-0.137,-0.12,-0.144,-0.314,-0.05,-0.073,-0.023,0.032,-0.055,-0.049,-0.061,-0.131,-0.044,-0.074,-0.077,-0.068,-0.173,-0.136,-0.06,-0.045,-0.101,-0.065,-0.167,-0.035
"5",5,10001,180650001,849,0.094,0.008,-0.011,0.036,-0.019,0.014,0.079,0.01,0.012,0.003,0.012,0.024,0.215,-0.022,-0.001,-0.004,0.009,0.005,0.01,-0.155,-0.018,0.002,-0.033,-0.089,-0.065,-0.066,0.132,-0.292,-0.012,-0.035,-0.001,0.045,-0.04,-0.018,-0.026,-0.094,-0.013,-0.038,0.062,-0.003,-0.173,-0.068,-0.021,0.138,-0.04,-0.028,0.035,0.011
"6",6,60001,170850001,988,-0.365,-0.567,-0.099,-0.374,-0.169,-0.454,-0.351,-0.456,-0.524,-0.45,-0.397,-0.535,-0.009,-0.56,-0.466,-0.482,-0.402,-0.422,-0.407,-0.153,-0.431,-0.417,-0.291,-0.58,-0.517,-0.496,-0.108,-0.765,-0.322,-0.423,-0.393,-0.366,-0.504,-0.455,-0.416,-0.096,-0.47,-0.044,-0.345,-0.447,-0.165,-0.507,-0.407,-0.099,-0.06,-0.394,-0.137,-0.331
"7",7,10001,158950001,952,-0.029,0.028,0.006,0.062,-0.001,0.039,0.051,0.032,0.029,0.023,0.036,-0.012,-0.272,-0.003,0.012,0.011,0.028,0.031,0.027,-0.101,0,0.021,-0.015,0.154,-0.059,-0.287,-0.069,-0.2,0.009,-0.002,0.012,0.044,0.008,0.003,0.008,0.121,0.01,-0.016,-0.088,0.031,-0.108,-0.04,0.003,0.064,-0.027,0.004,0.047,0.031
"8",8,10001,146250001,726,-0.081,-0.021,-0.031,0.016,0.023,-0.001,0.015,-0.002,-0.011,-0.011,0,0.001,-0.01,-0.024,-0.008,-0.003,0.002,-0.001,0.005,-0.144,0.04,0.005,-0.026,-0.091,-0.063,-0.149,-0.09,-0.229,-0.015,-0.027,-0.005,0.023,-0.033,-0.011,-0.009,0.104,0.001,-0.035,-0.015,0.19,0.085,-0.063,-0.023,-0.1,-0.196,-0.024,0.137,0.011
"9",9,10001,141000001,383,0.078,0.043,0.006,0,0.003,0.031,0.05,0.033,0.037,0.033,0.034,0.034,0.031,-0.008,0.024,0.025,0.018,0.021,0.013,-0.067,0.016,0.027,0.022,-0.007,0.039,0,-0.025,-0.063,0.024,0.032,0.036,0.03,-0.002,0.015,0.012,0.117,0.026,-0.026,0.019,0.007,-0.06,0.041,0.015,0.18,-0.053,-0.002,-0.064,0.027
"10",10,60001,135400001,840,-0.258,0.022,0.048,0.044,-0.008,0.026,-0.035,0.025,0.025,0.018,0.025,0.027,-0.138,-0.028,0.019,0.016,0.019,0.019,0.016,-0.098,-0.003,0.023,0.002,-0.06,-0.017,-0.24,-0.052,-0.171,0.005,0.004,0.012,0.036,-0.012,0.006,0.005,-0.002,0.016,-0.01,-0.074,0.01,-0.099,-0.012,0.009,-0.221,-0.001,-0.009,-0.08,0.025
