"chrom","start.pos","end.pos","n.probes","GSM2404114_9379082039_R02C01","GSM2404201_9376561024_R06C01","GSM2404356_9407210069_R01C02","GSM2404369_9422493146_R01C02","GSM2404371_9422493146_R03C02","GSM2404372_9422493146_R04C02","GSM2404373_9422493146_R05C02","GSM2404406_9426021086_R01C01","GSM2404422_9426021162_R02C01","GSM2405569_3998998189_R02C01","GSM2405570_3998998189_R03C01","GSM2405572_3998998189_R06C01","GSM2940874_200362700196_R02C02"
"1",1,521369,120400001,898,-0.274,-0.107,-0.124,-0.062,-0.037,-0.019,-0.065,-0.107,-0.681,-0.009,-0.034,-0.024,0.01
"2",1,120747157,249150001,695,-0.333,-0.103,-0.206,-0.043,-0.036,-0.019,-0.045,-0.18,-0.037,-0.064,-0.07,-0.061,-0.006
"3",2,10001,136650001,766,-0.32,-0.145,-0.042,-0.035,-0.162,-0.036,-0.055,-0.072,-0.244,-0.056,-0.083,-0.08,-0.034
"4",2,136850001,242950001,516,-0.391,-0.183,-0.031,-0.058,-0.405,-0.054,-0.075,-0.084,-0.272,-0.513,-0.133,-0.142,-0.085
"5",3,60001,197700001,978,-0.001,-0.15,0.025,-0.047,-0.036,-0.016,0.147,0.002,-0.002,-0.118,0.086,0.103,-0.044
"6",4,10001,190900001,742,0.011,0.055,-0.013,-0.064,-0.053,-0.051,-0.077,-0.001,-0.047,-0.009,-0.141,-0.128,-0.137
"7",5,10001,180650001,849,0.031,0.118,-0.014,0.125,-0.03,-0.031,-0.045,-0.006,0.04,-0.094,0.114,-0.085,-0.05
"8",6,60001,170850001,988,0.008,-0.161,-0.014,-0.24,-0.034,-0.031,-0.06,-0.073,-0.023,-0.103,-0.116,-0.12,-0.072
"9",7,10001,158950001,952,0.048,0.133,0.022,-0.013,0.001,0.002,-0.012,-0.051,0.014,-0.049,-0.071,-0.068,-0.013
"10",8,10001,146250001,726,-0.328,0.075,-0.023,-0.04,-0.027,-0.038,-0.035,-0.019,-0.262,-0.085,-0.101,-0.092,-0.062
"11",9,10001,141000001,383,-0.14,-0.084,-0.074,-0.036,0.001,-0.004,-0.025,-0.056,-0.082,0.002,-0.026,-0.011,0.032
"12",10,60001,42596688,235,0.069,-0.081,0.053,0.003,0.03,0.001,0.008,-0.02,0.084,-0.036,-0.077,-0.049,-0.017
"13",10,42850001,135400001,605,0.061,-0.103,-0.063,-0.046,-0.024,-0.026,-0.048,-0.082,-0.59,-0.038,-0.07,-0.047,-0.002
"14",11,60001,134800001,914,0.017,-0.113,-0.056,-0.047,-0.03,-0.023,-0.054,-0.088,-0.236,-0.07,-0.082,-0.068,-0.103
"15",12,145740,133700001,848,0.036,-0.112,-0.03,-0.055,-0.028,-0.022,-0.046,0.041,-0.024,-0.06,0.116,-0.059,-0.035
"16",13,19020001,115050001,431,-0.02,0.086,0.053,-0.152,-0.011,-0.022,-0.048,-0.022,0.068,-0.108,-0.14,-0.137,-0.478
"17",14,19000001,106950001,528,0.064,0.114,-0.059,-0.058,-0.037,-0.021,-0.038,-0.083,-0.082,-0.039,-0.056,-0.034,-0.022
"18",15,20000001,102300001,571,-0.276,-0.103,-0.079,-0.046,-0.018,-0.004,-0.042,-0.074,-0.044,-0.018,-0.045,-0.029,-0.01
"19",16,60001,90150001,624,0.073,-0.038,-0.051,0.003,0.019,0.007,-0.004,-0.056,-0.255,0.02,-0.009,0.009,0.058
"20",17,1,81050001,814,0.045,-0.137,-0.181,-0.083,-0.051,-0.054,-0.077,-0.094,-0.115,-0.01,-0.045,-0.031,-0.022
"21",18,10001,77950001,243,0.029,-0.223,-0.087,-0.091,-0.074,-0.094,-0.097,-0.071,-0.108,-0.07,-0.112,-0.096,-0.138
"22",19,60001,59050001,711,0.044,0.101,-0.147,-0.063,-0.034,-0.028,-0.051,-0.092,-0.08,0.019,-0.024,-0.007,-0.004
"23",20,60001,62850001,359,0.001,-0.145,-0.108,-0.066,-0.054,-0.053,-0.077,-0.094,-0.111,-0.044,-0.081,-0.071,-0.01
"24",21,10697897,48050001,157,0.071,-0.098,-0.06,-0.021,-0.005,0.002,-0.015,-0.037,-0.014,-0.005,-0.042,-0.02,-0.183
"25",22,16050001,51200001,300,0.121,-0.104,-0.177,-0.058,-0.032,-0.011,-0.049,-0.098,-0.116,0.07,0.016,0.032,0.058
