"chrom","start.pos","end.pos","n.probes","GSM2402922_6929689152_R05C02","GSM2403509_8622007070_R04C01","GSM2403610_8622007119_R01C01","GSM2403615_8622007119_R06C01","GSM2403658_8963311099_R03C02","GSM2403703_9007217153_R03C02","GSM2403708_9007217153_R04C02","GSM2403709_9007217153_R05C02","GSM2403743_9007225091_R05C01","GSM2403814_9297949098_R01C02","GSM2404040_9373550131_R03C01","GSM2404319_9422492026_R03C02","GSM2404335_9422492075_R01C01","GSM2404476_9444374133_R02C02","GSM2404583_9611519028_R01C01","GSM2404769_9829119122_R06C02","GSM2404771_9829119124_R02C01","GSM2404847_9533774088_R01C02","GSM2405145_9878820017_R05C01","GSM2405250_9878827227_R03C01","GSM2405284_10006823130_R02C01","GSM2405330_10006823160_R05C01","GSM2405334_3999834001_R02C01","GSM2405491_3999308200_R02C02","GSM2940783_10006823144_R01C01","GSM2940799_10006823160_R03C01","GSM2940849_200325530104_R02C01","GSM2940977_3998523057_R02C02","GSM2941097_3998909181_R02C01","GSM2941111_3998919099_R02C02","GSM2941148_3999002044_R02C01","GSM2941200_3999095103_R06C02","GSM2941220_3999543042_R05C02","GSM2941243_3999834002_R06C02","GSM2941278_3999834105_R05C02","GSM2941306_3999875073_R02C02","GSM2941339_9373550131_R03C02","GSM2941377_9406921070_R05C01","GSM2941413_9444374133_R03C02","GSM2941442_9513149129_R06C01","GSM2941547_9741950008_R04C01","GSM2941655_9878820156_R05C02","GSM2941740_9969477022_R05C02","GSM2941767_9969477074_R05C01","GSM2941775_9969477086_R04C01"
"1",1,521369,249150001,1593,0.001,-0.091,-0.104,-0.131,-0.047,-0.067,-0.082,-0.099,-0.13,-0.048,-0.038,-0.111,-0.052,-0.15,-0.07,-0.097,-0.042,-0.006,-0.034,-0.013,-0.111,0.01,-0.004,-0.017,-0.061,-0.031,-0.044,-0.035,-0.04,-0.052,-0.019,-0.105,-0.096,-0.052,-0.021,-0.038,-0.097,-0.099,0.01,0.008,-0.101,-0.098,-0.032,-0.025,-0.039
"2",2,10001,242950001,1282,-0.033,-0.084,-0.088,-0.141,-0.134,-0.084,-0.098,-0.121,-0.11,-0.023,-0.058,-0.068,-0.141,-0.108,-0.076,-0.054,-0.053,-0.236,-0.061,-0.077,-0.158,0.027,-0.046,-0.07,-0.105,-0.081,-0.095,-0.038,-0.097,-0.035,-0.082,-0.165,-0.154,-0.109,-0.053,-0.092,-0.02,-0.046,-0.032,-0.035,-0.127,-0.097,-0.002,-0.083,-0.085
"3",3,60001,197700001,978,-0.005,-0.083,-0.081,-0.134,-0.067,-0.119,-0.116,-0.151,-0.115,-0.021,-0.078,-0.097,-0.109,-0.154,-0.118,-0.057,-0.053,-0.121,-0.073,-0.095,-0.127,0.028,-0.107,-0.073,0.064,-0.112,-0.129,-0.054,0.003,-0.08,-0.091,-0.171,-0.189,-0.152,-0.074,-0.043,-0.025,-0.07,-0.038,-0.015,-0.171,-0.147,-0.021,-0.111,-0.111
"4",4,10001,190900001,742,-0.065,-0.098,-0.111,-0.154,-0.095,-0.122,-0.128,-0.164,0.075,-0.058,-0.096,-0.104,-0.116,-0.225,-0.112,-0.067,-0.101,-0.307,-0.108,-0.151,-0.132,0.023,-0.092,-0.136,-0.196,-0.138,-0.163,-0.104,-0.151,-0.062,-0.145,-0.06,-0.22,-0.168,-0.084,-0.164,-0.066,-0.118,-0.1,-0.081,-0.151,-0.138,0.011,-0.161,-0.112
"5",5,10001,180650001,849,-0.009,-0.077,0.161,0.183,0.008,-0.021,0.041,0.033,0.078,-0.006,-0.005,-0.076,-0.017,-0.12,-0.101,0.041,-0.046,-0.089,0.125,-0.005,0.034,0.035,-0.038,-0.001,-0.126,-0.077,0.044,-0.042,0.013,-0.037,0.014,0.087,0.036,-0.122,-0.056,0.013,-0.014,-0.02,-0.024,-0.01,0,-0.125,-0.003,-0.092,-0.081
"6",6,60001,170850001,988,-0.02,-0.071,-0.074,0.037,0.125,-0.03,0.038,0.13,-0.099,-0.014,0.003,-0.073,-0.005,-0.189,-0.092,-0.036,-0.037,0.051,0.037,-0.029,-0.034,0.036,0.007,-0.022,-0.131,-0.068,-0.029,-0.051,-0.005,-0.048,0,0,-0.183,-0.135,-0.067,0.074,-0.025,-0.074,-0.051,-0.03,0.024,-0.123,-0.015,-0.031,-0.024
"7",7,10001,158950001,952,0.032,0.112,0.095,-0.087,0.16,0.005,0.179,0.054,0.167,0.026,0.073,-0.031,0.044,-0.091,0.099,0.094,-0.001,0.088,0.078,0.019,0.07,0.022,0.046,-0.029,0.096,0.003,0.021,-0.003,0.043,0.022,0.054,0.046,0.059,-0.095,-0.02,0.002,0.03,-0.025,0.014,0.162,0.166,-0.082,0.084,0.076,0.074
"8",8,10001,146250001,726,-0.027,-0.063,-0.089,0.039,-0.125,-0.054,-0.096,-0.122,-0.118,-0.013,-0.032,-0.059,-0.054,-0.086,-0.068,0.02,-0.049,-0.153,-0.053,-0.073,0.04,0.032,-0.04,-0.003,-0.112,-0.056,-0.071,-0.03,0.016,-0.028,-0.067,0.019,0.048,-0.119,-0.052,-0.091,-0.006,-0.042,-0.03,-0.036,-0.103,-0.092,0.007,-0.079,-0.062
"9",9,10001,141000001,383,0.012,0.026,-0.08,0.055,-0.04,-0.047,-0.062,0.042,-0.113,-0.003,0.022,-0.044,-0.045,0.02,-0.051,-0.063,-0.022,-0.061,-0.021,-0.006,0.01,-0.013,0.089,-0.002,0.12,-0.012,-0.032,0.001,0.045,-0.033,-0.019,-0.004,0.108,-0.037,-0.013,0.02,0.022,0.017,0.022,-0.023,0.052,-0.07,0.154,-0.015,-0.032
"10",10,60001,135400001,840,0.006,-0.017,-0.055,-0.104,0.022,-0.052,-0.06,0.054,-0.082,0.004,-0.031,-0.026,-0.013,-0.073,-0.06,-0.034,-0.021,-0.117,0.064,-0.031,-0.031,0.018,0.046,0.032,0.104,-0.034,-0.056,-0.009,0.038,-0.018,-0.034,0.053,0.087,-0.058,-0.019,-0.052,0.009,-0.008,-0.005,-0.009,-0.094,-0.064,0.098,-0.049,-0.042
"11",11,60001,134800001,914,0.017,-0.061,-0.066,0.057,-0.042,-0.022,-0.093,0.014,-0.104,-0.003,-0.051,-0.02,-0.058,-0.056,-0.101,0.017,-0.04,-0.15,-0.046,0.017,0.035,0.008,-0.018,0.03,0.085,-0.064,-0.079,-0.017,-0.069,-0.042,0.04,0.04,0.063,-0.108,-0.045,0.036,-0.005,-0.025,-0.006,0.012,0.017,-0.12,-0.045,0.019,-0.078
"12",12,145740,133700001,848,-0.004,-0.064,0.036,0.047,0.005,-0.075,-0.081,-0.113,0.118,-0.011,-0.054,-0.068,-0.089,-0.061,-0.086,-0.054,-0.038,-0.056,0.05,-0.058,0.028,-0.004,0.031,-0.048,-0.104,-0.015,-0.003,-0.024,0.027,-0.058,-0.054,-0.048,0.055,-0.082,-0.043,-0.019,-0.008,-0.032,-0.012,-0.016,-0.125,-0.119,0.061,-0.006,-0.074
"13",13,19020001,115050001,431,-0.013,-0.087,-0.019,0.065,-0.132,-0.069,-0.082,-0.122,-0.022,0.001,-0.045,-0.044,-0.039,-0.216,-0.078,0.031,-0.006,-0.221,-0.189,-0.111,-0.044,0.075,0.007,-0.085,-0.15,-0.104,-0.112,-0.139,-0.013,-0.042,-0.103,-0.029,-0.194,-0.135,-0.061,-0.118,-0.028,-0.098,-0.038,-0.037,-0.146,-0.071,0.141,-0.119,-0.101
"14",14,19000001,106950001,528,-0.018,-0.108,-0.106,0.047,-0.064,-0.064,-0.084,-0.1,-0.145,-0.017,-0.048,-0.081,-0.062,-0.028,-0.069,-0.079,-0.049,-0.107,-0.046,-0.026,0.01,0.022,-0.013,-0.04,-0.085,-0.065,-0.053,0,-0.057,-0.005,-0.04,-0.029,-0.11,-0.065,-0.026,0.002,0.009,0.007,-0.004,-0.02,-0.099,-0.096,-0.007,-0.036,0.01
"15",15,20000001,102300001,571,-0.013,-0.043,0.043,-0.115,0.011,-0.041,-0.067,-0.083,-0.13,0.008,-0.03,-0.038,-0.003,-0.009,-0.058,-0.09,-0.041,-0.087,-0.033,-0.018,-0.032,0.005,-0.01,0.03,-0.068,-0.016,-0.041,0.012,0.053,-0.006,-0.028,-0.019,-0.092,-0.042,-0.007,0.013,0.025,0.018,0.017,-0.007,-0.087,-0.065,-0.015,-0.023,-0.037
"16",16,60001,90150001,624,0.024,-0.009,-0.025,0.076,0.078,-0.018,-0.031,-0.058,-0.043,0.002,-0.004,-0.002,-0.026,0.047,-0.024,-0.03,0.012,-0.03,-0.012,0.018,-0.02,-0.049,0.024,0.02,-0.02,0.023,-0.006,0.03,-0.027,-0.019,0.015,0.008,-0.028,0.011,0.014,0.041,0.014,0.031,0.016,-0.001,-0.056,-0.006,-0.111,0.005,-0.01
"17",17,1,81050001,814,-0.079,-0.094,-0.131,-0.007,-0.09,-0.077,-0.101,-0.106,-0.145,-0.084,-0.079,-0.079,-0.087,0.03,-0.048,-0.176,-0.083,-0.057,-0.083,-0.046,-0.019,-0.095,-0.092,-0.055,-0.074,-0.039,-0.057,-0.043,-0.002,-0.032,-0.05,-0.056,-0.069,-0.034,-0.036,-0.08,-0.05,-0.015,-0.058,-0.083,-0.084,-0.047,-0.127,-0.029,-0.047
"18",18,10001,77950001,243,-0.15,-0.133,-0.164,0.089,-0.082,-0.095,-0.123,-0.137,-0.188,-0.105,-0.118,-0.119,-0.141,-0.145,-0.069,-0.163,-0.13,0.021,-0.124,-0.06,-0.018,-0.016,-0.102,-0.139,-0.001,-0.095,-0.121,-0.115,-0.048,-0.017,-0.146,-0.133,0.036,-0.085,-0.081,-0.073,-0.086,-0.089,-0.095,-0.154,-0.098,-0.071,0.131,-0.118,-0.08
"19",19,60001,59050001,711,-0.043,-0.099,-0.096,-0.141,-0.12,-0.024,-0.049,-0.06,-0.122,-0.056,-0.05,-0.078,-0.096,0.059,-0.028,-0.179,-0.061,-0.02,-0.053,-0.013,0.014,-0.18,-0.063,-0.029,-0.074,-0.012,0.04,0.013,0.018,-0.082,-0.018,-0.047,-0.047,0.02,0.004,-0.041,0.025,0.009,-0.027,-0.069,-0.061,-0.052,-0.225,-0.018,-0.01
"20",20,60001,62850001,359,-0.041,-0.079,-0.112,-0.006,-0.039,-0.075,-0.103,-0.114,-0.136,-0.045,-0.075,-0.078,-0.052,-0.017,-0.06,-0.132,-0.071,-0.083,-0.059,-0.041,-0.026,-0.039,-0.041,-0.041,-0.087,-0.045,-0.065,-0.015,0.012,-0.025,-0.051,-0.055,-0.089,-0.051,-0.033,0.015,-0.024,-0.022,-0.02,0.083,-0.11,-0.067,-0.072,-0.062,0
"21",21,10697897,48050001,157,-0.012,-0.005,-0.049,-0.073,0.011,-0.036,-0.055,-0.074,0.132,-0.018,-0.018,-0.028,-0.053,-0.067,-0.025,0.027,-0.019,-0.079,-0.028,-0.039,-0.04,0.015,-0.005,-0.039,-0.081,-0.038,0.018,-0.011,-0.075,-0.122,-0.047,-0.037,-0.076,-0.027,-0.008,-0.058,-0.003,-0.014,0.012,-0.032,0.08,-0.012,0.116,-0.044,0.046
"22",22,16050001,51200001,300,-0.021,-0.119,-0.107,-0.107,-0.09,0.003,-0.051,-0.037,-0.122,-0.018,-0.014,-0.02,-0.064,0.107,0.012,-0.18,-0.032,0.006,-0.014,0.1,-0.042,-0.059,0.014,0.026,-0.001,0.039,0.031,0.06,-0.129,0.009,0.037,0.013,0.021,0.059,0.036,0.013,0.017,0.083,0.022,-0.037,-0.011,-0.003,-0.076,0.057,0.035
