"chrom","start.pos","end.pos","n.probes","GSM2402918_6969568004_R01C01","GSM2402919_6164621144_R04C01","GSM2402920_6164621144_R05C01","GSM2402953_6164621144_R03C02","GSM2402954_6164621144_R02C02","GSM2402956_6164621144_R01C02","GSM2402958_6929718017_R01C01","GSM2402960_6929718027_R02C01","GSM2402961_6929718026_R05C02","GSM2402963_6929718027_R04C01","GSM2403893_9297949147_R02C02","GSM2404097_9376538156_R01C02","GSM2404098_9376538156_R02C01","GSM2404099_9376538156_R03C01","GSM2404127_9379086124_R01C02","GSM2404150_9407201022_R06C02","GSM2404151_9407201021_R02C02","GSM2404154_9407201022_R01C02","GSM2404160_9407201022_R05C01","GSM2404163_9407201025_R01C01","GSM2404165_9407201021_R01C02","GSM2404166_9407201021_R05C02","GSM2404483_9444374134_R02C02","GSM2404775_9769100007_R02C02","GSM2404835_9533774082_R04C01","GSM2404838_9533774082_R01C02","GSM2404841_9533774084_R02C01","GSM2404926_9969477003_R01C01","GSM2405012_9969477044_R02C02","GSM2405014_9969477044_R06C01","GSM2405017_9969477044_R01C02","GSM2405081_9969477098_R04C01","GSM2405211_9878820127_R05C01","GSM2405372_3999834063_R02C02","GSM2405448_3999875052_R05C01","GSM2405520_3998909027_R02C02","GSM2405522_3998909027_R04C02","GSM2941400_9420867051_R06C01","GSM2941535_9721366150_R05C01"
"1",1,521369,249150001,1593,0.019,0.013,0.023,0.007,0.022,0.021,0.012,0.008,0.015,0.013,0.008,-0.004,-0.008,-0.004,0.008,-0.018,0.012,0.025,0.022,0.018,-0.021,0.003,-0.057,-0.001,-0.058,0.002,-0.049,0.013,0.014,0.009,0.016,0.017,0.052,-0.05,-0.007,-0.065,-0.031,-0.014,0.018
"2",2,10001,242950001,1282,-0.026,-0.018,-0.008,-0.031,-0.022,-0.005,-0.022,-0.035,-0.028,-0.033,-0.059,-0.036,-0.044,-0.03,-0.033,-0.058,-0.03,0.018,0.003,-0.014,-0.06,-0.08,-0.07,-0.081,-0.041,-0.026,-0.047,-0.033,-0.049,-0.049,-0.07,-0.036,0.042,-0.039,-0.048,-0.078,-0.042,-0.062,-0.029
"3",3,60001,197700001,978,-0.008,0.012,0.025,-0.003,0.007,0.022,-0.018,-0.03,-0.025,-0.027,-0.064,-0.049,-0.057,-0.036,-0.038,-0.068,-0.037,0.029,0.021,-0.008,-0.101,-0.104,-0.117,-0.104,-0.022,-0.026,-0.07,-0.049,-0.043,-0.063,-0.078,-0.037,0.088,-0.034,-0.053,-0.118,-0.066,-0.068,-0.039
"4",4,10001,190900001,742,-0.057,-0.039,-0.033,-0.053,-0.044,-0.025,-0.048,-0.06,-0.055,-0.073,-0.121,-0.072,-0.072,-0.059,-0.072,-0.09,-0.067,0.003,-0.021,-0.056,-0.098,-0.112,-0.082,-0.144,-0.055,-0.045,-0.075,-0.084,-0.111,-0.089,-0.152,-0.072,0.041,-0.049,-0.078,-0.075,-0.06,-0.111,-0.081
"5",5,10001,180650001,849,-0.014,0.015,0.023,-0.001,0.004,0.025,-0.012,-0.022,-0.019,-0.027,-0.054,-0.033,-0.042,-0.03,-0.036,-0.056,-0.024,0.042,0.021,-0.006,-0.08,-0.079,-0.09,-0.098,-0.033,-0.025,-0.058,-0.039,-0.045,-0.048,-0.076,-0.031,0.079,-0.024,-0.043,-0.085,-0.044,-0.056,-0.029
"6",6,60001,170850001,988,-0.028,-0.006,0.002,-0.025,-0.012,0.003,-0.028,-0.041,-0.029,-0.036,-0.072,-0.049,-0.067,-0.039,-0.039,-0.065,-0.038,0.025,0.013,-0.021,-0.079,-0.064,-0.081,-0.121,-0.016,-0.028,-0.038,-0.056,-0.073,-0.077,-0.109,-0.048,0.065,-0.026,-0.04,-0.075,-0.038,-0.063,-0.042
"7",7,10001,158950001,952,0.01,0.023,0.022,0.008,0.023,0.031,0.017,-0.006,0.012,0.005,-0.03,-0.005,0.09,0.002,-0.004,0.194,0.146,0.043,0.041,0.013,-0.033,-0.028,-0.057,-0.092,-0.001,-0.01,-0.008,-0.027,-0.07,-0.041,-0.067,-0.018,0.063,0.021,-0.006,-0.034,0.015,0.179,-0.003
"8",8,10001,146250001,726,-0.028,-0.014,-0.008,-0.023,-0.014,0.002,-0.017,-0.024,-0.016,-0.031,-0.057,-0.024,-0.028,-0.022,-0.025,-0.058,-0.021,0.024,0.007,-0.009,-0.058,-0.076,-0.068,-0.09,-0.061,-0.033,-0.047,-0.031,-0.06,-0.04,-0.079,-0.035,0.039,-0.036,-0.045,-0.053,-0.019,-0.065,-0.022
"9",9,10001,141000001,383,0.018,0.002,0.01,0.003,0.011,0.008,-0.004,-0.002,-0.004,0.005,0.006,0.001,-0.013,-0.002,-0.007,-0.025,0.001,0.003,-0.002,0.019,-0.019,-0.059,-0.043,-0.012,-0.061,0,-0.052,-0.003,0.015,0.009,0.012,-0.002,0.009,-0.045,-0.025,-0.067,-0.032,-0.016,0.014
"10",10,60001,135400001,840,0.003,0.008,0.016,0,0.009,0.02,-0.003,-0.014,-0.005,-0.004,-0.025,-0.009,-0.017,-0.007,-0.016,-0.033,-0.003,0.032,0.025,0.015,-0.033,-0.03,-0.035,-0.05,-0.027,-0.013,-0.021,-0.019,-0.029,-0.019,-0.037,-0.012,0.057,-0.014,-0.015,-0.039,0,-0.021,0.002
