"chrom","start.pos","end.pos","n.probes","GSM2405617_3998523019_R04C02","GSM2405618_3998523019_R05C02","GSM2405619_3998523019_R06C02","GSM2405620_3998523022_R01C01","GSM2405621_3998523022_R02C01","GSM2405622_3998523022_R03C01","GSM2405623_3998523022_R04C01","GSM2405624_3998523022_R05C01","GSM2405625_3998523022_R06C01","GSM2405626_3998523022_R01C02","GSM2941191_3999078159_R03C01"
"1",1,521369,120300001,897,-0.218,-0.098,-0.455,-0.483,-0.411,-0.116,-0.44,-0.192,-0.188,-0.245,-0.221
"2",1,120400001,249150001,696,-0.112,-0.014,0.019,0.051,0.063,0.136,0.077,-0.17,0.157,0.07,0.082
"3",2,10001,242950001,1282,-0.416,-0.379,0,-0.466,-0.384,-0.115,0.009,-0.201,-0.138,-0.223,-0.261
"4",3,60001,197700001,978,-0.079,0.023,-0.001,0.054,0.066,-0.096,0.066,-0.178,-0.057,-0.179,-0.193
"5",4,10001,190900001,742,0.123,-0.025,-0.012,0.049,0.048,-0.137,-0.005,0.066,0.131,0.211,-0.095
"6",5,10001,180650001,849,-0.086,-0.063,0.02,0.045,0.098,0.133,0.052,0.088,0.181,0.064,-0.061
"7",6,60001,58300001,495,-0.099,-0.356,-0.003,0.051,0.05,-0.101,0.042,-0.19,-0.069,-0.202,0.085
"8",6,62178590,170850001,493,-0.021,-0.298,0.037,-0.461,0.081,-0.095,0.067,-0.169,-0.007,-0.192,0.017
"9",7,10001,158950001,952,-0.023,0.182,0.061,0.091,-0.043,-0.063,-0.161,0.112,0.205,0.252,-0.024
"10",8,10001,146250001,726,-0.088,-0.076,0.014,0.055,0.067,0.122,0.023,0.226,-0.08,0.03,-0.065
"11",9,10001,141000001,383,-0.157,-0.081,-0.016,0.016,0.058,0.129,0.023,0.078,0.121,0.051,-0.021
"12",10,60001,42596688,235,0.049,-0.3,0.114,-0.383,0.164,-0.03,0.093,-0.098,-0.011,-0.141,-0.182
"13",10,42850001,135400001,605,-0.119,-0.411,0.018,-0.486,-0.353,-0.099,0.018,-0.175,-0.109,-0.226,-0.219
"14",11,60001,134800001,914,-0.437,-0.37,-0.002,0.037,-0.371,-0.25,-0.385,-0.177,-0.165,-0.2,-0.226
"15",12,145740,133700001,848,0.111,-0.026,0.02,0.057,0.074,-0.095,0.052,-0.165,0.166,0.065,-0.044
"16",13,19020001,115050001,431,0.037,0.298,0.046,0.084,0.049,-0.06,0.084,0.275,0.028,0.115,-0.042
"17",14,19000001,106950001,528,0.03,0.141,-0.006,0.037,0.033,0.113,0.001,0.058,0.216,0.197,0.083
"18",15,20000001,102300001,571,0.071,-0.077,-0.417,0.053,0.035,0.12,0.001,0.061,-0.097,0.044,0.096
"19",16,60001,90150001,624,-0.065,-0.078,-0.356,0.053,-0.066,-0.053,-0.36,0.111,-0.1,0.072,0.04
"20",17,1,81050001,814,-0.566,-0.414,-0.077,-0.007,-0.06,-0.14,-0.08,-0.224,-0.236,-0.272,-0.21
"21",18,10001,77950001,243,-0.506,-0.104,-0.479,-0.497,-0.445,-0.178,-0.546,0.007,-0.199,-0.049,-0.092
"22",19,60001,59050001,711,-0.056,-0.005,-0.046,-0.018,0.005,0.081,-0.041,0.024,-0.13,-0.036,0.094
"23",20,60001,62850001,359,0,0.059,-0.069,-0.035,-0.01,0.094,-0.023,0.003,-0.076,-0.006,-0.045
"24",21,10697897,48050001,157,-0.131,0.047,0.002,0.044,0.045,0.128,-0.011,0.08,-0.118,0.018,-0.165
"25",22,16050001,51200001,300,-0.288,0.023,-0.441,0.01,-0.002,0.084,-0.077,0.038,-0.211,-0.029,-0.01
