"chrom","start.pos","end.pos","n.probes","GSM2404113_9379082039_R01C01","GSM2404120_9376561062_R04C02","GSM2404138_9406922158_R05C02","GSM2404420_9426021103_R04C02","GSM2404427_9426021162_R04C02","GSM2404428_9426021162_R05C02","GSM2405549_3998920095_R01C01","GSM2405550_3998920095_R03C01","GSM2405551_3998920095_R05C01","GSM2405552_3998920095_R01C02","GSM2405553_3998920095_R03C02","GSM2405554_3998920095_R05C02","GSM2405555_3998920096_R01C01","GSM2405556_3998920096_R03C01","GSM2405557_3998920096_R05C01","GSM2405566_3998998187_R01C02","GSM2405567_3998998187_R04C02","GSM2405568_3998998187_R06C02","GSM2940929_200486890026_R02C01"
"1",1,521369,249150001,1593,0.046,0.036,0.042,0.009,-0.012,-0.25,-0.089,0.077,-0.054,0.035,0.049,0.139,0.026,-0.048,0.052,0.015,-0.102,-0.069,0.006
"2",2,10001,242950001,1282,-0.059,0.002,0.018,0.047,0.04,-0.182,-0.129,0.031,-0.101,0.025,0.002,-0.141,-0.018,-0.096,0.003,-0.005,-0.113,-0.125,-0.024
"3",3,60001,197700001,978,-0.045,-0.003,0.017,0.11,0.16,-0.199,0.069,0.048,-0.157,0.028,-0.023,-0.165,-0.005,-0.095,0.004,-0.014,-0.142,-0.152,-0.059
"4",4,10001,190900001,742,-0.113,-0.037,-0.022,0.032,0.025,-0.149,-0.167,-0.029,-0.092,0.012,-0.025,-0.173,-0.033,-0.135,-0.044,-0.035,-0.15,0.231,-0.038
"5",5,10001,180650001,849,0.013,0.004,0.029,0.061,0.077,0.329,0.253,0.061,0.303,0.039,0.011,0.284,0.005,0.153,0.018,-0.001,0.251,0.233,-0.033
"6",6,60001,170850001,988,0.116,0,0.028,0.076,0.082,-0.163,-0.133,0.047,-0.108,-0.185,0.012,-0.118,0.071,0.023,0.006,-0.001,-0.122,-0.13,-0.037
"7",7,10001,158950001,952,0.06,0.034,0.076,0.109,0.146,0.349,0.126,0.088,0.283,0.077,0.036,0.145,0.042,0.252,0.037,0.033,0.263,0.23,-0.011
"8",8,10001,146250001,726,-0.056,0.023,0.036,0.057,0.078,0.363,0.127,0.04,-0.084,0.045,0.028,0.286,0.011,0.157,0.026,0.01,0.277,-0.103,0.001
"9",9,10001,141000001,383,-0.021,0.059,0.049,0.043,0.046,0.259,0.088,0.053,0.223,-0.317,0.004,0.249,0.007,0.14,0.021,0.01,0.228,0.206,0.009
"10",10,60001,135400001,840,-0.031,0.037,0.055,0.071,0.082,-0.175,-0.093,0.072,-0.071,0.072,0.053,-0.093,0.029,-0.044,0.048,0.032,-0.111,-0.09,0.016
"11",11,60001,134800001,914,-0.032,-0.34,-0.31,0.059,0.07,0.281,0.08,0.052,-0.15,0.024,-0.017,-0.139,-0.012,-0.083,0.013,-0.006,-0.124,-0.148,-0.036
"12",12,145740,133700001,848,0.112,0.023,0.036,0.055,0.087,0.307,0.264,0.065,0.293,0.044,0.025,0.13,0.017,0.162,0.027,0.01,0.259,-0.092,-0.021
"13",13,19020001,115050001,431,-0.039,0.004,0.044,0.179,0.21,0.389,0.072,0.035,0.193,0.062,-0.038,0.097,-0.035,-0.119,-0.043,0.004,-0.11,0.166,-0.066
"14",14,19000001,106950001,528,0.115,0.035,0.039,0.009,0.014,0.29,0.12,0.039,0.263,0.027,0.021,0.105,0.021,0.153,0.025,0.015,0.258,0.271,0.007
"15",15,20000001,102300001,571,0.04,0.042,0.054,-0.007,0.002,-0.226,-0.089,0.045,-0.014,0.032,0.04,-0.117,0.031,-0.052,0.042,0.027,-0.097,-0.057,0.023
"16",16,60001,90150001,624,-0.007,0.069,0.065,0.052,0.074,0.267,-0.087,-0.309,0.198,0.066,0.041,-0.079,0.022,-0.041,0.04,0.031,-0.089,-0.09,0.033
"17",17,1,81050001,814,-0.075,0.033,-0.005,-0.094,-0.008,-0.258,0.088,-0.015,-0.083,-0.003,0.008,0.092,-0.039,0.095,-0.024,-0.022,-0.07,-0.086,0.02
"18",18,10001,77950001,243,-0.025,-0.005,-0.367,-0.053,-0.093,-0.202,0.062,-0.086,-0.21,-0.015,-0.04,0.051,-0.053,-0.151,-0.066,-0.05,-0.141,0.232,0.009
"19",19,60001,59050001,711,-0.039,0.055,0.035,-0.096,-0.039,0.173,0.086,-0.032,0.173,0.019,0.008,0.096,-0.028,-0.091,-0.015,0.003,0.192,0.188,0.016
"20",20,60001,62850001,359,0.019,0.024,0.011,-0.018,-0.023,0.171,-0.159,0.017,0.17,-0.007,-0.031,-0.13,-0.059,0.081,-0.032,-0.043,0.195,0.158,-0.033
"21",21,10697897,48050001,157,0.055,0.055,-0.266,0.049,0.027,-0.157,-0.087,0.029,-0.094,0.054,0.025,0.103,0.026,-0.065,0.013,0.029,-0.1,0.221,0.055
"22",22,16050001,51200001,300,0.076,0.08,0.048,-0.088,-0.1,0.189,-0.046,0.039,-0.052,0.05,0.07,-0.078,0.039,-0.037,0.056,0.023,0.207,-0.028,0.063
