"chrom","start.pos","end.pos","n.probes","GSM2404295_9407201029_R02C01","GSM2404296_9407201029_R03C01","GSM2404297_9407201029_R04C01","GSM2404452_9420867121_R05C01","GSM2404453_9420867121_R06C01","GSM2404454_9420867121_R01C02","GSM2404555_9553932113_R01C02","GSM2405390_3999834094_R05C02","GSM2405408_3999834096_R05C02"
"1",1,521369,22900001,274,0.023,-0.053,-0.004,0.008,0.009,0.028,0.002,-0.002,-0.032
"2",1,22950001,249150001,1319,-0.078,-0.241,-0.184,-0.135,-0.138,-0.154,-0.176,-0.137,-0.121
"3",2,10001,4200001,54,0.135,0.304,0.211,0.214,0.215,0.24,0.233,0.218,0.182
"4",2,5118789,233500001,1113,-0.09,-0.208,-0.18,-0.139,-0.143,-0.158,-0.164,-0.136,-0.115
"5",2,233700001,242950001,115,0.063,0.114,0.08,0.101,0.095,0.114,0.114,0.087,0.06
"6",3,60001,197700001,978,-0.086,-0.193,-0.181,-0.135,-0.135,-0.157,-0.169,-0.141,-0.09
"7",4,10001,11350001,138,0.051,0.062,0.073,0.083,0.069,0.084,0.078,0.069,0.025
"8",4,11400001,178200001,532,-0.155,-0.299,-0.256,-0.208,-0.215,-0.242,-0.253,-0.205,-0.178
"9",4,178350001,190900001,72,0.022,0.107,0.051,0.058,0.06,0.076,0.077,0.049,0.07
"10",5,10001,28950001,136,0.042,0.132,0.034,0.081,0.084,0.09,0.083,0.077,0.088
"11",5,30850001,180650001,713,-0.099,-0.242,-0.211,-0.154,-0.154,-0.183,-0.193,-0.153,-0.132
"12",6,60001,157150001,858,-0.098,-0.208,-0.188,-0.14,-0.147,-0.171,-0.175,-0.138,-0.105
"13",6,157300001,170850001,130,0.063,0.146,0.092,0.113,0.113,0.12,0.123,0.114,0.094
"14",7,10001,158950001,952,-0.034,-0.096,-0.111,-0.062,-0.059,-0.071,-0.086,-0.057,-0.032
"15",8,10001,8050001,62,0.155,0.31,0.232,0.243,0.244,0.251,0.215,0.23,0.169
"16",8,8150001,146250001,664,-0.079,-0.188,-0.16,-0.12,-0.124,-0.134,-0.148,-0.118,-0.105
"17",9,10001,141000001,383,-0.02,-0.154,-0.099,-0.07,-0.073,-0.07,-0.093,-0.088,-0.089
"18",10,60001,4200001,52,0.168,0.336,0.238,0.246,0.247,0.262,0.262,0.249,0.217
"19",10,4400001,130050001,715,-0.061,-0.176,-0.146,-0.095,-0.1,-0.118,-0.129,-0.101,-0.082
"20",10,130100001,135400001,73,0.119,0.255,0.17,0.188,0.173,0.22,0.204,0.172,0.13
"21",11,60001,134800001,914,-0.062,-0.164,-0.15,-0.1,-0.102,-0.112,-0.134,-0.115,-0.086
"22",12,145740,121800001,716,-0.083,-0.229,-0.184,-0.142,-0.136,-0.159,-0.175,-0.14,-0.107
"23",12,121850001,133700001,132,0.055,0.054,0.067,0.072,0.068,0.079,0.075,0.071,0.037
"24",13,19020001,108900001,357,-0.088,-0.125,-0.145,-0.108,-0.104,-0.129,-0.13,-0.086,-0.05
"25",13,109150001,115050001,74,0.133,0.264,0.196,0.205,0.196,0.207,0.192,0.216,0.174
"26",14,19000001,106950001,528,-0.055,-0.215,-0.15,-0.106,-0.11,-0.13,-0.14,-0.106,-0.116
"27",15,20000001,102300001,571,-0.053,-0.191,-0.138,-0.091,-0.093,-0.101,-0.118,-0.088,-0.085
"28",16,60001,90150001,624,0.014,-0.031,-0.013,0.005,0.003,0.011,-0.012,-0.007,-0.002
"29",17,1,81050001,814,-0.049,-0.169,-0.081,-0.079,-0.089,-0.09,-0.088,-0.094,-0.109
"30",18,10001,77950001,243,-0.085,-0.189,-0.101,-0.098,-0.118,-0.125,-0.122,-0.099,-0.125
"31",19,60001,59050001,711,-0.037,-0.158,-0.064,-0.055,-0.056,-0.066,-0.077,-0.059,-0.086
"32",20,60001,62850001,359,-0.061,-0.185,-0.11,-0.094,-0.107,-0.114,-0.111,-0.1,-0.11
"33",21,10697897,48050001,157,0.009,-0.047,-0.025,0,-0.004,0.001,-0.02,-0.015,-0.017
"34",22,16050001,51200001,300,-0.003,-0.159,-0.041,-0.038,-0.053,-0.054,-0.05,-0.043,-0.098
