"chrom","start.pos","end.pos","n.probes","GSM2404445_9420867097_R02C02","GSM2404446_9420867097_R03C02","GSM2404447_9420867097_R04C02","GSM2404608_9741950021_R06C02","GSM2404609_9741950023_R01C01","GSM2404692_9647455131_R06C01","GSM2405393_3999834095_R04C01","GSM2405398_3999834095_R06C02","GSM2405638_3998568167_R04C02"
"1",1,521369,22900001,274,0.011,0.021,0.037,-0.005,0.009,0.012,-0.048,0.013,0.034
"2",1,22950001,249150001,1319,-0.136,-0.182,-0.141,-0.17,-0.151,-0.131,-0.209,-0.077,-0.122
"3",2,10001,4200001,54,0.222,0.277,0.214,0.226,0.205,0.194,0.27,0.075,0.204
"4",2,5118789,233500001,1113,-0.132,-0.174,-0.15,-0.164,-0.146,-0.13,-0.196,-0.092,-0.123
"5",2,233700001,242950001,115,0.104,0.128,0.112,0.1,0.097,0.078,0.108,0.03,0.097
"6",3,60001,197700001,978,-0.132,-0.185,-0.175,-0.165,-0.159,-0.14,-0.184,-0.098,-0.149
"7",4,10001,11350001,138,0.085,0.105,0.099,0.078,0.07,0.069,0.065,0.021,0.094
"8",4,11400001,190900001,604,-0.173,-0.225,-0.203,-0.202,-0.187,-0.165,-0.229,-0.117,-0.152
"9",5,10001,28950001,136,0.09,0.105,0.076,0.088,0.071,0.07,0.104,-0.003,0.069
"10",5,30850001,180650001,713,-0.162,-0.21,-0.181,-0.199,-0.18,-0.151,-0.221,-0.107,-0.147
"11",6,60001,157150001,858,-0.128,-0.182,-0.166,-0.171,-0.155,-0.141,-0.197,-0.099,-0.133
"12",6,157300001,170850001,130,0.12,0.145,0.115,0.115,0.115,0.093,0.123,0.025,0.104
"13",7,10001,158950001,952,-0.045,-0.074,-0.072,-0.081,-0.068,-0.06,-0.098,-0.048,-0.051
"14",8,10001,8050001,62,0.246,0.293,0.233,0.225,0.235,0.217,0.215,0.098,0.248
"15",8,8150001,146250001,664,-0.111,-0.138,-0.122,-0.144,-0.12,-0.11,-0.175,-0.083,-0.097
"16",9,10001,141000001,383,-0.081,-0.101,-0.076,-0.102,-0.093,-0.072,-0.14,-0.043,-0.07
"17",10,60001,4200001,52,0.266,0.299,0.238,0.255,0.244,0.218,0.303,0.102,0.215
"18",10,4400001,130050001,715,-0.098,-0.139,-0.112,-0.133,-0.123,-0.1,-0.16,-0.069,-0.095
"19",10,130100001,135400001,73,0.192,0.239,0.181,0.19,0.179,0.17,0.198,0.056,0.184
"20",11,60001,134800001,914,-0.1,-0.138,-0.125,-0.131,-0.127,-0.112,-0.152,-0.084,-0.115
"21",12,145740,121800001,716,-0.137,-0.189,-0.162,-0.177,-0.164,-0.137,-0.206,-0.083,-0.132
"22",12,121850001,133700001,132,0.079,0.095,0.084,0.077,0.076,0.066,0.066,0.033,0.082
"23",13,19020001,108900001,357,-0.085,-0.129,-0.135,-0.114,-0.11,-0.106,-0.108,-0.086,-0.114
"24",13,109150001,115050001,74,0.239,0.271,0.216,0.219,0.215,0.188,0.262,0.081,0.191
"25",14,19000001,97650001,418,-0.156,-0.223,-0.167,-0.207,-0.184,-0.148,-0.247,-0.095,-0.144
"26",14,97700001,106950001,110,0.066,0.097,0.101,0.062,0.067,0.075,0.019,0.032,0.081
"27",15,20000001,102300001,571,-0.092,-0.119,-0.084,-0.129,-0.101,-0.08,-0.173,-0.049,-0.072
"28",16,60001,90150001,624,0.008,0.005,0.003,-0.003,-0.012,-0.003,-0.019,-0.003,-0.002
"29",17,1,81050001,814,-0.098,-0.104,-0.068,-0.1,-0.09,-0.077,-0.14,-0.046,-0.062
"30",18,10001,77950001,243,-0.126,-0.146,-0.095,-0.129,-0.106,-0.094,-0.152,-0.055,-0.073
"31",19,60001,59050001,711,-0.066,-0.077,-0.036,-0.071,-0.068,-0.052,-0.105,-0.011,-0.041
"32",20,60001,62850001,359,-0.112,-0.133,-0.093,-0.109,-0.105,-0.09,-0.14,-0.051,-0.084
"33",21,10697897,48050001,157,-0.012,-0.023,-0.013,-0.019,-0.016,-0.014,-0.045,-0.008,0.005
"34",22,16050001,51200001,300,-0.056,-0.059,-0.007,-0.054,-0.043,-0.021,-0.124,0.011,-0.006
