"chrom","start.pos","end.pos","n.probes","GSM2403904_9305216209_R05C02","GSM2404122_9379086132_R06C01","GSM2404144_9406922161_R05C01","GSM2404274_9422491130_R02C02","GSM2404275_9422491130_R03C02","GSM2404277_9422491130_R06C02","GSM2404288_9407201027_R02C01","GSM2404289_9407201027_R03C01","GSM2404291_9407201027_R05C01","GSM2404294_9407201028_R06C02","GSM2404298_9407201029_R06C01","GSM2404380_9426020065_R03C02","GSM2404381_9426020065_R04C02","GSM2404382_9426020065_R05C02","GSM2404383_9426020065_R06C02","GSM2404384_9422493152_R02C01","GSM2404385_9422493152_R03C01","GSM2404386_9422493152_R04C01","GSM2404450_9420867087_R04C02","GSM2404463_9420867124_R04C02","GSM2404690_9647455233_R02C01","GSM2404832_9533774041_R05C01","GSM2404851_9533774097_R01C02","GSM2404996_9969477017_R02C01","GSM2405039_9969477079_R05C01","GSM2405103_9855358001_R05C01","GSM2405108_9855358001_R02C01","GSM2940862_200360420062_R04C01","GSM2941102_3998909182_R02C01","GSM2941315_3999875076_R05C01","GSM2941449_9533774021_R03C02","GSM2941676_9878827227_R02C02","GSM2941679_9878827227_R05C01","GSM2941680_9878827227_R06C01"
"1",1,521369,249150001,1593,0.035,-0.001,0.017,-0.027,-0.057,0.016,-0.095,-0.01,-0.029,0.102,-0.189,0.053,0.009,-0.009,0.069,-0.077,-0.02,0.026,-0.016,-0.012,0.024,0.005,-0.097,-0.028,-0.047,0.002,0.032,-0.013,-0.139,0.017,-0.01,0.03,0.039,0.07
"2",2,10001,242950001,1282,0.033,-0.006,0.049,0.118,0.085,0.029,0.161,-0.028,0.168,0.086,0.069,-0.066,0.121,-0.123,-0.043,0.045,0.055,-0.07,0.037,-0.023,0.016,0.125,0.074,0.143,-0.002,0.087,-0.026,0.112,0.027,0.102,0.122,0.125,0.12,0.025
"3",3,60001,197700001,978,0.034,-0.084,0.054,-0.03,-0.065,0.009,-0.084,-0.285,-0.064,0.068,0.077,-0.29,-0.141,-0.05,-0.067,-0.137,-0.208,-0.093,-0.103,-0.063,0.119,-0.047,0.073,-0.078,-0.037,-0.078,0.107,-0.094,0,0.123,0.038,-0.195,-0.209,0.029
"4",4,10001,190900001,742,-0.037,-0.051,-0.004,-0.071,-0.101,-0.014,-0.13,0.098,-0.06,-0.194,0.003,0.035,-0.104,-0.067,-0.048,0.005,-0.21,-0.113,-0.093,-0.175,-0.059,-0.055,-0.048,-0.111,-0.029,-0.091,-0.138,0.017,-0.019,0.064,0.076,-0.089,0.047,-0.082
"5",5,10001,180650001,849,0.029,-0.006,0.045,-0.031,0.105,0.155,0.17,0.131,-0.051,-0.152,0.074,0.084,-0.088,-0.062,-0.016,0.036,0.066,-0.074,0.054,-0.035,0.013,0.126,0.259,-0.063,-0.001,0.101,-0.048,0.136,0.034,0.142,0.13,0.143,0.148,0.256
"6",6,60001,170850001,988,0.037,-0.033,0.061,-0.024,-0.055,-0.179,-0.08,-0.023,-0.066,-0.159,-0.188,-0.122,-0.16,-0.079,-0.1,0.002,-0.261,-0.117,0.049,-0.078,0.02,-0.025,0.191,-0.083,0.012,-0.074,-0.05,-0.144,-0.199,0.141,0.151,-0.004,-0.017,-0.028
"7",7,10001,158950001,952,0.081,0.05,0.15,0.15,0.148,0.191,0.207,0.166,0.173,0.104,0.282,0.012,0.054,-0.034,0.101,0.023,-0.004,0.111,0.093,-0.051,0.161,0.157,0.074,0.172,0.062,0.103,0.129,0.158,0.08,0.148,0.154,0.171,0.168,0.105
"8",8,10001,146250001,726,0.031,0.02,0.071,0.12,0.117,-0.15,0.163,0.138,-0.043,0.095,0.23,0.081,0.144,0.016,-0.012,-0.358,-0.173,-0.06,0.06,-0.017,0.026,0.003,0.081,-0.055,0.074,0.113,0.136,-0.063,0.197,0.117,0.132,0.125,0.124,0.182
"9",9,10001,141000001,383,0.061,0.035,0.052,0.118,-0.037,0.025,0.178,0.14,0.164,0.11,0.237,0.147,0.31,0.082,0.032,0.087,0.156,0.188,0.041,-0.03,0.121,0.129,0.137,-0.016,-0.041,0.123,0.164,-0.005,0.064,0.05,0.073,0.156,0.039,0.048
"10",10,60001,135400001,840,0.046,0.041,0.081,0.131,-0.026,0.038,-0.049,0.012,-0.034,0.112,0.087,-0.007,0.172,-0.084,-0.004,0.077,-0.1,-0.024,-0.064,0.006,0.021,-0.195,0.044,-0.022,-0.043,-0.012,0.002,-0.045,0.089,0.098,0.118,0.019,0.025,0.08
"11",11,60001,134800001,914,0.046,-0.004,0.057,-0.024,-0.05,0.014,0.018,0.102,-0.055,0.083,-0.165,-0.04,-0.089,-0.01,-0.025,0.043,-0.12,-0.042,0.026,-0.005,0.017,-0.021,0.041,-0.047,-0.064,-0.045,0.135,-0.043,0.028,0.101,0.103,0.027,-0.171,0.054
"12",12,145740,133700001,848,0.037,0.035,0.067,0.122,0.227,0.162,0.178,0.145,0.181,0.242,0.254,0.106,0.157,0.045,0.013,0.071,0.116,0.178,0.154,0.129,0.117,0.132,0.207,0.163,0.06,0.111,0.13,0.178,0.21,0.092,0.09,0.145,0.155,0.215
"13",13,19020001,115050001,431,-0.259,-0.124,-0.213,-0.206,-0.031,0.059,0.184,-0.013,-0.078,-0.15,-0.144,-0.257,-0.307,-0.552,-0.303,-0.559,-0.204,-0.228,0.041,-0.299,-0.093,-0.247,-0.194,-0.095,-0.194,-0.115,-0.792,0.016,0.003,0.1,-0.03,-0.18,-0.012,0.01
