"chrom","start.pos","end.pos","n.probes","GSM2404142_9406922158_R03C02","GSM2404143_9406922161_R04C01","GSM2404375_9422493151_R04C01","GSM2404407_9426021086_R02C01","GSM2404408_9426021086_R03C01","GSM2404409_9426021086_R04C01","GSM2404410_9426021086_R05C01","GSM2404411_9426021103_R01C01","GSM2404412_9426021103_R02C01","GSM2404413_9426021103_R03C01","GSM2404414_9426021103_R04C01","GSM2404415_9426021103_R05C01","GSM2404416_9426021103_R06C01","GSM2404417_9426021103_R01C02","GSM2404418_9426021103_R02C02","GSM2404419_9426021103_R03C02","GSM2405585_3999078084_R05C02","GSM2405586_3999078088_R01C01","GSM2405587_3999078088_R03C01","GSM2405588_3999078088_R05C01","GSM2405589_3999078088_R01C02","GSM2940730_10003886256_R01C01","GSM2941634_9878820121_R03C01"
"1",1,521369,249150001,1593,-0.011,0,0.011,-0.002,-0.004,-0.001,0.016,-0.002,0.003,0.002,-0.001,-0.008,-0.005,-0.011,-0.014,-0.007,0.021,0.014,0.008,0.023,-0.025,0.049,0
"2",2,10001,242950001,1282,-0.006,-0.017,0.019,0.001,0.011,0.024,0.086,0.012,0.032,0.052,0.049,0.017,0.047,-0.133,0.014,0.014,0.031,-0.003,0.004,-0.007,-0.018,-0.002,0.081
"3",3,60001,197700001,978,-0.032,-0.022,0.066,-0.001,0.035,0.047,0.16,0.038,0.059,0.108,0.103,0.041,0.081,0.152,0.039,0.032,0.066,-0.024,-0.016,-0.034,0.016,-0.005,0.122
"4",4,10001,190900001,742,-0.049,-0.078,-0.035,-0.012,-0.021,0,0.053,-0.023,-0.019,-0.016,-0.016,-0.025,0.003,0.071,-0.025,-0.022,-0.018,-0.037,-0.031,-0.036,0.148,-0.072,0.035
"5",5,10001,180650001,849,-0.018,-0.026,0.026,0,0.011,0.031,0.104,0.01,0.025,0.045,0.05,0.008,0.044,0.107,0.006,0.01,0.041,-0.008,-0.009,-0.018,-0.023,0.012,0.101
"6",6,60001,170850001,988,-0.013,-0.023,0.03,-0.004,0.015,0.042,0.134,0.019,0.042,0.064,0.079,0.024,0.063,0.134,0.026,0.022,0.05,-0.002,0.006,-0.017,0.017,-0.005,0.121
"7",7,10001,158950001,952,0.04,0.026,0.084,0.045,0.055,0.071,0.177,0.056,0.084,0.127,0.135,0.056,0.112,0.163,0.057,0.051,0.084,0.06,0.035,0.007,0.084,0.038,0.219
"8",8,10001,146250001,726,0.016,-0.007,0.013,0.008,0.017,0.035,0.07,0.009,0.033,0.042,0.042,0.013,0.036,0.104,0.014,0.016,0.035,0.015,0.023,0.006,-0.024,0.012,0.104
"9",9,10001,141000001,383,0.024,0.03,0.05,0.006,0.025,0.024,0.031,0.017,0.034,0.056,0.047,0.023,0.049,0.055,0.031,0.02,0.031,0.011,0.021,0.018,0.024,0.045,0.072
"10",10,60001,135400001,840,0.029,0.027,0.037,0.025,0.038,0.047,0.094,0.028,0.056,0.066,0.073,0.028,0.073,0.088,0.031,0.021,0.053,0.023,0.022,0.013,0.003,0.043,0.122
