"chrom","start.pos","end.pos","n.probes","GSM2402976_6929718027_R03C02","GSM2402979_6929689149_R01C01","GSM2402980_6929689149_R03C01","GSM2402998_6929718001_R03C02","GSM2403064_6229017057_R01C01","GSM2403126_6285641012_R03C02","GSM2403182_6752625107_R05C02","GSM2403183_6752625106_R01C02","GSM2403184_6752625107_R01C02","GSM2403185_6752625107_R04C02","GSM2403191_6929806024_R04C02","GSM2403192_6929806024_R06C02","GSM2403193_6929806038_R01C01","GSM2403194_6929806038_R02C01","GSM2403195_6929806038_R03C01","GSM2403197_6929806038_R05C01","GSM2403200_6929806038_R06C02","GSM2403201_6929806046_R01C01","GSM2403202_6929806046_R02C01","GSM2403204_6929806046_R04C01","GSM2403206_6929806046_R03C02","GSM2403208_6929806046_R05C02","GSM2403210_6929806048_R05C01","GSM2403212_6929806048_R01C02","GSM2403213_6929806048_R02C02","GSM2403214_6929806048_R04C02","GSM2403215_6929806048_R05C02","GSM2403216_6929806048_R06C02","GSM2403228_6752625135_R06C02","GSM2403231_7310440009_R06C01","GSM2403497_8622007061_R04C01","GSM2403601_8622007106_R05C02","GSM2403791_9296930089_R02C02","GSM2403792_9296930089_R03C02","GSM2403793_9296930047_R04C02","GSM2403794_9296930047_R05C02","GSM2403795_9296930052_R01C01","GSM2403796_9296930052_R04C01","GSM2403797_9296930052_R05C01","GSM2403799_9296930052_R01C02","GSM2403800_9296930066_R01C01","GSM2403801_9296930066_R02C01","GSM2403802_9296930066_R03C01","GSM2403803_9296930066_R01C02","GSM2403804_9296930066_R02C02","GSM2403805_9296930066_R03C02","GSM2403808_9296930076_R01C02","GSM2403809_9296930076_R02C02","GSM2403810_9296930089_R01C01","GSM2403811_9296930089_R03C01","GSM2403812_9296930089_R04C01","GSM2403813_9296930089_R06C01","GSM2403853_9305651003_R06C02","GSM2403856_9305651003_R02C01","GSM2403868_9305651013_R01C01","GSM2403869_9305651027_R05C01","GSM2403940_9305651053_R01C02","GSM2403981_6026818094_R05C02","GSM2404035_9340996050_R04C02","GSM2404049_9373550018_R01C02","GSM2404051_9373550034_R05C02","GSM2404052_9373550035_R06C01","GSM2404053_9373550035_R01C02","GSM2404055_9373550018_R01C01","GSM2404093_9374342010_R01C01","GSM2404283_9422491056_R01C01","GSM2404400_9426020061_R01C02","GSM2404404_9426020061_R01C01","GSM2404431_9426021175_R06C01","GSM2405080_9969477098_R01C01","GSM2940754_10006823069_R02C02","GSM2940825_200325530023_R01C02","GSM2940907_200397540001_R04C02","GSM2940982_3998523057_R06C02","GSM2940993_3998546128_R05C01","GSM2941084_3998909073_R02C01","GSM2941182_3999078120_R05C02","GSM2941198_3999095103_R05C01","GSM2941204_3999095104_R04C02","GSM2941236_3999547142_R05C02","GSM2941280_3999834115_R01C01","GSM2941334_9340996058_R06C01","GSM2941355_9376561024_R04C01","GSM2941388_9407201028_R04C02","GSM2941530_9721366149_R05C02","GSM2941534_9721366150_R03C01","GSM2941642_9878820140_R01C02","GSM2941747_9969477055_R05C01","GSM2941766_9969477074_R04C02","GSM2941798_9969477107_R03C01"
"1",1,521369,120300001,897,-0.016,-0.022,0.004,0.008,-0.021,-0.048,-0.048,0.041,-0.004,0.151,0.011,0.019,0.031,0.018,0.018,0.016,0.02,0.058,-0.039,0.017,0.015,0.024,0.057,0.051,0.013,0.038,0.023,0.007,-0.033,0.042,-0.004,0.14,-0.09,-0.068,-0.054,-0.057,-0.04,-0.043,-0.029,-0.112,-0.281,-0.119,-0.211,-0.181,-0.113,-0.017,-0.212,-0.148,-0.312,-0.105,-0.125,-0.15,-0.098,0.001,-0.199,-0.023,-0.107,0.02,-0.129,-0.27,-0.298,-0.227,-0.154,-0.183,-0.074,-0.108,0.016,-0.024,-0.267,-0.037,0.045,-0.211,0.016,-0.059,0.046,-0.143,0.057,0.02,0.004,-0.037,-0.033,-0.119,-0.088,0.002,0.039,0.024,0.01,0.055,0.059,-0.002
"2",1,120400001,249150001,696,0.173,-0.019,0.011,0.002,0.24,0.148,-0.058,0.026,0.277,0.171,0.157,0.004,0.013,0.257,-0.004,0.003,-0.013,0.038,0.233,-0.005,-0.012,0.009,0.049,0.055,-0.042,0.02,0.006,0.341,0.055,0.024,-0.022,0.32,-0.059,-0.009,-0.033,-0.005,-0.041,-0.013,-0.022,-0.032,0.165,-0.062,0.298,-0.054,-0.047,0.041,-0.072,0.134,0.158,-0.028,-0.054,-0.074,0.285,-0.037,-0.195,-0.017,0.123,-0.006,-0.061,-0.082,-0.201,-0.176,-0.083,-0.076,0.091,-0.057,-0.062,-0.095,-0.063,0.016,0.035,-0.22,0.021,0.142,0.019,-0.169,0.037,-0.026,0.008,0.232,-0.051,0.106,0.092,0.018,0,0.002,-0.003,0.045,0.055,0.157
"3",2,10001,242950001,1282,-0.047,-0.055,-0.035,-0.038,-0.003,-0.059,-0.096,-0.017,-0.067,-0.003,-0.04,-0.046,-0.032,-0.036,-0.045,-0.043,-0.065,-0.022,-0.088,-0.053,-0.045,-0.034,0.009,0.01,-0.095,-0.032,-0.04,-0.047,-0.123,-0.023,-0.055,-0.072,-0.07,-0.036,-0.047,-0.057,-0.051,-0.021,-0.048,-0.077,-0.224,-0.084,-0.022,-0.176,-0.057,0.028,-0.154,-0.089,-0.099,-0.044,-0.07,-0.093,-0.099,-0.062,-0.163,-0.028,-0.011,-0.046,-0.07,-0.245,-0.207,-0.173,-0.091,-0.112,0.007,-0.053,-0.108,-0.113,-0.168,-0.03,-0.023,-0.18,-0.024,-0.077,-0.107,-0.062,-0.113,-0.068,0.017,0.076,-0.054,-0.189,-0.043,-0.018,-0.028,-0.016,-0.005,0.002,0.014,-0.049
"4",3,60001,197700001,978,-0.028,-0.036,-0.012,-0.029,0.028,-0.12,-0.096,-0.313,-0.036,-0.194,-0.051,-0.042,-0.027,-0.152,-0.051,-0.038,-0.066,-0.208,-0.1,-0.057,-0.046,-0.033,-0.11,-0.392,-0.106,-0.024,-0.037,-0.036,-0.444,-0.171,-0.056,-0.055,-0.047,-0.367,-0.042,-0.042,-0.051,-0.277,-0.042,-0.029,-0.014,-0.063,-0.148,-0.251,-0.35,-0.443,-0.138,-0.082,-0.076,-0.407,-0.044,-0.445,-0.119,-0.09,-0.627,-0.028,-0.005,-0.05,-0.051,-0.129,-0.168,-0.164,-0.051,-0.555,-0.111,-0.293,-0.128,-0.158,-0.584,-0.061,-0.404,-0.236,-0.012,-0.142,-0.019,-0.079,-0.158,-0.083,-0.016,-0.04,-0.072,-0.256,-0.288,-0.011,-0.182,-0.032,-0.015,0.007,-0.29,-0.063
"5",4,10001,190900001,742,-0.078,-0.095,-0.072,-0.071,-0.01,-0.092,0.006,-0.051,-0.09,0.008,-0.099,-0.097,-0.075,-0.075,-0.105,-0.092,-0.124,-0.063,-0.208,-0.108,-0.093,-0.087,-0.034,-0.022,-0.176,-0.076,-0.094,-0.098,-0.038,-0.061,-0.063,-0.143,-0.106,-0.207,-0.083,-0.083,-0.098,-0.051,-0.082,-0.106,-0.238,-0.111,0.006,-0.193,-0.081,-0.216,-0.016,-0.117,-0.112,-0.086,-0.1,-0.126,-0.136,-0.118,-0.226,-0.055,-0.04,-0.1,-0.093,-0.094,-0.236,-0.217,-0.109,-0.133,-0.146,-0.114,-0.176,-0.143,-0.173,-0.077,-0.111,-0.211,-0.072,-0.129,-0.138,-0.09,-0.023,-0.137,-0.077,-0.114,-0.087,-0.25,-0.354,-0.061,-0.067,-0.069,-0.026,-0.045,-0.029,-0.095
"6",5,10001,180650001,849,-0.033,-0.026,-0.012,-0.027,0.03,-0.274,0.101,-0.006,-0.037,0.016,-0.045,-0.042,-0.022,-0.023,-0.046,-0.034,-0.058,-0.008,0.053,-0.05,-0.04,-0.03,-0.104,-0.117,-0.094,-0.319,-0.034,-0.04,0.008,-0.165,-0.056,-0.053,-0.081,-0.03,-0.041,-0.053,-0.071,-0.021,-0.044,-0.063,0.152,-0.088,0.009,-0.082,-0.053,-0.182,0.029,-0.09,-0.09,-0.037,-0.14,-0.096,-0.119,-0.075,-0.205,-0.026,-0.001,-0.044,-0.074,-0.11,-0.218,-0.186,-0.099,-0.103,-0.045,-0.09,-0.111,-0.125,-0.169,-0.013,-0.051,-0.226,-0.007,-0.054,-0.007,-0.051,-0.082,-0.071,-0.017,-0.048,-0.059,-0.217,0.031,0,-0.15,-0.02,-0.004,0.013,-0.02,-0.048
"7",6,60001,170850001,988,0.005,-0.059,-0.033,-0.044,-0.006,-0.068,-0.1,-0.021,-0.049,-0.117,-0.058,-0.058,-0.032,-0.034,-0.071,-0.046,-0.086,-0.018,-0.054,-0.066,-0.055,-0.044,-0.117,0.011,-0.124,-0.04,-0.054,-0.054,0.021,-0.031,-0.062,-0.089,-0.058,-0.01,-0.036,-0.037,-0.081,-0.006,-0.047,-0.046,-0.042,-0.074,0.017,-0.24,-0.04,-0.162,-0.108,-0.065,-0.133,-0.015,-0.057,-0.067,-0.107,-0.101,-0.157,-0.02,-0.01,-0.055,-0.052,-0.038,-0.182,-0.171,-0.056,-0.074,-0.106,-0.076,-0.153,-0.149,-0.148,-0.04,-0.012,-0.186,-0.023,0.082,-0.106,0.011,-0.118,-0.087,-0.024,-0.302,-0.059,-0.22,-0.054,-0.01,-0.064,-0.038,-0.008,-0.007,-0.018,-0.059
"8",7,10001,158950001,952,-0.011,-0.015,0.012,0.001,-0.01,-0.029,0.118,0.043,-0.008,0.168,-0.022,-0.018,0.004,-0.004,-0.02,-0.009,-0.047,0.021,-0.04,-0.024,-0.017,-0.001,0.043,0.048,-0.087,-0.003,-0.01,-0.018,0.06,0.007,0.002,-0.046,-0.028,0.028,0.003,0.168,0.142,0.007,0.179,-0.013,0.084,-0.035,0.087,0.14,0.001,-0.11,0.085,-0.017,-0.009,0.01,-0.004,-0.029,-0.059,-0.021,-0.091,0.011,0.033,-0.031,-0.013,-0.13,-0.136,-0.098,-0.065,-0.052,-0.049,-0.033,-0.124,-0.14,-0.074,-0.003,0.021,-0.121,0.019,-0.015,0.022,-0.014,0.035,-0.04,0.008,-0.037,-0.022,-0.143,0.114,0.03,0.01,0.006,-0.012,0.03,0.039,-0.018
"9",8,10001,146250001,726,-0.051,0.131,-0.039,-0.037,-0.013,-0.06,0.094,-0.015,0.121,0.124,-0.048,-0.051,-0.024,0.107,-0.048,-0.041,-0.072,-0.011,0.054,-0.056,-0.046,-0.032,-0.115,0.006,-0.104,-0.031,-0.044,-0.055,-0.008,-0.171,-0.024,0.132,-0.086,-0.041,-0.05,-0.061,-0.086,-0.006,-0.038,-0.081,0.034,-0.092,-0.161,-0.21,-0.095,0.016,-0.115,-0.078,-0.086,-0.057,-0.391,-0.107,-0.104,-0.056,-0.174,-0.033,-0.004,-0.048,-0.075,-0.037,-0.213,-0.173,-0.111,-0.132,-0.027,-0.043,-0.122,-0.121,0.306,-0.029,-0.01,-0.164,-0.017,0.064,-0.001,-0.055,-0.086,-0.065,-0.029,0.074,-0.052,-0.056,0.107,-0.014,-0.127,-0.014,-0.005,0.006,-0.018,-0.047
"10",9,10001,141000001,383,-0.388,-0.013,-0.065,0.005,-0.002,-0.023,-0.065,-0.248,-0.279,-0.232,-0.075,0.014,-0.372,-0.209,-0.004,0.001,0.003,-0.221,-0.076,-0.004,0.003,0.008,-0.058,-0.338,-0.005,0.021,-0.193,-0.383,-0.338,0.025,0.001,0.007,-0.049,-0.38,-0.037,-0.048,-0.062,-0.025,0.042,-0.047,-0.236,-0.076,-0.342,-0.342,-0.357,0.058,-0.393,-0.587,-0.181,-0.445,-0.387,0.04,-0.062,-0.003,-0.532,-0.065,-0.319,0.008,-0.064,-0.254,-0.207,-0.142,-0.095,-0.607,-0.168,-0.342,-0.029,-0.028,-0.16,0.041,-0.309,-0.182,0.022,-0.17,-0.302,-0.029,-0.087,0.007,-0.002,0.099,-0.02,0.137,-0.227,-0.05,0.003,-0.059,-0.009,-0.282,-0.291,-0.285
