"chrom","start.pos","end.pos","n.probes","GSM2403000_6929718020_R05C02","GSM2403047_6229009095_R06C02","GSM2403061_6229017023_R04C02","GSM2403067_6229017022_R04C02","GSM2403499_8622007061_R02C02","GSM2403501_8622007061_R05C02","GSM2403515_8622007070_R03C02","GSM2403518_8622007066_R04C01","GSM2403525_8622007067_R02C01","GSM2403526_8622007069_R03C01","GSM2403527_8622007069_R02C01","GSM2403621_8622007130_R02C01","GSM2403720_9007225017_R04C01","GSM2403764_9283265033_R01C02","GSM2403765_9283265033_R06C02","GSM2403894_9297949146_R04C02","GSM2403895_9297949146_R05C02","GSM2404060_9373551039_R02C01","GSM2404129_9379086124_R05C02","GSM2404130_9379086129_R01C01","GSM2404265_9379086095_R06C02","GSM2404585_9611519028_R04C01","GSM2404695_6969568075_R02C02","GSM2404696_8784241104_R01C02","GSM2404717_9721366138_R06C01","GSM2404810_9533774067_R01C01","GSM2405042_9969477079_R05C02","GSM2405409_9407210157_R03C01","GSM2405412_9741950038_R06C02","GSM2405413_9741950039_R02C02","GSM2405415_9741950056_R02C01","GSM2405416_9741950056_R02C02","GSM2405418_9741950086_R05C02","GSM2405423_9741950173_R06C02","GSM2405523_3998909025_R02C01","GSM2405524_3998909025_R05C01","GSM2405525_3998909025_R01C02","GSM2405535_9993943073_R04C01","GSM2405590_3999078079_R02C01","GSM2940796_10006823160_R01C02","GSM2940798_10006823160_R02C02","GSM2941370_9379086132_R05C01","GSM2941544_9741950008_R01C01"
"1",1,521369,121086696,900,0.029,0.039,-0.023,0.041,0.076,0.036,-0.004,0.004,0.007,0.002,-0.017,0.004,-0.05,0.024,-0.083,0.034,-0.076,0.017,-0.102,0.038,0.046,-0.024,0.049,0.056,0.055,0.026,0.036,-0.032,0.048,0.05,-0.005,0.036,-0.209,0.021,0.043,-0.06,-0.02,0.045,-0.079,0.018,0.013,-0.025,-0.075
"2",1,121300001,249150001,693,0.266,0.332,0.304,0.313,0.3,0.349,0.001,0.393,0.287,0.306,0.408,0.395,0.333,0.513,0.303,0.492,0.289,0.215,0.337,0.25,0.463,0.332,0.455,0.352,0.352,0.256,0.343,0.203,0.212,0.372,0.135,0.352,0.438,0.335,0.361,0.392,0.404,0.325,0.361,0.36,0.36,0.211,0.337
"3",2,10001,242950001,1282,-0.011,-0.015,0.058,0.005,0.009,-0.023,-0.02,0.007,0.034,0.057,-0.009,0.091,0.048,-0.017,0.03,0.075,-0.016,-0.007,0.164,-0.011,-0.038,0.002,0.014,-0.014,-0.001,0.016,-0.009,-0.03,0.006,-0.013,0.016,0.013,0.046,0.051,0.11,0.208,0.043,0.037,0.045,-0.021,-0.032,0.049,0.069
"4",3,60001,85050001,444,0.025,0.023,-0.098,-0.404,0.071,0.011,-0.097,0.027,0.058,0.115,0.006,0.127,-0.255,-0.144,-0.405,-0.295,-0.307,-0.007,-0.433,-0.394,0.009,-0.07,0.059,-0.371,0.06,0.027,-0.002,-0.028,0.013,0.012,-0.251,0.029,0.033,-0.384,-0.026,-0.204,0.082,-0.115,-0.096,-0.058,-0.152,-0.08,0.046
"5",3,87000001,197700001,534,0.024,0.092,0.221,0.111,0.03,-0.023,0.074,0.027,0.066,0.138,0.068,0.225,0.108,0.02,0.311,-0.061,-0.097,-0.007,0.215,0.015,-0.047,0.027,0.063,0.237,0.019,0.023,-0.022,-0.023,-0.012,0.013,0.083,0.012,0.053,0.074,0.388,0.286,0.111,-0.131,-0.092,0.01,0.076,-0.029,0.046
"6",4,10001,190900001,742,-0.078,-0.149,-0.123,-0.044,-0.054,-0.083,-0.073,-0.051,-0.028,0.008,-0.05,-0.098,0.01,-0.076,-0.03,-0.125,-0.237,-0.057,-0.019,-0.076,-0.113,-0.048,-0.042,-0.087,-0.08,-0.056,-0.066,-0.069,-0.067,-0.085,-0.061,-0.046,0.014,-0.096,0.024,-0.045,-0.021,-0.038,-0.177,-0.078,-0.107,-0.032,-0.066
"7",5,10001,180650001,849,0.022,0.008,-0.243,0.019,-0.145,-0.008,-0.01,0.019,0.05,0.077,0.002,0.12,0.062,0.017,-0.012,-0.053,-0.013,0.006,0.059,-0.013,-0.026,-0.004,0.045,0.012,0.029,0.014,-0.006,-0.025,0.015,-0.015,-0.007,0.011,0.044,0.082,0.134,0.144,0.085,-0.143,-0.108,-0.013,-0.02,-0.052,0.055
"8",6,60001,70550001,506,0.007,-0.022,0.27,0.005,0.023,-0.008,-0.019,0.007,0.023,0.063,-0.013,0.111,0.009,-0.002,0.046,-0.053,-0.024,0.033,0.034,0.008,-0.018,-0.003,0.046,0.006,0.004,0,0.051,-0.034,0.017,-0.016,0.02,0.006,0.028,0.064,0.122,0.118,0.258,0.023,-0.113,-0.021,-0.029,-0.082,-0.104
"9",6,70950001,170850001,482,-0.026,-0.064,-0.637,-0.496,-0.217,-0.063,-0.025,0.017,0.051,0.108,-0.003,0.172,-0.432,-0.026,0.018,-0.113,-0.098,-0.203,0.019,-0.286,-0.092,0.005,0.014,-0.056,-0.029,-0.015,-0.053,-0.098,-0.03,-0.064,-0.015,-0.013,0.068,-0.208,-0.277,0.057,-0.006,-0.004,-0.136,-0.034,-0.05,-0.081,-0.135
"10",7,10001,158950001,952,0.068,0.02,0.208,0.04,0.058,0.007,0.039,0.07,0.081,0.12,0.045,0.168,0.119,0.042,0.094,0.1,0.105,0.047,0.037,0.054,-0.017,0.035,0.072,0.035,0.043,0.045,0.034,-0.033,0.024,0.012,0.089,0.032,0.11,0.094,0.187,0.161,0.302,0.057,0.088,0.024,0.026,0.015,0.071
"11",8,10001,146250001,726,0.187,0.04,0.22,0.011,0.135,-0.025,-0.018,0,0.013,0.182,0.158,-0.027,0.06,0.222,0.054,0.002,0.103,0.01,0.052,0.222,-0.04,0.034,0.032,0.146,0.21,0.014,0.001,0.159,0.006,-0.008,0.05,0.002,0.06,0.125,0.096,0.205,0.199,0.036,0.259,0.059,0.171,0.064,0.049
"12",9,10001,141000001,383,0.046,0.044,0.105,0.043,-0.075,0.046,0.024,0.034,0.05,0.043,0.024,0.124,0.05,0.042,0.083,0.036,0.065,0.016,0.069,0.051,0.03,0.009,0.049,0.082,0.066,0.05,0.037,0.048,0.035,0.04,0.055,0.04,0.011,-0.072,0.044,0.058,-0.034,0.178,0.078,-0.03,-0.107,0.027,0.042
