"chrom","start.pos","end.pos","n.probes","GSM2402997_6929718001_R01C02","GSM2403462_8622007027_R02C01","GSM2403606_8622007149_R02C02","GSM2403686_7497398017_R06C02","GSM2403687_7497398022_R05C02","GSM2403701_9007225035_R04C02","GSM2403721_9007225026_R04C01","GSM2404694_6969568075_R05C01","GSM2404777_9829119256_R01C02","GSM2405061_9969477089_R06C02","GSM2405090_9969477122_R01C02","GSM2405106_9855358003_R02C02","GSM2405538_9741950039_R04C01"
"1",1,521369,118100001,886,-0.294,-0.005,-0.146,0.003,-0.002,0.014,-0.108,-0.321,0.027,-0.122,0.001,-0.137,-0.034
"2",1,118150001,249150001,707,0.039,-0.03,-0.08,0.01,0.001,-0.003,-0.102,-0.028,-0.007,-0.031,0.012,0.106,-0.029
"3",2,10001,242950001,1282,-0.012,-0.079,-0.151,-0.031,-0.04,-0.051,-0.116,-0.01,-0.061,0.02,0.003,-0.126,-0.043
"4",3,60001,197700001,978,0,-0.07,-0.173,-0.005,-0.008,-0.044,-0.109,0.011,-0.056,-0.009,-0.005,-0.127,-0.041
"5",4,10001,190900001,742,-0.041,-0.121,-0.058,-0.071,-0.08,-0.102,-0.18,-0.049,-0.141,-0.076,0.046,0.071,-0.08
"6",5,10001,180650001,849,0.006,-0.062,-0.146,-0.012,-0.011,-0.04,-0.112,0.006,-0.056,-0.024,0.007,-0.065,-0.041
"7",6,60001,170850001,988,-0.02,0.125,0.065,-0.032,-0.056,-0.061,-0.096,-0.017,-0.073,-0.009,0.033,-0.099,-0.038
"8",7,10001,158950001,952,0.019,-0.051,-0.137,0.003,-0.025,-0.026,-0.091,-0.197,-0.41,-0.017,-0.322,-0.086,-0.009
"9",8,10001,146250001,726,-0.011,-0.088,0.271,-0.041,0.171,-0.051,-0.142,-0.003,0.146,-0.076,0,0.186,-0.034
"10",9,10001,141000001,383,0.031,0.001,0.134,0.018,0.02,0.006,-0.057,0.041,0.021,-0.062,-0.226,-0.073,-0.019
"11",10,60001,135400001,840,0.024,-0.028,-0.084,0.003,-0.003,-0.012,-0.094,0.033,-0.027,-0.041,0.033,-0.082,-0.009
"12",11,60001,134800001,914,0.024,-0.036,-0.068,0.013,0.015,-0.01,-0.093,0.034,-0.012,-0.05,0.186,-0.106,-0.026
"13",12,145740,133700001,848,0.02,-0.05,-0.1,-0.003,-0.019,-0.027,-0.088,0.038,-0.028,-0.041,-0.008,-0.097,-0.041
"14",13,19020001,115050001,431,-0.049,-0.137,-0.266,-0.037,-0.06,-0.084,-0.084,-0.063,-0.116,0.028,0.008,-0.132,-0.015
"15",14,19000001,106950001,528,0.03,-0.028,-0.063,-0.013,-0.016,-0.01,-0.139,0.061,-0.007,-0.091,0.05,-0.104,-0.048
"16",15,20000001,102300001,571,0.035,-0.019,-0.046,-0.003,-0.01,-0.003,-0.108,0.073,0.002,-0.087,0.037,-0.097,-0.029
"17",16,60001,90150001,624,0.038,0.018,0.013,0.011,0.005,0.017,0.005,0.05,0.023,-0.045,-0.019,0.027,0.015
"18",17,1,81050001,814,-0.013,-0.042,-0.029,-0.064,-0.073,-0.037,-0.077,0,-0.02,-0.186,-0.096,-0.1,-0.072
"19",18,10001,77950001,243,-0.063,-0.121,-0.408,-0.116,-0.094,-0.105,-0.22,-0.07,-0.104,-0.206,-0.041,-0.096,-0.098
"20",19,60001,59050001,711,-0.187,-0.021,-0.01,-0.033,-0.069,-0.017,-0.049,-0.094,-0.005,-0.162,0.021,0.008,-0.07
"21",20,60001,62850001,359,-0.014,-0.058,-0.053,-0.033,-0.032,-0.025,-0.115,0.098,-0.004,-0.15,-0.018,0.119,-0.059
"22",21,10697897,48050001,157,0.019,-0.018,-0.062,-0.009,0.002,-0.025,-0.039,0.016,-0.017,-0.071,0.043,-0.06,-0.331
"23",22,16050001,51200001,300,0.061,0.032,-0.04,-0.009,-0.022,0.032,-0.055,0.088,0.068,-0.182,0.021,-0.043,-0.023
