"chrom","start.pos","end.pos","n.probes","GSM2403731_9221197132_R04C02","GSM2403745_9007225142_R05C02","GSM2404058_9373551023_R03C01","GSM2404365_9407210090_R06C01","GSM2404451_9420867121_R02C01","GSM2404532_9553932010_R02C01","GSM2404561_9553932123_R02C01","GSM2404611_9741950023_R03C01","GSM2404691_9647455131_R04C01","GSM2405394_3999834095_R06C01","GSM2405395_3999834095_R01C02","GSM2405404_3999834096_R01C02"
"1",1,521369,22900001,274,0.06,0.019,-0.043,0.035,-0.002,0.001,0.008,-0.031,0.037,-0.112,-0.05,-0.079
"2",1,22950001,249150001,1319,0.008,-0.096,-0.33,-0.034,-0.155,-0.181,-0.138,-0.208,-0.059,-0.313,-0.143,-0.191
"3",2,10001,4200001,54,0.049,0.19,0.313,0.097,0.244,0.263,0.207,0.258,0.071,0.25,0.138,0.14
"4",2,5118789,233500001,1113,-0.044,-0.093,-0.29,-0.062,-0.142,-0.177,-0.134,-0.184,-0.085,-0.275,-0.129,-0.171
"5",2,233700001,242950001,115,0.057,0.098,0.143,0.056,0.125,0.134,0.11,0.111,0.033,0.092,0.036,0.037
"6",3,60001,197700001,978,-0.008,-0.093,-0.301,-0.054,-0.145,-0.168,-0.132,-0.18,-0.096,-0.259,-0.109,-0.143
"7",4,10001,12250001,141,0.052,0.063,0.079,0.042,0.083,0.079,0.069,0.068,0.031,0.032,-0.005,-0.022
"8",4,13300001,178200001,529,-0.11,-0.158,-0.428,-0.13,-0.212,-0.256,-0.2,-0.25,-0.146,-0.388,-0.192,-0.244
"9",4,178350001,190900001,72,-0.035,0.045,0.063,-0.016,0.09,0.099,0.082,0.089,-0.026,0.059,0.051,0.055
"10",5,10001,28950001,136,0.009,0.101,0.093,0.028,0.114,0.104,0.095,0.125,-0.006,0.043,0.07,0.062
"11",5,30850001,180650001,713,-0.028,-0.11,-0.351,-0.058,-0.167,-0.203,-0.16,-0.218,-0.092,-0.323,-0.152,-0.198
"12",6,60001,157150001,858,-0.044,-0.091,-0.311,-0.071,-0.152,-0.185,-0.147,-0.181,-0.093,-0.268,-0.114,-0.145
"13",6,157300001,170850001,130,0.033,0.109,0.127,0.059,0.138,0.134,0.114,0.139,0.037,0.12,0.052,0.06
"14",7,10001,158950001,952,0.016,-0.016,-0.18,-0.006,-0.059,-0.088,-0.069,-0.088,-0.03,-0.179,-0.057,-0.077
"15",8,10001,8050001,62,0.061,0.185,0.354,0.102,0.272,0.249,0.197,0.286,0.116,0.257,0.183,0.209
"16",8,8150001,146250001,664,-0.039,-0.074,-0.257,-0.049,-0.117,-0.151,-0.113,-0.153,-0.065,-0.27,-0.116,-0.156
"17",9,10001,141000001,383,0.088,-0.049,-0.226,0.006,-0.094,-0.11,-0.061,-0.145,-0.03,-0.235,-0.106,-0.171
"18",10,60001,4200001,52,0.068,0.225,0.333,0.133,0.284,0.285,0.262,0.299,0.099,0.293,0.165,0.172
"19",10,4400001,130050001,715,0.001,-0.067,-0.255,-0.024,-0.105,-0.131,-0.105,-0.154,-0.056,-0.232,-0.104,-0.144
"20",10,130100001,135400001,73,0.063,0.165,0.29,0.099,0.216,0.233,0.183,0.235,0.082,0.224,0.091,0.12
"21",11,60001,134800001,914,0.013,-0.07,-0.239,-0.032,-0.117,-0.138,-0.111,-0.151,-0.073,-0.222,-0.096,-0.132
"22",12,145740,124150001,747,-0.012,-0.1,-0.319,-0.05,-0.154,-0.179,-0.144,-0.202,-0.078,-0.291,-0.126,-0.17
"23",12,124200001,133700001,101,0.054,0.095,0.138,0.062,0.13,0.132,0.106,0.118,0.049,0.114,0.02,0.032
"24",13,19020001,108900001,357,-0.061,-0.063,-0.245,-0.062,-0.09,-0.134,-0.106,-0.11,-0.093,-0.17,-0.052,-0.074
"25",13,109150001,115050001,74,0.095,0.184,0.284,0.11,0.234,0.222,0.184,0.247,0.112,0.256,0.139,0.139
"26",14,19000001,97650001,418,-0.005,-0.115,-0.366,-0.044,-0.182,-0.22,-0.181,-0.253,-0.064,-0.363,-0.181,-0.225
"27",14,97700001,106950001,110,0.054,0.061,0.064,0.04,0.077,0.077,0.066,0.046,0.056,-0.018,-0.027,-0.061
"28",15,20000001,102300001,571,0.014,-0.057,-0.261,-0.016,-0.108,-0.127,-0.087,-0.152,-0.028,-0.253,-0.121,-0.149
"29",16,60001,90150001,624,0.061,0.007,-0.056,0.021,-0.003,-0.006,0.003,-0.02,0.001,-0.061,-0.017,-0.043
"30",17,1,81050001,814,-0.016,-0.084,-0.169,-0.053,-0.107,-0.098,-0.069,-0.131,-0.048,-0.192,-0.132,-0.185
"31",18,10001,77950001,243,-0.079,-0.103,-0.241,-0.092,-0.099,-0.124,-0.095,-0.129,-0.064,-0.198,-0.138,-0.202
"32",19,60001,59050001,711,0.04,-0.064,-0.184,-0.027,-0.097,-0.085,-0.082,-0.118,-0.011,-0.165,-0.114,-0.161
"33",20,60001,62850001,359,0.008,-0.088,-0.233,-0.042,-0.106,-0.122,-0.098,-0.139,-0.05,-0.177,-0.121,-0.18
"34",21,10697897,48050001,157,0.02,-0.003,-0.076,-0.004,-0.01,-0.013,-0.003,-0.038,-0.015,-0.081,-0.041,-0.062
"35",22,16050001,51200001,300,0.059,-0.034,-0.154,0.005,-0.065,-0.068,-0.058,-0.099,0.027,-0.18,-0.122,-0.17
