"chrom","start.pos","end.pos","n.probes","GSM2402999_6929718020_R03C02","GSM2403001_6929718057_R03C02","GSM2403002_6929718057_R04C02","GSM2403028_6929718049_R01C01","GSM2403048_6229009095_R02C02","GSM2403062_6229017057_R05C02","GSM2403065_6229017023_R02C01","GSM2403066_6229017057_R04C01","GSM2403071_6247004023_R01C01","GSM2403074_6247004023_R02C01","GSM2403075_6247004023_R03C01","GSM2403324_7990895159_R06C02","GSM2403424_8622007027_R03C01","GSM2403467_8622007028_R03C01","GSM2403498_8622007061_R06C01","GSM2403517_8622007066_R02C01","GSM2403520_8622007065_R06C01","GSM2403521_8622007066_R06C02","GSM2403522_8622007065_R01C01","GSM2403528_8622007068_R01C02","GSM2403620_8622007130_R03C01","GSM2403661_9003865058_R01C02","GSM2403662_9003865058_R04C02","GSM2403663_9003865058_R04C01","GSM2403664_9003865058_R03C01","GSM2403665_9003865058_R06C01","GSM2403666_9003865058_R03C02","GSM2403667_9003865058_R05C02","GSM2403695_9007217108_R05C02","GSM2403699_9007217016_R02C02","GSM2403718_9007225017_R03C01","GSM2403941_9305651053_R02C02","GSM2403942_9305651053_R05C02","GSM2404069_9373551108_R02C02","GSM2404070_9373551108_R03C02","GSM2404071_9373551108_R04C02","GSM2404112_9379082039_R02C02","GSM2404115_9379086117_R03C02","GSM2404739_9741950101_R06C02","GSM2404740_9741950107_R01C01","GSM2405071_9969477101_R03C01","GSM2405202_9878820138_R02C01","GSM2405640_3998568066_R04C02","GSM2941096_3998909181_R01C02","GSM2941188_3999078123_R03C01","GSM2941446_9533774018_R02C02","GSM2941503_9553932054_R05C02","GSM2941631_9878820021_R03C01","GSM2941646_9878820140_R05C01"
"1",1,521369,120300001,897,-0.075,-0.005,-0.004,-0.082,-0.015,-0.006,-0.01,-0.063,-0.005,-0.012,0.001,-0.061,-0.02,0.078,-0.017,-0.046,-0.228,-0.174,-0.233,-0.079,-0.183,-0.032,-0.04,-0.375,-0.011,-0.054,-0.068,-0.009,-0.049,-0.114,-0.226,-0.116,-0.088,-0.066,-0.048,-0.05,-0.086,-0.051,-0.205,0.003,-0.02,-0.011,-0.071,0.006,-0.007,-0.204,-0.054,-0.047,-0.009
"2",1,120400001,249150001,696,-0.087,-0.013,-0.007,0.004,-0.009,0.001,0.039,-0.03,-0.018,0.03,-0.023,-0.004,-0.033,0.078,-0.023,0.009,-0.04,0.004,-0.227,-0.083,-0.028,0.135,0.005,-0.042,0.095,0.252,-0.128,0.038,0.029,-0.051,0.137,-0.061,-0.009,0.138,-0.051,0.18,-0.065,-0.098,-0.216,0.076,-0.012,0.252,-0.047,-0.029,0.053,-0.006,0.004,-0.079,0.025
"3",2,10001,242950001,1282,0.025,0.156,0.153,0.099,0.181,0.18,0.167,0.083,-0.07,0.112,0.135,-0.029,0.139,0.053,0.159,-0.018,0.208,-0.013,0.005,0.024,0.254,0.048,0.209,-0.056,0.006,0.242,0.033,0.19,-0.008,0.094,0.195,0.123,0.07,0.14,0.146,-0.038,0.169,0.006,-0.024,0.176,0.075,0.154,0.168,0.128,-0.076,0.055,-0.013,0.107,0.123
"4",3,60001,197700001,978,0.042,-0.038,-0.031,-0.003,-0.02,-0.012,-0.025,0.021,-0.042,-0.065,-0.077,-0.022,-0.065,0.062,-0.054,0.014,-0.026,-0.015,-0.02,0.041,-0.049,0.068,-0.023,-0.025,0.028,0.203,-0.173,0.038,-0.043,-0.012,0.033,-0.072,-0.016,-0.002,-0.077,-0.055,-0.07,-0.026,-0.044,0.01,-0.073,-0.068,-0.106,-0.063,-0.084,0.07,0.001,-0.122,-0.033
"5",4,10001,190900001,742,-0.047,-0.095,-0.093,-0.138,-0.08,-0.081,-0.095,-0.005,-0.088,-0.145,-0.124,-0.066,-0.104,-0.178,0.069,-0.041,-0.057,-0.057,-0.055,0.001,-0.113,-0.061,-0.053,-0.08,-0.03,-0.062,-0.187,0.04,-0.113,-0.068,-0.119,0.084,-0.075,-0.111,-0.096,-0.064,-0.119,-0.198,-0.162,-0.059,-0.078,-0.133,-0.142,-0.133,-0.144,-0.126,-0.049,-0.15,-0.124
"6",5,10001,180650001,849,0.03,-0.05,-0.039,-0.02,-0.031,-0.032,-0.034,-0.042,-0.052,-0.088,-0.077,-0.025,-0.063,-0.054,-0.063,-0.019,-0.049,-0.024,-0.052,0.027,-0.075,-0.005,-0.019,-0.063,0.013,-0.029,-0.15,0.034,-0.043,-0.016,-0.002,-0.08,-0.025,-0.122,-0.075,-0.05,-0.076,-0.024,-0.139,-0.013,-0.06,-0.081,-0.102,-0.061,-0.07,-0.106,-0.019,-0.1,-0.072
"7",6,60001,68550001,502,-0.136,-0.06,-0.056,-0.107,-0.066,-0.07,-0.061,-0.095,0.109,-0.1,0.134,-0.033,-0.083,0.028,-0.071,-0.029,-0.102,-0.032,-0.07,-0.079,-0.111,0.04,-0.049,-0.072,-0.019,-0.074,-0.174,-0.013,-0.053,-0.194,0.068,-0.089,-0.098,-0.09,-0.086,-0.051,-0.091,-0.125,-0.076,-0.033,-0.081,-0.085,-0.122,-0.068,-0.064,-0.008,-0.032,-0.111,-0.066
"8",6,68600001,170850001,486,-0.173,-0.095,-0.084,-0.203,-0.073,-0.559,-0.106,-0.14,-0.475,-0.158,-0.599,-0.031,-0.104,-0.429,-0.133,0.001,-0.082,-0.285,-0.056,-0.189,-0.107,-0.368,-0.075,-0.059,-0.466,-0.019,-0.22,0.031,-0.588,-0.248,-0.061,-0.093,-0.135,-0.155,-0.085,-0.265,-0.073,-0.194,-0.043,-0.042,-0.082,-0.13,-0.128,-0.114,-0.139,-0.222,-0.462,-0.129,-0.154
"9",7,10001,158950001,952,-0.106,-0.034,-0.025,-0.035,-0.024,-0.019,-0.024,0.057,0.171,-0.081,-0.072,0.001,-0.042,-0.214,-0.032,0.005,-0.024,0.014,0.019,-0.171,-0.001,0.097,-0.015,-0.014,-0.09,-0.02,0.012,0.039,-0.039,0.01,-0.117,0.163,0.018,-0.059,-0.038,-0.011,-0.036,-0.001,-0.015,0.001,-0.003,-0.057,-0.04,-0.032,-0.032,-0.063,-0.002,0.12,-0.042
"10",8,10001,146250001,726,0.014,-0.073,-0.066,-0.04,-0.065,-0.081,-0.075,0.045,-0.078,-0.137,-0.09,-0.056,-0.067,-0.155,-0.1,-0.057,-0.096,-0.043,-0.048,0.024,-0.167,-0.063,-0.054,-0.071,-0.019,-0.067,-0.137,-0.009,-0.068,-0.032,-0.012,-0.089,-0.032,-0.085,-0.067,-0.036,-0.092,0.068,-0.051,-0.043,-0.057,-0.101,-0.132,-0.02,0.016,-0.081,-0.039,0.113,-0.075
"11",9,10001,141000001,383,-0.081,-0.01,-0.006,-0.02,-0.012,0.006,-0.018,-0.055,-0.013,-0.023,-0.023,-0.161,-0.018,-0.068,-0.007,-0.009,-0.126,-0.065,-0.039,-0.087,-0.177,-0.147,0,-0.081,-0.025,-0.053,-0.073,-0.029,0.007,-0.121,-0.029,-0.052,-0.072,-0.071,-0.039,-0.05,-0.061,-0.069,-0.119,-0.027,-0.037,-0.029,-0.083,-0.005,-0.084,-0.075,-0.021,-0.056,-0.017
"12",10,60001,135400001,840,-0.107,-0.027,-0.02,-0.001,-0.023,-0.007,-0.026,-0.049,-0.034,-0.058,-0.043,-0.013,-0.041,-0.091,-0.034,-0.027,-0.055,-0.049,-0.042,-0.065,-0.142,-0.035,-0.015,-0.072,0.009,-0.043,-0.099,0.015,-0.029,0.003,-0.012,-0.056,-0.039,-0.068,-0.043,-0.022,-0.065,-0.124,-0.196,0.002,-0.037,-0.051,-0.073,-0.014,-0.018,-0.063,-0.006,-0.066,-0.031
"13",11,60001,134800001,914,0.063,-0.018,-0.012,0.01,-0.01,0.002,-0.007,0,-0.026,-0.048,0.141,-0.022,-0.039,-0.081,-0.019,-0.012,-0.081,-0.018,-0.024,0.043,-0.055,0.099,-0.018,-0.071,0.017,0.011,-0.012,0.014,-0.018,-0.13,0.029,0.027,-0.002,0.008,-0.061,-0.053,-0.065,0.013,-0.04,-0.029,0.022,-0.032,0.041,-0.037,-0.026,-0.033,-0.021,0.121,-0.044
"14",12,145740,133700001,848,0.059,-0.029,-0.025,0.01,-0.026,-0.013,-0.03,-0.039,-0.037,-0.06,-0.053,-0.024,-0.053,0.038,-0.046,-0.018,0.038,-0.011,-0.029,0.037,-0.122,0.015,-0.028,-0.073,0.014,-0.008,-0.123,0.011,-0.03,0.009,-0.007,-0.068,-0.008,-0.086,-0.064,-0.052,-0.076,-0.063,-0.016,-0.008,-0.048,-0.048,-0.087,-0.044,-0.088,-0.087,-0.027,-0.079,-0.047
"15",13,19020001,115050001,431,-0.165,-0.103,-0.09,-0.164,-0.083,-0.067,-0.088,-0.111,-0.112,-0.164,-0.155,-0.168,-0.111,0.006,-0.129,0.014,-0.177,-0.19,-0.037,-0.127,-0.087,-0.01,-0.024,0.023,0.029,-0.034,-0.175,0.027,-0.126,-0.094,-0.008,-0.086,-0.117,-0.089,-0.079,-0.008,-0.026,-0.1,-0.239,-0.09,-0.091,-0.138,-0.132,-0.104,-0.23,-0.094,0.022,-0.139,-0.119
"16",14,19000001,106950001,528,0.055,-0.025,-0.026,-0.023,-0.04,-0.024,-0.029,-0.04,-0.03,-0.062,-0.051,-0.033,-0.037,0.032,-0.04,-0.043,-0.13,-0.034,-0.022,0.031,-0.167,-0.118,-0.046,-0.133,-0.01,-0.032,-0.088,0.008,-0.014,-0.137,-0.01,-0.062,-0.098,-0.076,-0.052,-0.054,-0.094,0.054,-0.039,0.03,-0.033,-0.039,-0.064,-0.035,-0.13,-0.07,-0.047,-0.064,-0.035
"17",15,20000001,102300001,571,0.064,-0.022,-0.023,-0.02,-0.029,-0.011,-0.02,0.009,-0.017,0.072,-0.023,-0.158,-0.043,0.037,-0.026,-0.034,-0.163,-0.16,-0.218,-0.085,-0.007,-0.098,-0.029,-0.324,0.006,-0.027,-0.074,0.008,-0.012,0.004,-0.025,-0.049,-0.04,-0.053,-0.035,-0.033,-0.068,-0.077,-0.169,0.018,-0.014,-0.028,-0.053,-0.013,-0.012,-0.054,0.016,-0.051,-0.13
"18",16,60001,90150001,624,-0.062,0.003,0.01,-0.021,0.003,-0.001,-0.014,-0.007,0.005,-0.002,-0.009,0.014,0.161,-0.069,0.017,-0.028,-0.04,-0.028,-0.034,0.025,-0.092,-0.161,-0.028,-0.052,-0.021,-0.087,-0.022,-0.042,0.032,0.046,-0.061,-0.03,-0.049,-0.049,-0.019,-0.018,-0.028,-0.049,-0.073,-0.029,-0.014,-0.001,-0.039,0.02,-0.043,-0.036,-0.016,-0.042,0
"19",17,1,81050001,814,0.024,-0.057,-0.066,0.005,-0.076,-0.107,-0.08,-0.041,-0.04,0.083,-0.043,-0.053,-0.07,0.029,-0.053,-0.096,-0.065,-0.041,-0.066,-0.005,-0.085,-0.034,-0.111,-0.199,-0.044,-0.115,-0.048,-0.117,-0.016,-0.041,0.016,-0.1,-0.07,-0.084,-0.074,-0.075,-0.123,0.04,-0.102,-0.074,-0.064,-0.033,-0.068,-0.057,-0.013,0.047,-0.094,-0.099,-0.051
