"chrom","start.pos","end.pos","n.probes","GSM2403010_6929718009_R05C01","GSM2403644_8942351007_R01C02","GSM2403645_8942351007_R02C02","GSM2403647_8942351007_R04C02","GSM2403660_8963311099_R06C02","GSM2403705_9007217153_R01C01","GSM2403706_9007217153_R02C01","GSM2403707_9007217153_R04C01","GSM2404204_9376561042_R03C01","GSM2404257_9406921039_R04C02","GSM2405159_9878820030_R04C01","GSM2405206_9878820122_R03C02","GSM2405627_3998567085_R06C02","GSM2941685_9878827239_R03C02"
"1",1,521369,249150001,1593,0.04,0.08,-0.005,0.084,0.108,0.032,0.007,-0.016,0.002,0.037,0.02,0,-0.015,0.004
"2",2,10001,242950001,1282,-0.033,0.073,0.188,0.014,0.049,0.041,0.004,0.015,0.041,0.055,-0.059,0.044,-0.008,-0.036
"3",3,60001,197700001,978,0.143,0.103,0.003,0.005,0.034,0.037,-0.038,-0.002,0.003,0.042,0.151,-0.053,-0.047,-0.077
"4",4,10001,190900001,742,-0.066,0.036,-0.021,0.007,-0.003,0.043,0.005,-0.002,0.138,-0.009,-0.005,-0.058,-0.001,-0.044
"5",5,10001,180650001,849,-0.022,0.077,0.001,0.006,0.013,0.047,-0.022,0.007,0.025,-0.017,-0.029,-0.029,-0.082,-0.038
"6",6,60001,58300001,495,-0.024,-0.154,-0.003,0.026,0.014,-0.016,0.027,-0.064,-0.333,-0.151,-0.003,-0.049,-0.105,0.099
"7",6,62178590,170850001,493,-0.04,-0.145,0.003,-0.203,-0.278,-0.178,-0.386,0.021,-0.325,-0.369,-0.417,-0.059,-0.121,-0.245
"8",7,10001,158950001,952,-0.006,0.098,0.231,0.201,0.008,0.067,0.005,0.18,0.056,-0.011,-0.055,0.166,0,0.104
"9",8,10001,146250001,726,-0.01,0.047,-0.02,0.04,-0.011,0.054,0.016,0.021,0.051,0.031,0.161,-0.12,0.054,-0.007
"10",9,10001,141000001,383,-0.055,0.098,-0.029,0.004,-0.013,0.003,-0.048,-0.049,0.034,0.004,0.073,0.191,0.033,-0.03
"11",10,60001,135400001,840,0.017,0.062,0.003,0.038,0.034,0.05,0.073,0.184,0.068,0.025,-0.049,0.013,0.075,0.091
"12",11,60001,134800001,914,0.163,0.077,-0.037,-0.003,-0.01,0.02,-0.056,-0.025,-0.006,0.017,0.095,-0.03,-0.096,0.07
"13",12,145740,133700001,848,0.169,0.077,0.239,0.025,0.098,0.054,0.124,0.126,-0.004,0.003,0.027,0.175,0.031,-0.026
"14",13,19020001,115050001,431,-0.028,-0.116,-0.01,-0.033,-0.02,0.087,-0.004,0.117,0.043,-0.075,0.094,-0.102,-0.07,-0.082
"15",14,19000001,106950001,528,-0.001,0.064,-0.002,0.011,0.022,0.021,0.014,-0.009,0.034,0.061,0.064,-0.004,-0.016,0.127
"16",15,20000001,102300001,571,0.193,0.074,-0.012,0.029,0.032,0.044,0.019,0.015,0.059,-0.044,-0.051,0.022,0.043,0.002
"17",16,60001,90150001,624,-0.02,0.069,-0.029,0.028,0.176,0.022,0.186,0.141,0.058,0.195,-0.006,0.01,0.034,-0.018
"18",17,1,81050001,814,-0.062,-0.071,-0.072,-0.02,-0.029,-0.033,-0.027,-0.077,-0.055,-0.013,-0.079,0.031,0.03,-0.021
"19",18,10001,77950001,243,-0.074,-0.014,-0.05,-0.003,0.096,0.098,0.04,-0.047,0.283,0.041,0.189,0.09,0.014,-0.011
"20",19,60001,59050001,711,-0.039,0.025,0.032,0.009,0.023,0.182,0.101,-0.05,0.125,0.021,-0.005,-0.022,0.009,-0.043
"21",20,60001,62850001,359,-0.053,0.026,-0.093,-0.034,-0.076,-0.047,-0.064,-0.083,0.006,-0.035,-0.096,-0.076,-0.039,-0.061
"22",21,10697897,48050001,157,-0.028,0.057,0.197,0.04,0.033,0.176,0.001,0.235,0.078,0.032,0.073,0.17,0.166,-0.002
"23",22,16050001,51200001,300,0.003,0.041,-0.045,-0.006,-0.007,-0.017,0.009,-0.06,-0.089,0.059,0.073,0.037,0.073,0.041
