"chrom","start.pos","end.pos","n.probes","GSM2403651_8963311099_R01C01","GSM2403652_8963311099_R02C01","GSM2403653_8963311099_R04C01","GSM2403654_8963311099_R05C01","GSM2403655_8963311099_R06C01","GSM2403656_8963311099_R01C02","GSM2403657_8963311099_R02C02","GSM2403968_9305651054_R03C02","GSM2403998_9305651095_R01C02","GSM2404027_9340996032_R02C01","GSM2404320_9422492035_R03C01","GSM2404448_9420867087_R04C01","GSM2404492_9444375004_R06C02","GSM2404498_9444375014_R05C02","GSM2404503_9444375017_R03C02","GSM2404504_9444375017_R04C02","GSM2404536_9553932010_R05C01","GSM2404563_9553932123_R01C02","GSM2404669_9741950100_R05C01","GSM2404704_9721365197_R03C02","GSM2404705_9721365197_R04C02","GSM2404706_9721365197_R06C02","GSM2404709_9721366135_R06C01","GSM2404710_9721366135_R01C02","GSM2404778_9533774023_R05C02","GSM2404787_9533774018_R04C02","GSM2404918_9968646167_R04C02","GSM2405032_9969477065_R02C01","GSM2405033_9969477080_R06C01","GSM2405034_9969477080_R01C02","GSM2405054_9969477089_R05C02","GSM2405076_9969477102_R01C01","GSM2405153_9878820021_R03C02","GSM2405203_9878820127_R02C02","GSM2405336_3999834003_R01C01","GSM2405337_3999834003_R02C01","GSM2405374_3999834067_R06C02","GSM2405480_3999112147_R06C02","GSM2405481_3999112155_R01C01","GSM2405482_3999112155_R04C01","GSM2405483_3999112155_R05C01","GSM2405484_3999112155_R06C01","GSM2405485_3999112155_R02C02","GSM2405486_3999112155_R03C02","GSM2940782_10006823143_R06C02","GSM2940801_101178130116_R03C02","GSM2940839_200325530024_R06C01","GSM2940875_200362700196_R03C02","GSM2940953_3998523030_R05C01","GSM2940998_3998546129_R02C02","GSM2941031_3998568129_R03C02","GSM2941032_3998568154_R03C01","GSM2941063_3998909062_R01C01","GSM2941087_3998909075_R04C02","GSM2941088_3998909075_R05C02","GSM2941133_3998998159_R05C02","GSM2941134_3998998159_R06C01","GSM2941135_3998998159_R06C02","GSM2941265_3999834070_R04C01","GSM2941273_3999834100_R02C02","GSM2941393_9407201030_R05C01","GSM2941467_9533774097_R04C01","GSM2941486_9553932002_R02C02","GSM2941492_9553932010_R06C02","GSM2941551_9741950025_R03C02","GSM2941552_9741950025_R04C01","GSM2941769_9969477079_R02C01"
"1",1,521369,249150001,1593,0.041,-0.008,0.055,0.051,0.012,0.061,0.021,0.028,0.025,0.046,0.049,0.032,0.012,-0.006,-0.047,0.003,-0.076,0.047,-0.118,-0.042,-0.096,0.053,0.05,-0.065,-0.033,0.021,0.019,-0.044,0.049,0.015,-0.067,0.048,0.002,0.011,0.03,0.032,0.013,0.005,0.058,-0.029,0.017,0.015,0.03,0.081,-0.019,0.018,-0.041,0.005,0.015,0.044,0.019,-0.121,0.042,0.101,-0.13,-0.008,-0.005,0.023,0.001,-0.02,-0.056,0.002,0.014,0.054,0.042,0.052,-0.046
"2",2,10001,242950001,1282,0.062,0.057,0.037,0.049,0.003,0.009,0.027,-0.012,0.027,0.06,0.003,0.026,0.011,-0.033,-0.017,0.029,0.202,0.075,0.181,0.063,0.005,0.063,0.234,0.048,-0.01,0.007,0.017,0.163,0.029,0.039,0.056,-0.001,-0.029,0.059,-0.015,-0.028,0.004,0.127,0.089,0.027,0.002,-0.022,0.087,0.06,0.075,-0.019,0.076,0.007,0.025,0.005,0.08,0.009,-0.001,0.077,0.057,-0.02,0.001,-0.03,0.143,0.102,-0.002,0.044,0.02,0.051,0.008,0.011,-0.054
"3",3,60001,197700001,978,0.086,0.068,0.046,0.066,-0.021,0.024,0.072,0.002,0.02,0.094,0.019,0.036,0.025,-0.05,-0.05,0.044,-0.081,0.039,0.06,-0.014,-0.021,0.111,0.042,-0.011,-0.034,0.006,-0.002,-0.017,-0.078,-0.011,0.054,0.001,-0.067,0.152,-0.04,-0.063,0.023,-0.055,-0.013,0.008,-0.028,0.026,0.115,0.088,-0.052,-0.005,-0.09,-0.031,0.035,-0.004,0.142,0.004,-0.012,0.041,-0.063,-0.039,0.026,-0.034,-0.066,0.088,-0.017,0.137,0.026,0.118,-0.024,0.122,-0.071
"4",4,10001,190900001,742,-0.032,0.027,-0.022,0.008,-0.03,-0.056,-0.015,-0.05,-0.056,-0.025,-0.066,-0.042,-0.038,-0.059,0,-0.169,0.061,0.045,-0.071,0.106,0.007,-0.027,-0.024,-0.018,-0.037,-0.031,-0.021,-0.129,-0.011,0.019,0.007,-0.08,-0.063,-0.063,-0.042,-0.04,-0.054,-0.095,-0.017,-0.038,-0.048,-0.002,0.003,0.008,0.035,-0.079,-0.001,-0.006,-0.045,-0.076,0.026,-0.047,-0.049,0.025,0.003,-0.069,-0.08,-0.001,-0.045,0.069,-0.022,0.054,-0.025,-0.049,-0.042,-0.049,-0.047
"5",5,10001,180650001,849,0.1,0.111,0.053,0.063,-0.001,0.048,0.078,0.012,0.07,0.082,0.01,0.033,0.025,-0.025,-0.017,0.035,0.219,0.022,0.053,0.031,-0.01,0.081,0.07,0.021,0.063,0.021,0.019,0.06,-0.072,0.064,0.055,0.005,0.012,0.063,-0.012,-0.027,0.057,-0.054,0.103,0.017,-0.01,0.102,0.116,0.085,-0.051,-0.012,0.062,-0.003,0.039,0.004,0.089,0.017,0.053,0.062,0.051,0.11,0.05,0.098,0.132,0.094,0.003,0.013,0.019,-0.006,0.017,0.018,-0.081
"6",6,60001,170850001,988,-0.006,0.052,0.047,0.031,-0.027,0.007,0.051,-0.02,-0.004,0.094,0.002,0.023,0.006,-0.054,-0.04,-0.146,-0.075,-0.128,-0.155,-0.057,-0.001,0.102,0.056,-0.126,-0.009,0.021,-0.018,-0.086,0.026,0.008,0.071,-0.014,-0.041,0.013,-0.028,-0.045,0.017,-0.043,0.042,0.002,-0.005,0.038,0.114,0.066,-0.079,-0.022,-0.19,-0.015,0.03,-0.006,0.101,-0.056,-0.079,-0.31,-0.052,-0.016,-0.147,-0.032,-0.255,0.115,-0.01,0.07,0.039,-0.026,0.017,0.01,-0.088
"7",7,10001,158950001,952,0.195,0.172,0.08,0.097,0.035,0.056,0.104,0.037,0.114,0.12,0.014,0.08,0.096,0.104,0.018,0.218,0.236,0.151,0.254,0.065,0.046,0.144,0.108,0.051,0.18,0.06,0.051,0.079,0.076,0.095,0.102,0.03,0.04,0.237,0.002,-0.021,0.189,0.201,0.162,0.083,0.056,0.081,0.166,0.079,0.091,0.261,0.104,0.037,0.084,0.042,0.239,0.069,0.225,0.219,0.254,0.162,0.168,0.201,0.261,0.12,0.028,0.105,0.293,0.124,0.145,0.146,0.191
"8",8,10001,146250001,726,0.044,0.023,0.037,0.044,-0.002,0.023,0.03,0.001,0.007,0.033,0,0.023,0.012,-0.01,0.009,0.096,0.21,0.095,0.058,0.088,0.034,0.051,0.037,0.025,-0.029,0.02,0.034,0.07,0.048,0.011,0.068,0.006,0.031,0.044,-0.001,-0.009,0.011,-0.03,0.05,0.149,-0.008,0.056,0.065,0.065,0.081,-0.014,0.272,0.036,0.04,0.017,0.065,0.049,-0.002,-0.117,0.215,0,0.022,-0.01,-0.026,0.094,0.2,0.048,0.035,0.094,0.036,0.03,-0.029
"9",9,10001,141000001,383,-0.048,-0.135,0.037,0,-0.205,-0.087,-0.205,0.029,-0.098,-0.285,0.022,0.03,0.03,0,-0.008,0.038,-0.055,0.077,0.161,-0.162,-0.017,-0.005,-0.013,-0.106,-0.125,-0.007,-0.23,0.073,-0.221,-0.04,-0.001,-0.136,0.062,-0.108,-0.251,-0.283,-0.008,0.003,-0.044,-0.084,-0.257,0.014,-0.158,-0.15,-0.182,0.032,0.212,-0.304,0.04,0.038,0.043,0.11,-0.082,0.095,-0.162,-0.012,-0.088,-0.01,-0.008,0.067,0.218,0.05,0.035,-0.041,0.01,0.074,-0.036
"10",10,60001,135400001,840,-0.128,-0.038,0.056,-0.191,-0.027,0.047,0.053,0.012,0.044,0.077,0.036,-0.07,0.042,0.01,0.02,-0.016,-0.286,-0.013,-0.146,0.029,0.024,0.095,-0.213,-0.097,-0.008,0.034,-0.237,-0.047,0.002,-0.016,0.071,0.034,-0.017,0.004,0.024,0.016,0.027,0.021,-0.007,-0.249,0.013,0,0.047,0.066,-0.224,0.025,-0.114,0.041,0.053,0.028,-0.098,-0.002,-0.123,-0.104,-0.224,0.127,0.083,0.02,0.015,-0.011,-0.269,0.001,0.072,-0.063,0.046,-0.08,-0.026
