"chrom","start.pos","end.pos","n.probes","GSM2402943_6969568004_R06C02","GSM2402944_6929689136_R01C01","GSM2402946_6929689136_R03C01","GSM2402949_6929689136_R06C01","GSM2402952_6969568004_R04C01","GSM2402982_6929718049_R01C02","GSM2402984_6929718049_R02C02","GSM2402985_6929718049_R03C02","GSM2402986_6929718049_R04C02","GSM2402987_6929718049_R05C02","GSM2403039_6929793061_R01C01","GSM2403040_6929793061_R02C01","GSM2403045_6929793052_R03C02","GSM2403054_6229017094_R06C01","GSM2403055_6229017094_R01C02","GSM2403058_6229017094_R04C02","GSM2403059_6229017094_R05C02","GSM2403083_6247004027_R05C02","GSM2403131_6752625054_R05C01","GSM2403243_7970368141_R04C01","GSM2403249_7970368141_R01C02","GSM2403263_7970368167_R04C01","GSM2403264_7970368167_R05C01","GSM2403266_7970376026_R02C02","GSM2403267_7970376026_R03C02","GSM2403270_7970376067_R05C02","GSM2403275_7970376029_R03C01","GSM2403282_7970368167_R06C02","GSM2403287_7970376026_R05C02","GSM2403295_7970376055_R01C01","GSM2403298_7970376005_R01C01","GSM2403299_7970376005_R02C01","GSM2403302_7970376005_R05C01","GSM2403304_7970376055_R01C02","GSM2403315_7970376067_R02C01","GSM2403316_7970376055_R03C02","GSM2403317_7970376055_R04C02","GSM2403330_7990895159_R02C01","GSM2403333_7990895120_R02C01","GSM2403334_7990895120_R03C01","GSM2403338_7990895159_R01C02","GSM2403344_7990895120_R02C02","GSM2403352_7990895142_R04C02","GSM2403363_7990908004_R03C01","GSM2403367_7990895093_R02C01","GSM2403368_7990895046_R03C02","GSM2403370_7990895046_R06C01","GSM2403373_7990908004_R02C02","GSM2403378_7990895093_R02C02","GSM2403382_7990895127_R01C02","GSM2403385_7990895159_R05C02","GSM2403391_7990895142_R01C01","GSM2403393_7990895127_R04C02","GSM2403395_7990908004_R05C01","GSM2403398_7990895095_R03C01","GSM2403399_7990895093_R05C02","GSM2403401_7990895142_R01C02","GSM2403408_8622007028_R03C02","GSM2403411_8622007029_R01C01","GSM2403430_8622007026_R04C02","GSM2403433_8622007025_R04C02","GSM2403436_8622007026_R01C01","GSM2403439_8622007026_R06C01","GSM2403468_8622007028_R02C01","GSM2403470_8622007027_R03C02","GSM2403964_9305651055_R02C02","GSM2404021_9340996003_R06C02","GSM2404300_9407201029_R06C02","GSM2404301_9407201030_R03C01","GSM2404718_9721366150_R04C01","GSM2404761_9829119072_R04C02","GSM2404774_9829119124_R02C02","GSM2404822_9533774024_R03C02","GSM2404826_9533774033_R02C01","GSM2404997_9969477017_R01C02","GSM2405315_10003886253_R05C02","GSM2405578_3999002043_R06C02","GSM2940819_200277210056_R05C01","GSM2940870_200362700194_R05C02","GSM2940924_200406080086_R04C01","GSM2940957_3998523031_R01C01","GSM2940984_3998523058_R02C01","GSM2941119_3998920120_R02C01","GSM2941179_3999078120_R03C01","GSM2941214_3999100101_R02C01","GSM2941251_3999834067_R02C02","GSM2941305_3999875073_R01C02","GSM2941319_9297949046_R04C01","GSM2941328_9305651146_R01C01","GSM2941331_9340996058_R01C01","GSM2941346_9373551108_R01C01","GSM2941382_9406921148_R06C02","GSM2941412_9426021175_R05C01","GSM2941419_9444375028_R03C02","GSM2941498_9553932054_R02C02","GSM2941548_9741950008_R05C01","GSM2941564_9741950085_R06C02","GSM2941565_9741950095_R01C02","GSM2941804_9969477108_R05C02"
"1",1,521369,121086696,900,-0.049,0.028,0.057,0.083,0.117,0.05,0.034,0.009,0.001,0.042,0.054,0.056,0.089,0.047,0.137,0.063,0.095,-0.01,0.059,0.033,-0.044,0.055,0.127,-0.02,0.1,0.058,0.09,-0.01,0.107,0.038,0.048,0.03,0.03,0.045,0.065,0.049,0.039,0.034,0.093,0.045,0.019,-0.014,0.042,0.049,0.023,0.039,0.038,0.031,0.027,-0.036,-0.046,-0.015,0.022,-0.02,0.039,0.046,0.101,0.097,0.048,-0.045,0.018,-0.046,0.055,0.068,0.048,0.039,0.006,0.144,-0.026,0.055,0.057,0.14,-0.106,0.099,0.097,0.016,0.016,0.174,0.075,0.007,0.022,0.154,0.01,0.136,0.074,0.026,0.083,0.029,-0.03,0.034,-0.016,0.079,0.068,0.03,0.001,0.084,-0.034,-0.14,0.075
"2",1,121300001,249150001,693,0.241,0.06,0.161,0.336,0.173,0.052,0.017,0.268,0.237,0.065,0.075,0.069,0.096,0.241,0.168,0.08,0.126,0.059,0.275,0.097,0.266,0.068,0.127,0.147,0.06,0.012,0.147,0.135,0.152,0.021,0.065,0.009,0.222,0.019,0.048,0.115,0.062,0.196,-0.003,0.06,0.051,0.132,0.153,0.081,0.138,0.201,0.294,0.119,0.039,0.086,-0.033,0.227,0.117,0.001,0.167,0.181,0.148,0.123,0.026,-0.032,0.158,0.142,0.037,0.087,0.119,0.081,0.064,0.184,0.093,0.189,0.017,0.094,0.235,0.112,0.189,0.298,0.08,0.176,0.097,0.028,0.032,0.183,0.254,0.157,0.047,0.056,0.085,0.064,-0.004,0.038,0.279,0.128,0.147,0.215,0.013,0.072,0.19,0.371,0.052
"3",2,10001,242950001,1282,-0.086,0.002,0.098,-0.057,-0.153,-0.08,-0.05,-0.089,-0.013,0.002,0.02,-0.027,-0.123,0.007,0.123,0.081,0.077,-0.032,-0.153,-0.113,-0.044,0.029,-0.006,0.013,0.028,0.058,0.093,-0.003,0.128,0.006,0.028,-0.004,-0.054,-0.018,-0.007,0.046,0.03,0.016,-0.058,0,-0.021,0.09,0.164,0.044,0.033,0.08,0.007,0.098,-0.128,0.098,-0.053,0.014,0.082,0.027,0.017,0.111,0.11,0.092,-0.015,-0.117,-0.028,0.083,-0.012,0.063,-0.005,0.049,0.022,0.134,0.009,0.123,-0.012,-0.093,-0.008,0.018,0.178,-0.022,0.042,-0.012,0.031,0.059,0.034,0.046,-0.031,-0.022,0.08,-0.004,0.037,0.007,0.041,0.069,0.05,0.019,-0.069,-0.033,-0.003,0.034,0.128,0.001,0.021
"4",3,60001,197700001,978,0.263,0.055,0.148,0.175,0.145,-0.092,-0.018,0.138,0.011,0.019,0.055,0.059,0.033,0.057,-0.106,-0.103,-0.127,0.006,0.02,-0.165,-0.002,0.053,-0.005,0.071,0.011,0.018,-0.119,0.135,-0.018,-0.07,0.042,-0.179,-0.045,-0.031,-0.121,0.021,0.058,-0.064,-0.092,0.043,-0.009,0.18,0.185,0.125,0.061,0.111,0.111,-0.049,-0.103,0.071,-0.067,0.064,-0.012,0.002,0.058,-0.023,-0.089,-0.112,-0.02,-0.079,-0.012,-0.118,0.001,0.085,0.022,0.097,0.012,0.147,0.021,-0.022,-0.038,-0.123,0.027,-0.205,-0.087,0.044,0.075,-0.016,0.047,-0.038,0.031,0.057,0.016,-0.013,0.001,-0.012,0.001,0.04,0.06,0.003,0.182,-0.015,0.096,-0.03,0.015,0.047,-0.006,0.029,-0.188
"5",4,10001,190900001,742,0.164,-0.046,-0.081,-0.052,-0.099,-0.033,-0.082,-0.218,-0.102,-0.102,-0.061,-0.011,0.148,0.222,-0.217,-0.029,-0.244,-0.198,-0.021,0.097,0.13,-0.008,-0.059,0.014,0.082,-0.161,-0.152,0.025,-0.091,-0.023,-0.082,-0.154,-0.069,0.01,-0.041,0.031,-0.213,-0.136,-0.107,0.004,-0.055,0.03,0.081,0.02,0.006,0.013,-0.101,0.019,-0.039,0.017,-0.065,-0.013,0.068,-0.021,-0.007,-0.094,-0.178,0.001,-0.077,0.066,0.017,-0.207,-0.045,-0.266,-0.039,-0.016,-0.037,-0.202,-0.019,-0.16,-0.08,-0.056,-0.061,0.089,-0.133,-0.093,0.067,-0.093,-0.191,0.008,-0.032,0.061,-0.101,-0.04,-0.054,-0.165,-0.018,-0.019,0.03,0.151,-0.005,-0.027,0.086,-0.061,-0.04,-0.002,-0.141,-0.084,-0.029
"6",5,10001,180650001,849,0.255,0.041,0.005,-0.028,0.277,0.187,-0.013,0.041,0.047,0.022,0.052,0.043,0.176,0.045,0.146,0.019,0.099,0.293,0.023,0.093,0.015,0.052,-0.014,0.059,0.033,0.036,0.09,0.112,0.262,0.025,0.011,0.006,0.14,-0.02,-0.065,0.069,0.044,0.141,-0.053,0.041,-0.015,-0.002,0.154,0.066,0.081,0.013,0.055,0.096,0.142,-0.007,0.309,0.062,0.035,0.25,0.043,-0.026,0.195,-0.128,-0.012,0.148,0.185,0.104,0.007,0.069,0.021,0.07,-0.173,0.271,-0.097,-0.007,-0.015,-0.177,0.134,0.011,-0.096,0.021,-0.095,-0.005,-0.111,0.004,0.03,0.054,0.023,-0.01,-0.146,0.005,0.056,0.047,0.15,0.023,0.139,0.043,0.161,-0.013,0.008,0.051,-0.058,0.007,0.024
"7",6,60001,170850001,988,0.219,0.013,0.119,0.206,0.041,0.142,0.159,0.103,-0.016,-0.007,0.03,0.023,0.108,0.009,0.13,0.019,0.089,-0.01,0.007,0.073,0.087,0.037,-0.005,0.039,0.015,-0.072,0.078,0.079,0.118,0.008,0.129,0.03,-0.024,-0.035,-0.073,0.048,0.04,0.113,-0.101,0.152,-0.025,0.139,0.114,0.057,0.073,0.082,0.112,0.097,0.253,0.041,0.142,0.041,0.123,0.014,0.026,0.137,0.146,-0.128,-0.034,0.109,-0.025,0.087,-0.029,0.063,-0.009,0.042,0.029,0.07,0.014,0.139,-0.041,0.049,0.112,0.043,-0.124,0.179,0.251,-0.018,-0.127,-0.013,0.048,-0.045,0.208,0.182,-0.016,-0.008,0.034,0.043,0.035,-0.01,0.039,0.016,0.176,-0.041,0,0.04,0.161,-0.017,0.03
"8",7,10001,158950001,952,0.279,0.064,0.273,0.009,0.089,0.283,-0.004,0.228,0.038,0.226,0.298,0.072,0.289,0.083,0.197,0.194,0.25,0.169,0.036,0.004,0.236,0.07,0.046,0.206,-0.01,-0.014,0.192,0.296,0.182,0.042,0.21,0.118,0.039,0.205,0.086,0.073,0.117,0.313,-0.044,0.061,0.025,0.155,0.23,0.288,0.024,0.036,0.163,0.314,0.305,0.105,0.206,0.07,0.172,0.059,0.362,0.311,0.188,0.28,-0.023,0.157,0.015,0.128,0.117,0.135,0.039,0.282,0.196,0.16,0.117,0.236,0.085,0.183,0.229,0.31,0.477,0.054,0.243,0.027,0.08,0.076,0.091,0.19,0.029,0.206,0.078,0.163,0.158,0.13,0.102,0.042,0.095,0.078,0.254,-0.001,0.057,0.07,0.371,0.195,0.057
"9",8,10001,146250001,726,-0.086,0.231,-0.207,-0.044,0.251,-0.213,0.178,0.034,0.295,0.017,0.017,0.031,-0.412,-0.025,-0.171,0.01,-0.182,0.279,0.167,0.113,0.035,0.046,0.005,0.036,0.072,-0.052,-0.096,0.143,-0.097,0.048,-0.211,-0.166,0.336,-0.113,-0.207,0.044,-0.096,-0.063,-0.15,0.044,-0.058,0.084,0.079,-0.088,0.046,-0.025,0.35,-0.158,0.011,0.038,-0.023,0.23,0.081,0.044,0.003,-0.063,-0.122,-0.154,-0.046,0.171,0.008,-0.18,-0.009,-0.208,0.002,-0.026,-0.066,-0.237,-0.075,-0.081,-0.004,-0.124,-0.166,-0.448,-0.122,0.245,-0.35,-0.004,0.055,0.036,0.024,-0.128,0.356,-0.101,0.022,0.013,-0.042,0.033,-0.029,-0.009,0.031,0.031,-0.097,0.113,0.008,-0.063,-0.107,0.02,0.021
"10",9,10001,141000001,383,-0.024,0.04,0.02,-0.011,0.058,0.048,0.011,-0.117,0.027,0.031,0.055,0.06,0.056,0.067,-0.073,0.071,0.006,-0.102,0.043,-0.123,-0.023,0.057,0.025,0.094,0.059,0.031,0.12,-0.118,0.171,0.064,0.068,0.042,0.031,0.062,0.027,0.021,0.047,-0.046,0.08,0.052,0.037,0.048,0.095,0.085,0.066,0.093,0.084,-0.08,-0.084,0.099,0.126,0.019,0.059,0.006,0.04,0.13,0.142,-0.059,0.031,-0.045,0.019,0.128,0.039,0.1,0.041,0.065,0.126,0.15,0.022,0.155,0.032,-0.152,0.012,-0.162,-0.052,0.028,0.056,0.035,-0.057,0.035,0.05,-0.09,0,0.015,0.043,0.023,0.052,0.084,-0.031,0.04,0.175,0.077,-0.095,-0.003,0.021,0.052,0.183,0.024,0.04
