"chrom","start.pos","end.pos","n.probes","GSM2402992_6929689149_R03C02","GSM2403203_6929806046_R03C01","GSM2403211_6929806048_R06C01","GSM2403807_9296930076_R05C01","GSM2403858_9305651016_R04C01","GSM2403863_9305651027_R03C01","GSM2403970_6026818091_R02C01","GSM2404048_9373550131_R06C02","GSM2404050_9373550028_R05C01","GSM2404893_9968646139_R04C02","GSM2404924_9969477003_R01C02"
"1",1,521369,249150001,1593,0.008,0.013,0.005,-0.092,0.008,0.027,-0.009,0.006,-0.528,0.016,-0.019
"2",2,10001,242950001,1282,-0.039,-0.032,-0.074,-0.073,-0.017,-0.017,-0.068,-0.049,-0.43,-0.03,-0.097
"3",3,60001,197700001,978,-0.018,-0.022,-0.075,-0.05,-0.023,-0.013,-0.061,-0.024,-0.332,-0.035,-0.138
"4",4,10001,190900001,742,-0.068,-0.07,-0.138,-0.106,-0.05,-0.054,-0.125,-0.101,-0.469,-0.08,-0.154
"5",5,10001,180650001,849,-0.015,-0.017,-0.071,-0.08,-0.017,0.002,-0.064,-0.031,-0.442,-0.026,-0.104
"6",6,60001,170850001,988,-0.035,-0.029,-0.095,-0.052,-0.021,-0.016,-0.056,-0.059,-0.374,-0.045,-0.146
"7",7,10001,158950001,952,0.01,0.004,-0.053,-0.015,0.003,0.009,-0.042,-0.003,-0.33,-0.004,-0.101
"8",8,10001,146250001,726,-0.035,-0.029,-0.073,-0.078,-0.016,-0.008,-0.077,-0.049,-0.436,-0.03,-0.088
"9",9,10001,141000001,383,-0.003,0.006,0.008,-0.083,0.01,0.021,-0.024,0.012,-0.481,0.008,-0.013
"10",10,60001,135400001,840,-0.006,-0.005,-0.028,-0.05,-0.001,0.018,-0.034,0,-0.399,-0.006,-0.07
"11",11,60001,134800001,914,0.108,0.003,-0.028,-0.062,-0.018,0.013,0.093,-0.003,-0.406,-0.008,-0.08
"12",12,145740,133700001,848,-0.006,-0.003,-0.043,-0.069,-0.015,-0.006,-0.015,-0.014,-0.443,-0.012,-0.079
"13",13,19020001,115050001,431,-0.036,-0.04,-0.136,0.035,-0.01,-0.019,-0.082,-0.058,-0.147,-0.058,-0.187
"14",14,19000001,106950001,528,-0.012,-0.007,-0.017,-0.106,0.004,0.02,-0.01,-0.016,-0.564,0.006,-0.036
"15",15,20000001,102300001,571,-0.007,-0.002,-0.009,-0.088,0.008,0.028,-0.002,-0.006,-0.514,0.006,-0.023
"16",16,60001,90150001,624,0.011,0.021,0.026,-0.025,-0.002,0.011,0.032,0.029,-0.381,0.017,-0.01
"17",17,1,81050001,814,-0.064,-0.047,-0.012,-0.17,-0.059,-0.056,-0.027,-0.05,-0.639,-0.037,-0.001
"18",18,10001,77950001,243,-0.124,-0.099,-0.098,-0.186,-0.068,-0.076,-0.101,-0.131,-0.706,-0.084,-0.029
"19",19,60001,59050001,711,-0.033,-0.027,0.004,-0.141,-0.054,-0.063,-0.005,-0.033,-0.641,-0.013,0.008
"20",20,60001,62850001,359,-0.039,-0.022,-0.009,-0.147,-0.054,-0.038,-0.008,-0.047,-0.618,-0.02,-0.014
"21",21,10697897,48050001,157,-0.018,-0.008,-0.027,-0.072,-0.016,-0.009,-0.006,-0.007,-0.486,-0.007,-0.03
"22",22,16050001,51200001,300,-0.147,-0.017,0.05,-0.378,-0.283,-0.333,-0.001,0.012,-0.705,-0.112,0.054
