"chrom","start.pos","end.pos","n.probes","GSM2403504_8622007069_R01C01","GSM2403505_8622007069_R06C01","GSM2403508_8622007067_R04C02","GSM2403852_9305651037_R06C02","GSM2403901_9305216209_R03C01","GSM2403937_9305651053_R06C02","GSM2403953_9305651055_R05C02","GSM2403954_9305651055_R06C02","GSM2403955_9305651060_R01C01","GSM2403956_9305651060_R02C01","GSM2403957_9305651060_R03C01","GSM2403958_9305651060_R04C01","GSM2403959_9305651060_R05C01","GSM2403960_9305651060_R06C01","GSM2403961_9305651060_R01C02","GSM2403962_9305651060_R02C02","GSM2404061_9373551039_R05C01","GSM2404449_9420867087_R02C02","GSM2404472_9444374132_R03C02","GSM2404473_9444374132_R06C02","GSM2404474_9444374133_R02C01","GSM2404475_9444374133_R03C01","GSM2405335_3999834002_R02C02","GSM2940868_200362700194_R01C02","GSM2940915_200400320088_R02C02","GSM2941255_3999834068_R01C02","GSM2941499_9553932054_R03C02","GSM2941574_9741950149_R03C02","GSM2941578_9741950149_R06C02","GSM2941694_9968646118_R02C02","GSM2941793_9969477102_R04C01"
"1",1,521369,249150001,1593,-0.12,-0.09,-0.097,0,0.003,-0.037,-0.006,0.007,-0.051,-0.024,0.003,-0.07,-0.166,-0.044,-0.087,-0.067,-0.01,0.005,0.009,-0.074,-0.079,-0.031,0.001,0.003,-0.408,-0.011,-0.031,-0.053,-0.015,-0.063,-0.048
"2",2,10001,242950001,1282,-0.06,-0.054,-0.069,-0.04,-0.038,-0.049,-0.037,-0.018,-0.06,-0.045,-0.042,-0.09,-0.114,-0.065,-0.085,-0.079,-0.042,-0.012,-0.02,-0.089,-0.08,-0.023,-0.061,-0.038,-0.334,-0.01,-0.062,-0.087,-0.035,-0.079,-0.087
"3",3,60001,197700001,978,-0.057,-0.07,-0.089,-0.03,-0.023,-0.056,-0.045,0.002,-0.066,-0.051,-0.028,-0.121,-0.143,-0.078,-0.114,-0.108,-0.06,0,-0.017,-0.146,-0.136,-0.016,-0.071,-0.044,-0.395,-0.022,-0.085,-0.123,0.012,-0.124,-0.158
"4",4,10001,190900001,742,-0.054,-0.024,-0.068,-0.106,-0.103,-0.085,-0.072,-0.065,-0.098,-0.09,-0.1,-0.126,-0.143,-0.098,-0.119,-0.11,-0.096,-0.049,-0.053,-0.12,-0.096,-0.048,-0.115,-0.089,-0.375,-0.037,-0.107,-0.14,-0.064,-0.115,-0.111
"5",5,10001,180650001,849,-0.071,-0.072,-0.081,-0.032,-0.029,-0.045,-0.036,-0.003,-0.061,-0.044,-0.035,-0.103,-0.162,-0.068,-0.107,-0.092,-0.042,0,-0.01,-0.111,-0.106,-0.011,-0.039,-0.028,-0.41,-0.008,-0.064,-0.098,-0.005,-0.096,-0.105
"6",6,60001,170850001,988,-0.05,-0.042,-0.071,-0.04,-0.032,-0.045,-0.041,-0.015,-0.065,-0.048,-0.046,-0.101,-0.11,-0.073,-0.098,-0.092,-0.044,-0.004,-0.021,-0.11,-0.094,-0.008,-0.071,-0.04,-0.346,-0.007,-0.065,-0.103,-0.012,-0.095,-0.117
"7",7,10001,158950001,952,-0.015,-0.031,-0.017,0.01,0.005,0.005,0.008,0.028,0.003,0,0.006,-0.036,-0.056,-0.02,-0.043,-0.034,0.003,0.03,0.006,-0.069,-0.053,0.015,-0.019,0.011,-0.303,0.006,-0.019,-0.044,0.015,-0.032,-0.052
"8",8,10001,146250001,726,-0.055,-0.03,-0.053,-0.04,-0.051,-0.046,-0.029,-0.023,-0.062,-0.051,-0.047,-0.099,-0.116,-0.064,-0.088,-0.079,-0.033,-0.006,-0.02,-0.091,-0.07,-0.029,-0.043,-0.029,-0.329,-0.009,-0.057,-0.084,-0.045,-0.073,-0.066
"9",9,10001,141000001,383,-0.073,-0.044,-0.046,0.016,0.02,-0.017,0.018,0.016,-0.014,-0.004,0.026,-0.026,-0.091,-0.008,-0.037,-0.03,-0.001,-0.005,0.008,-0.034,-0.049,-0.026,0.018,0.01,-0.346,-0.018,-0.014,-0.006,-0.012,-0.035,-0.01
"10",10,60001,135400001,840,-0.037,-0.035,-0.041,0.001,-0.003,-0.013,0.003,0.015,-0.026,-0.014,-0.003,-0.057,-0.079,-0.028,-0.049,-0.047,-0.011,0.011,0.006,-0.057,-0.05,-0.004,-0.017,0.001,-0.321,0.016,-0.022,-0.039,0.006,-0.058,-0.043
