"chrom","start.pos","end.pos","n.probes","GSM2403235_7310440006_R05C01","GSM2403236_7310440006_R05C02","GSM2403237_7310440006_R06C01","GSM2403238_7310440006_R03C02","GSM2403239_7310440006_R04C02","GSM2403240_7310440009_R01C01","GSM2403530_8622007080_R01C01","GSM2403531_8622007080_R02C01","GSM2403532_8622007080_R03C01","GSM2403533_8622007080_R04C01","GSM2403534_8622007080_R06C01","GSM2403535_8622007080_R03C02","GSM2405604_3999095103_R03C02"
"1",1,521369,249150001,1593,0.03,0.042,0.049,0.032,0.038,0.039,0.044,0.039,0.037,0.042,0.039,0.026,0.008
"2",2,10001,242950001,1282,-0.036,-0.001,-0.009,-0.011,-0.004,-0.001,-0.005,-0.044,-0.039,-0.012,-0.009,-0.061,0.029
"3",3,60001,197700001,978,-0.052,0.008,-0.002,-0.014,-0.001,0.005,-0.013,-0.07,-0.043,0.004,0.003,-0.083,0.01
"4",4,10001,190900001,742,-0.09,-0.041,-0.06,-0.065,-0.056,-0.056,-0.077,-0.089,-0.139,-0.084,-0.064,-0.15,-0.014
"5",5,10001,180650001,849,-0.035,0.012,0.007,-0.003,0.007,0.008,-0.014,-0.035,-0.047,-0.003,-0.002,-0.07,0.014
"6",6,60001,170850001,988,-0.039,0.003,-0.014,-0.012,-0.005,-0.001,-0.035,-0.054,-0.076,-0.029,-0.029,-0.083,0.037
"7",7,10001,158950001,952,-0.009,0.039,0.042,0.03,0.037,0.043,-0.008,-0.046,-0.042,0.011,0.013,-0.04,0.097
"8",8,10001,146250001,726,-0.03,0.012,0.003,0.001,0.007,0.011,-0.009,-0.027,-0.049,-0.019,-0.01,-0.067,0.054
"9",9,10001,141000001,383,0.024,0.024,0.037,0.021,0.028,0.03,0.07,0.055,0.054,0.052,0.063,0.044,0.03
"10",10,60001,135400001,840,0.007,0.018,0.035,0.019,0.025,0.024,0.033,0.037,0.018,0.025,0.03,0.011,0.068
"11",11,60001,134800001,914,-0.005,0.027,0.031,0.014,0.024,0.027,0.017,-0.029,0.012,0.033,0.026,-0.006,0.023
"12",12,145740,133700001,848,0,0.025,0.026,0.013,0.021,0.021,0.001,-0.007,-0.018,0.014,0.007,-0.014,0.02
"13",13,19020001,115050001,431,-0.077,0.004,-0.02,-0.009,-0.001,0.013,-0.055,-0.116,-0.113,-0.037,-0.038,-0.14,0.12
"14",14,19000001,106950001,528,0.021,0.031,0.04,0.024,0.025,0.024,0.047,0.041,0.024,0.028,0.044,0.014,-0.006
"15",15,20000001,102300001,571,0.033,0.037,0.041,0.026,0.036,0.037,0.037,0.065,0.027,0.033,0.04,0.04,0.019
"16",16,60001,90150001,624,0.042,0.032,0.055,0.038,0.039,0.039,0.055,0.062,0.068,0.056,0.048,0.081,0.12
"17",17,1,81050001,814,0.015,-0.029,-0.024,-0.026,-0.028,-0.033,-0.009,0.054,0.024,-0.012,-0.024,0.058,-0.005
"18",18,10001,77950001,243,-0.054,-0.072,-0.082,-0.082,-0.082,-0.086,-0.05,-0.008,-0.091,-0.086,-0.068,-0.072,-0.035
"19",19,60001,59050001,711,0.042,0.015,0.022,0.007,0.015,0.012,-0.001,0.059,0.037,0.022,-0.002,0.085,0.033
"20",20,60001,62850001,359,0,0.001,0.004,0.008,0.007,0.008,0.026,0.01,0.021,0.02,0.018,0.02,0.005
"21",21,10697897,48050001,157,0.008,0.004,0.018,-0.003,0.009,0.003,0.002,0.028,-0.008,0.004,0.009,0.019,0.086
"22",22,16050001,51200001,300,0.06,0.021,0.06,0.041,0.025,0.02,0.075,0.095,0.087,0.045,0.044,0.124,0.028
