"chrom","start.pos","end.pos","n.probes","GSM2403503_8622007068_R02C01","GSM2403585_8622007120_R02C01","GSM2403732_9007225086_R01C01","GSM2403737_9007225086_R01C02","GSM2403747_9007225163_R06C01","GSM2403828_9297949046_R02C02","GSM2403847_9305651037_R05C01","GSM2403850_9305651037_R04C01","GSM2403897_9305216209_R05C01","GSM2403898_9305216209_R06C01","GSM2403902_9305216209_R02C01","GSM2403996_9305651095_R03C01","GSM2404004_9305651146_R06C01","GSM2404290_9407201027_R04C01","GSM2404292_9407201027_R06C01","GSM2404533_9553932008_R06C01","GSM2404713_9721366138_R04C02","GSM2404735_9741950111_R06C01","GSM2404792_9533774057_R03C02","GSM2404802_9533774057_R01C02","GSM2404803_9533774057_R04C02","GSM2404804_9533774057_R05C02","GSM2404805_9533774066_R05C02","GSM2404806_9533774066_R05C01","GSM2405068_9969477100_R01C02","GSM2405158_9878820030_R02C01","GSM2405181_9878820104_R01C02","GSM2405341_3999834003_R03C02","GSM2940784_10006823144_R02C02","GSM2940923_200406080086_R03C01","GSM2940935_3998523018_R03C01","GSM2940944_3998523022_R05C02","GSM2940945_3998523022_R06C02","GSM2941021_3998567087_R04C02","GSM2941141_3998998164_R06C01","GSM2941142_3998998164_R06C02","GSM2941145_3998998187_R05C01","GSM2941146_3999002043_R03C02","GSM2941230_3999543051_R05C02","GSM2941378_9406921148_R01C01","GSM2941403_9420867121_R05C02","GSM2941438_9513149129_R03C01","GSM2941643_9878820140_R02C01","GSM2941678_9878827227_R04C02","GSM2941684_9878827239_R03C01"
"1",1,521369,249150001,1593,-0.048,0.014,-0.069,-0.024,0.031,-0.033,0.044,0.033,-0.134,0.096,-0.11,0.114,0.013,-0.006,0.032,0.03,-0.017,-0.028,-0.033,-0.022,-0.004,0.04,-0.044,0.022,-0.029,-0.03,0.055,0,0.018,-0.052,0.013,-0.009,0.006,-0.021,0.026,-0.032,0.094,-0.015,-0.084,0.02,-0.02,-0.06,-0.028,-0.05,0.036
"2",2,10001,242950001,1282,-0.038,-0.021,-0.043,-0.023,-0.229,-0.028,0.022,0.022,-0.113,0.082,0.045,0.109,-0.022,0.009,0.016,-0.021,-0.034,-0.035,-0.064,-0.061,-0.061,-0.085,-0.079,0.008,-0.048,-0.036,0.017,-0.057,-0.02,-0.098,-0.029,-0.051,-0.043,-0.05,0.074,-0.043,0.132,-0.074,-0.139,-0.018,-0.112,-0.07,-0.034,-0.052,-0.002
"3",3,60001,197700001,978,-0.028,-0.04,0.097,-0.055,0.037,0.14,-0.209,0.014,0.116,0.095,0.066,-0.103,-0.025,-0.008,0.02,-0.033,-0.056,0.022,-0.054,-0.048,0.01,-0.104,0.103,0.007,0.129,-0.066,0.028,-0.042,-0.063,-0.141,-0.023,0.083,-0.027,0.105,-0.032,-0.089,-0.282,0.141,0.064,-0.04,0.153,-0.123,0.134,-0.193,-0.029
"4",4,10001,190900001,742,0.215,0.078,-0.06,-0.015,0.103,0.064,-0.034,-0.037,0.064,0.003,-0.025,0.039,0.106,-0.015,-0.013,-0.04,-0.075,-0.084,0.059,0.131,-0.077,-0.125,0.047,-0.024,-0.113,-0.071,-0.043,0.023,-0.061,-0.152,-0.104,-0.144,0.016,0.033,0.021,-0.078,0.326,-0.119,0.049,-0.06,-0.162,0.056,-0.084,0.044,-0.06
"5",5,10001,180650001,849,0.007,0.169,-0.067,0.214,0.026,-0.021,0.169,0.024,0.117,0.09,0.194,0.105,-0.024,0,0.022,-0.025,0.163,0.228,0.134,-0.048,0.113,0.112,-0.078,0.015,0.163,0.137,0.032,0.11,-0.026,0.109,0.172,0.143,0.12,0.106,-0.015,0.141,0.242,0.157,0.085,-0.029,0.018,0.107,-0.049,0.053,-0.009
"6",6,60001,170850001,988,-0.107,-0.044,0.128,-0.035,0.193,-0.019,0.023,0.023,-0.114,0.085,0.045,-0.109,-0.034,0.01,0.006,-0.046,-0.048,-0.027,-0.069,-0.07,-0.082,-0.106,-0.087,0.002,-0.054,-0.047,0.02,0.085,-0.029,-0.121,-0.026,-0.054,0.105,-0.049,-0.2,-0.056,-0.207,-0.084,0.072,-0.037,-0.118,-0.066,-0.039,-0.006,-0.012
"7",7,10001,158950001,952,0.161,0.186,0.176,0.22,0.088,0.187,0.074,0.069,-0.022,0.137,0.223,0.143,0.022,0.051,0.045,-0.007,-0.003,0.279,0.167,0.112,0.113,0.112,0.132,0.038,0.201,-0.004,0.06,0.138,0.014,0.132,0.201,0.179,0.148,-0.008,0.118,0.181,0.375,-0.032,0.107,-0.008,0.158,0.013,0.206,0.077,0.136
"8",8,10001,146250001,726,0.004,-0.038,-0.023,-0.009,0.189,0.123,0.074,0.031,0.115,-0.307,0.046,-0.111,-0.011,0.02,0.008,-0.01,-0.018,-0.021,0.101,0.2,-0.054,-0.07,-0.073,-0.121,-0.044,-0.024,0.023,0.105,-0.018,0.139,-0.019,-0.043,-0.042,0.104,0.094,-0.014,-0.129,0.157,0.103,0,0.051,-0.038,0.259,-0.193,0.015
"9",9,10001,141000001,383,0.211,0.181,0.109,0.19,0.199,0.121,0.045,0.039,0.276,0.111,0.202,0.151,0.316,0.009,0.037,0.024,0.17,0.201,0.133,0.132,0.109,0.229,0.219,0.107,0.165,0.15,0.046,0.214,0.013,0.16,0.178,0.281,0.237,0.193,0.194,0.149,0.114,0.27,0.216,0.034,0.186,0.168,0.083,0.067,0.031
"10",10,60001,135400001,840,-0.072,0.012,-0.241,-0.006,0.037,-0.213,-0.168,0.034,-0.065,-0.275,-0.112,-0.083,0.014,0.029,0.039,0.014,-0.007,0,-0.046,-0.19,-0.055,-0.068,-0.058,-0.114,-0.012,-0.001,0.043,-0.022,0.013,-0.06,-0.002,-0.023,-0.005,-0.026,-0.138,0,-0.109,-0.033,-0.093,0.011,0.051,-0.279,-0.027,-0.128,0.018
"11",11,60001,134800001,914,0.01,-0.021,0.101,-0.056,0.043,0.131,0.025,0.027,0.12,0.095,0.076,-0.087,-0.001,-0.002,0.02,-0.016,-0.05,-0.027,-0.035,-0.026,-0.072,-0.084,0.111,0.017,-0.046,-0.056,0.04,0.11,-0.034,-0.103,-0.006,-0.025,0.001,-0.036,-0.006,-0.07,0.063,-0.052,0.064,-0.018,0.144,0.119,-0.044,0.017,-0.006
"12",12,145740,133700001,848,0.025,-0.007,0.119,-0.029,0.193,-0.018,0.037,0.027,-0.109,0.096,0.067,-0.109,-0.008,0.001,0.03,-0.009,-0.029,-0.02,-0.045,-0.034,-0.064,-0.074,-0.068,0.011,-0.039,-0.034,0.04,-0.03,-0.002,-0.093,-0.013,-0.041,-0.029,-0.038,-0.008,-0.046,0.112,-0.047,-0.115,-0.009,-0.075,0.134,0.079,0.064,0.01
"13",13,19020001,115050001,431,-0.038,-0.044,-0.228,-0.044,-0.167,0.049,-0.176,0.046,0.339,-0.267,-0.141,-0.075,-0.021,0.059,-0.017,-0.089,-0.027,0.022,-0.045,-0.084,-0.112,0.056,-0.091,0.013,-0.032,-0.025,0.029,0.083,-0.05,-0.154,-0.021,-0.048,-0.034,0.116,0.12,-0.04,-0.149,0.242,0.148,-0.058,-0.013,-0.304,-0.482,-0.066,-0.19
"14",14,19000001,106950001,528,0.012,0.015,0.116,-0.007,-0.233,-0.037,-0.178,0.023,0.093,0.089,0.058,-0.114,-0.001,-0.004,0.035,0.019,-0.007,-0.032,-0.049,-0.023,-0.029,-0.035,-0.055,0.015,-0.034,-0.028,0.036,-0.02,0.013,-0.061,-0.009,-0.031,-0.018,-0.033,-0.131,-0.03,-0.208,-0.023,-0.083,0.015,0.049,-0.086,-0.237,0.081,0.032
"15",15,20000001,102300001,571,0.035,0.042,0.139,0.009,0.19,0.124,0.057,0.047,-0.11,0.101,0.076,0.114,0.016,0.013,0.045,0.043,0.001,-0.011,-0.019,0.132,0.081,-0.023,0.131,0.122,-0.016,-0.001,0.054,-0.007,0.035,-0.038,0.005,0.171,0.138,0.122,0.15,-0.006,0.155,-0.008,0.145,0.034,-0.067,0.155,0.252,0.096,0.045
"16",16,60001,90150001,624,0.173,0.052,0.185,0.2,0.193,0.134,0.175,0.047,-0.025,0.105,0.187,0.151,0.19,0.048,0.049,0.04,0.166,0.22,0.144,0.124,0.106,0.095,0.116,0.016,0.18,0.176,0.042,0.115,0.047,0.163,0.178,0.001,0.143,0.102,0.014,0.174,0.424,0.146,0.096,0.044,0.127,0.254,0.008,0.07,0.042
"17",17,1,81050001,814,0.12,-0.029,0.093,-0.02,-0.088,-0.005,0.089,-0.043,0.17,-0.013,-0.035,-0.133,-0.044,-0.031,-0.011,0.023,0.115,0.114,0.056,0.019,0.037,0.128,0.054,0.046,0.098,0.133,-0.037,-0.106,0.008,0.165,0.1,0.082,-0.091,0.021,0.05,0.109,0.162,0.069,-0.137,0.026,-0.009,0.142,-0.033,0.039,0
"18",18,10001,77950001,243,0.21,-0.047,0.092,0.003,0.022,-0.012,0.069,-0.207,0.003,-0.05,0.031,0.141,-0.107,-0.026,-0.012,-0.004,0.121,0.108,0.126,0.129,0.082,0.117,0.122,0.043,0.069,0.112,-0.07,0.083,-0.029,0.128,0.05,0.14,-0.039,-0.154,0.006,0.105,0.472,0.034,0.168,-0.007,0.245,0.029,0.053,0.079,-0.036
"19",19,60001,59050001,711,0.119,0.001,0.112,-0.025,-0.025,-0.083,0.013,-0.001,0.08,0.045,0.019,0.094,0.002,0.006,0.019,0.029,-0.017,-0.053,-0.05,-0.017,0.036,0.098,0.08,-0.021,-0.053,-0.021,-0.004,0.065,0.033,-0.02,-0.033,0.113,0.069,0.042,0.083,-0.04,0.152,0.091,0.082,0.034,-0.003,0.007,-0.005,0.134,0.025
"20",20,60001,62850001,359,0.182,-0.038,0.064,-0.067,0.15,0.065,0.127,0.005,0.043,0.058,0.133,0.107,-0.023,-0.015,-0.002,-0.017,-0.043,-0.072,0.216,0.092,0.015,0.079,0.074,0.073,-0.067,-0.058,0.017,0.069,-0.023,-0.07,-0.032,0.121,0.09,0.057,0.053,-0.092,0.245,0.071,0.025,-0.007,-0.029,0.09,0.077,0.019,0
"21",21,10697897,48050001,157,0.26,0.005,0.177,0.015,0.013,0.106,-0.162,0.014,-0.057,0.072,0.037,-0.08,0.163,0.046,0.038,0.035,-0.013,-0.004,-0.061,0.086,0.038,0.095,0.087,0.095,-0.027,0.019,0.019,0.068,0.02,-0.031,-0.026,-0.051,0.083,0.17,0.092,0.018,0.247,0.123,0.089,0.028,0.245,0.198,0.086,0.203,0.011
"22",22,16050001,51200001,300,-0.056,0.045,-0.018,0.016,-0.21,0.065,-0.154,0.018,0.075,0.064,-0.113,-0.07,0.041,-0.034,-0.328,0.069,0.026,-0.049,-0.023,-0.127,0.026,-0.015,-0.041,0.013,-0.039,0.021,0.023,-0.005,0.068,0.052,0,0.001,-0.003,-0.036,0.047,0.015,-0.09,-0.014,-0.037,0.078,-0.24,0.014,-0.37,-0.081,-0.098
